31 21 31
1 5 18 minecraft:stone_stairs[facing="north",half="bottom",shape="straight"]
0 4 18 minecraft:stone
0 5 17 minecraft:stone
0 4 19 minecraft:stone
1 6 17 minecraft:stone_stairs[facing="north",half="bottom",shape="straight"]
1 4 19 minecraft:stone
0 4 20 minecraft:stone
2 5 18 minecraft:stone_stairs[facing="north",half="bottom",shape="straight"]
2 6 17 minecraft:stone_stairs[facing="north",half="bottom",shape="straight"]
1 6 16 minecraft:stone
0 5 16 minecraft:stone
0 6 15 minecraft:stone
2 4 19 minecraft:stone
1 4 20 minecraft:stone
0 4 21 minecraft:stone
0 5 22 minecraft:stone
2 4 20 minecraft:stone
1 4 21 minecraft:stone
1 5 22 minecraft:stone
3 6 16 minecraft:stone
0 6 23 minecraft:stone
4 4 19 minecraft:torch
3 3 19 minecraft:stone
2 4 21 minecraft:stone
2 5 22 minecraft:stone
4 6 16 minecraft:stone
2 4 18 minecraft:stone
3 3 18 minecraft:stone
3 4 17 minecraft:stone
2 5 17 minecraft:stone
3 5 16 minecraft:stone
2 6 16 minecraft:stone
2 6 22 minecraft:stone
1 6 15 minecraft:stone
1 6 23 minecraft:stone
0 6 14 minecraft:stone
4 3 19 minecraft:stone
3 3 20 minecraft:stone
3 4 21 minecraft:stone
3 5 22 minecraft:stone
5 6 16 minecraft:stone
4 3 18 minecraft:stone
4 4 17 minecraft:stone
4 5 16 minecraft:stone
4 7 16 minecraft:stone
3 6 22 minecraft:stone
2 6 15 minecraft:stone
2 7 22 minecraft:stone
1 6 14 minecraft:stone
1 7 23 minecraft:stone
0 13 18 minecraft:stone
0 12 19 minecraft:stone
0 6 13 minecraft:stone
0 7 24 minecraft:stone
5 3 19 minecraft:stone
4 3 20 minecraft:stone
4 4 21 minecraft:stone
4 5 22 minecraft:stone
6 6 16 minecraft:stone
5 3 18 minecraft:stone
5 4 17 minecraft:stone
5 5 16 minecraft:stone
5 9 18 minecraft:stone
5 8 17 minecraft:stone
5 7 16 minecraft:stone
4 9 19 minecraft:stone
4 6 22 minecraft:stone
3 9 20 minecraft:stone
3 8 21 minecraft:stone
4 7 15 minecraft:stone
3 6 15 minecraft:stone
3 7 22 minecraft:stone
2 8 22 minecraft:stone
2 6 14 minecraft:stone
1 13 18 minecraft:stone
1 12 19 minecraft:stone
1 11 20 minecraft:stone
1 8 23 minecraft:stone
1 6 13 minecraft:stone
0 13 17 minecraft:stone
0 12 20 minecraft:stone
0 6 12 minecraft:stone
6 3 19 minecraft:stone
5 3 20 minecraft:stone
5 4 21 minecraft:stone
5 5 22 minecraft:stone
7 8 18 minecraft:stone
7 7 17 minecraft:stone
7 6 16 minecraft:stone
6 3 18 minecraft:stone
6 4 17 minecraft:stone
6 5 16 minecraft:stone
6 9 18 minecraft:stone
6 8 17 minecraft:stone
6 7 16 minecraft:stone
5 9 19 minecraft:stone
5 6 22 minecraft:stone
5 10 18 minecraft:stone
4 11 18 minecraft:stone
4 10 19 minecraft:stone
5 9 17 minecraft:stone
5 8 16 minecraft:stone
4 9 20 minecraft:stone
4 8 21 minecraft:stone
4 7 22 minecraft:stone
3 12 18 minecraft:stone
3 10 20 minecraft:stone
4 7 14 minecraft:stone
3 6 14 minecraft:stone
2 13 18 minecraft:stone
2 12 19 minecraft:stone
2 11 20 minecraft:stone
2 10 21 minecraft:stone
3 9 21 minecraft:stone
