31 21 30
0 2 2 minecraft:stone
0 3 1 minecraft:stone
2 3 2 minecraft:stone
1 2 2 minecraft:stone
1 3 1 minecraft:stone
0 2 3 minecraft:stone
1 4 1 minecraft:stone
1 2 3 minecraft:stone
0 4 0 minecraft:stone
0 2 4 minecraft:stone
3 4 2 minecraft:gold_ore
2 5 2 minecraft:stone
2 4 1 minecraft:stone
1 6 2 minecraft:stone
1 5 1 minecraft:stone
2 2 3 minecraft:stone
1 2 4 minecraft:stone
0 7 2 minecraft:stone
0 5 0 minecraft:stone
0 2 5 minecraft:stone
1 6 3 minecraft:stone
4 3 3 minecraft:stone
3 2 3 minecraft:stone
3 3 2 minecraft:gold_ore
2 2 4 minecraft:stone
1 2 5 minecraft:stone
1 6 1 minecraft:stone
0 7 1 minecraft:stone
0 6 0 minecraft:stone
0 7 3 minecraft:stone
0 2 6 minecraft:stone
4 4 3 minecraft:stone
2 6 3 minecraft:stone
4 3 4 minecraft:stone
3 2 4 minecraft:stone
2 2 5 minecraft:stone
1 2 6 minecraft:stone
0 7 4 minecraft:stone
0 2 7 minecraft:stone
4 5 3 minecraft:stone
3 6 3 minecraft:stone
3 5 2 minecraft:stone
1 7 4 minecraft:stone
3 2 5 minecraft:stone
2 2 6 minecraft:stone
1 2 7 minecraft:stone
0 7 5 minecraft:stone
0 2 8 minecraft:cobblestone
4 5 4 minecraft:stone
3 6 4 minecraft:stone
5 4 4 minecraft:stone
2 7 4 minecraft:stone
1 7 5 minecraft:stone
5 3 5 minecraft:stone
4 2 5 minecraft:stone
3 2 6 minecraft:stone
2 2 7 minecraft:stone
1 2 8 minecraft:stone
0 7 6 minecraft:stone
0 6 7 minecraft:stone
0 2 9 minecraft:stone
0 3 10 minecraft:stone
3 6 5 minecraft:stone
5 4 5 minecraft:stone
2 7 5 minecraft:stone
1 7 6 minecraft:stone
4 2 6 minecraft:water[level="0"]
3 2 7 minecraft:water[level="0"]
2 2 8 minecraft:water[level="0"]
1 2 9 minecraft:cobblestone
0 6 8 minecraft:stone
0 4 10 minecraft:stone
5 5 5 minecraft:stone
