30 21 30
0 19 0 minecraft:stone
1 19 0 minecraft:stone
0 19 1 minecraft:stone
2 19 0 minecraft:stone
1 19 1 minecraft:stone
0 19 2 minecraft:stone
3 19 0 minecraft:stone
2 19 1 minecraft:stone
1 19 2 minecraft:stone
0 19 3 minecraft:stone
4 19 0 minecraft:stone
3 19 1 minecraft:stone
2 19 2 minecraft:stone
1 19 3 minecraft:stone
0 19 4 minecraft:stone
5 19 0 minecraft:stone
4 19 1 minecraft:stone
3 19 2 minecraft:stone
2 19 3 minecraft:stone
1 19 4 minecraft:stone
0 19 5 minecraft:stone
6 19 0 minecraft:stone
5 19 1 minecraft:stone
4 19 2 minecraft:stone
3 19 3 minecraft:stone
2 19 4 minecraft:stone
1 19 5 minecraft:stone
0 19 6 minecraft:stone
7 19 0 minecraft:stone
6 19 1 minecraft:stone
5 19 2 minecraft:stone
4 19 3 minecraft:stone
3 19 4 minecraft:stone
2 19 5 minecraft:stone
1 19 6 minecraft:stone
0 19 7 minecraft:stone
8 19 0 minecraft:stone
7 19 1 minecraft:stone
6 19 2 minecraft:stone
5 19 3 minecraft:stone
4 19 4 minecraft:stone
3 19 5 minecraft:stone
2 19 6 minecraft:stone
1 19 7 minecraft:stone
0 19 8 minecraft:stone
9 19 0 minecraft:stone
8 19 1 minecraft:stone
7 19 2 minecraft:stone
6 19 3 minecraft:stone
5 19 4 minecraft:stone
4 19 5 minecraft:stone
3 19 6 minecraft:stone
2 19 7 minecraft:stone
1 19 8 minecraft:stone
0 19 9 minecraft:stone
10 19 0 minecraft:stone
9 19 1 minecraft:stone
8 19 2 minecraft:stone
7 19 3 minecraft:stone
6 19 4 minecraft:stone
5 19 5 minecraft:stone
4 19 6 minecraft:stone
3 19 7 minecraft:stone
2 19 8 minecraft:stone
1 19 9 minecraft:stone
0 19 10 minecraft:stone
11 19 0 minecraft:stone
10 19 1 minecraft:stone
9 19 2 minecraft:stone
8 19 3 minecraft:stone
7 19 4 minecraft:stone
6 19 5 minecraft:stone
5 19 6 minecraft:stone
4 19 7 minecraft:stone
3 19 8 minecraft:stone
2 19 9 minecraft:stone
1 19 10 minecraft:stone
0 19 11 minecraft:stone
12 19 0 minecraft:stone
11 19 1 minecraft:stone
10 19 2 minecraft:stone
9 19 3 minecraft:stone
8 19 4 minecraft:stone
7 19 5 minecraft:stone
6 19 6 minecraft:stone
5 19 7 minecraft:stone
4 19 8 minecraft:stone
3 19 9 minecraft:stone
2 19 10 minecraft:stone
1 19 11 minecraft:stone
0 19 12 minecraft:stone
13 19 0 minecraft:stone
12 19 1 minecraft:stone
11 19 2 minecraft:stone
10 19 3 minecraft:stone
9 19 4 minecraft:stone
8 19 5 minecraft:stone
7 19 6 minecraft:stone
6 19 7 minecraft:stone
5 19 8 minecraft:stone
4 19 9 minecraft:stone
3 19 10 minecraft:stone
2 19 11 minecraft:stone
1 19 12 minecraft:stone
0 19 13 minecraft:stone
14 19 0 minecraft:stone
13 19 1 minecraft:stone
12 19 2 minecraft:stone
11 19 3 minecraft:stone
10 19 4 minecraft:stone
9 19 5 minecraft:stone
8 19 6 minecraft:stone
7 19 7 minecraft:stone
6 19 8 minecraft:stone
5 19 9 minecraft:stone
4 19 10 minecraft:stone
3 19 11 minecraft:stone
2 19 12 minecraft:stone
1 19 13 minecraft:stone
0 19 14 minecraft:stone
15 19 0 minecraft:stone
14 19 1 minecraft:stone
13 19 2 minecraft:stone
