31 26 31
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 0 30 minecraft:stone
0 1 0 minecraft:stone
0 1 1 minecraft:dirt
0 1 2 minecraft:dirt
0 1 3 minecraft:dirt
0 1 4 minecraft:dirt
0 1 5 minecraft:dirt
0 1 6 minecraft:dirt
0 1 7 minecraft:dirt
0 1 8 minecraft:dirt
0 1 9 minecraft:dirt
0 1 10 minecraft:dirt
0 1 11 minecraft:dirt
0 1 12 minecraft:dirt
0 1 13 minecraft:dirt
0 1 14 minecraft:dirt
0 1 15 minecraft:dirt
0 1 16 minecraft:dirt
0 1 17 minecraft:dirt
0 1 18 minecraft:dirt
0 1 19 minecraft:dirt
0 1 20 minecraft:dirt
0 1 21 minecraft:dirt
0 1 22 minecraft:dirt
0 1 23 minecraft:dirt
0 1 24 minecraft:dirt
0 1 25 minecraft:dirt
0 1 26 minecraft:dirt
0 1 27 minecraft:dirt
0 1 28 minecraft:dirt
0 1 29 minecraft:dirt
0 1 30 minecraft:dirt
0 2 0 minecraft:stone
0 2 1 minecraft:dirt
0 2 2 minecraft:dirt
0 2 3 minecraft:dirt
0 2 4 minecraft:dirt
0 2 5 minecraft:dirt
0 2 6 minecraft:dirt
0 2 7 minecraft:dirt
0 2 8 minecraft:dirt
0 2 9 minecraft:dirt
0 2 10 minecraft:dirt
0 2 11 minecraft:dirt
0 2 12 minecraft:dirt
0 2 13 minecraft:dirt
0 2 14 minecraft:dirt
0 2 15 minecraft:dirt
0 2 16 minecraft:dirt
0 2 17 minecraft:dirt
0 2 18 minecraft:dirt
0 2 19 minecraft:dirt
0 2 20 minecraft:dirt
0 2 21 minecraft:dirt
0 2 22 minecraft:dirt
0 2 23 minecraft:dirt
0 2 24 minecraft:dirt
0 2 25 minecraft:dirt
0 2 26 minecraft:dirt
0 2 27 minecraft:grass_block[snowy="false"]
0 2 28 minecraft:grass_block[snowy="false"]
0 2 29 minecraft:grass_block[snowy="false"]
0 2 30 minecraft:grass_block[snowy="false"]
0 3 0 minecraft:stone
0 3 1 minecraft:dirt
0 3 2 minecraft:dirt
0 3 3 minecraft:dirt
0 3 4 minecraft:dirt
0 3 5 minecraft:dirt
0 3 6 minecraft:dirt
0 3 7 minecraft:dirt
0 3 8 minecraft:dirt
0 3 9 minecraft:dirt
0 3 10 minecraft:dirt
0 3 11 minecraft:dirt
0 3 12 minecraft:dirt
0 3 13 minecraft:dirt
0 3 14 minecraft:dirt
0 3 15 minecraft:dirt
0 3 16 minecraft:dirt
0 3 17 minecraft:dirt
0 3 18 minecraft:dirt
0 3 19 minecraft:dirt
0 3 20 minecraft:dirt
0 3 21 minecraft:dirt
0 3 22 minecraft:dirt
0 3 23 minecraft:grass_block[snowy="false"]
0 3 24 minecraft:grass_block[snowy="false"]
0 3 25 minecraft:grass_block[snowy="false"]
0 3 26 minecraft:grass_block[snowy="false"]
0 4 0 minecraft:grass_block[snowy="false"]
0 4 1 minecraft:grass_block[snowy="false"]
0 4 2 minecraft:grass_block[snowy="false"]
0 4 3 minecraft:grass_block[snowy="false"]
0 4 4 minecraft:grass_block[snowy="false"]
0 4 5 minecraft:grass_block[snowy="false"]
0 4 6 minecraft:grass_block[snowy="false"]
0 4 7 minecraft:grass_block[snowy="false"]
0 4 8 minecraft:grass_block[snowy="false"]
0 4 9 minecraft:grass_block[snowy="false"]
0 4 10 minecraft:grass_block[snowy="false"]
0 4 11 minecraft:grass_block[snowy="false"]
0 4 12 minecraft:grass_block[snowy="false"]
0 4 13 minecraft:grass_block[snowy="false"]
0 4 14 minecraft:grass_block[snowy="false"]
0 4 15 minecraft:grass_block[snowy="false"]
0 4 16 minecraft:grass_block[snowy="false"]
0 4 17 minecraft:grass_block[snowy="false"]
0 4 18 minecraft:grass_block[snowy="false"]
0 4 19 minecraft:grass_block[snowy="false"]
0 4 20 minecraft:grass_block[snowy="false"]
0 4 21 minecraft:grass_block[snowy="false"]
0 4 22 minecraft:grass_block[snowy="false"]
0 4 24 minecraft:grass
0 4 25 minecraft:grass
0 5 1 minecraft:grass
0 5 4 minecraft:grass
0 5 5 minecraft:grass
0 5 6 minecraft:grass
0 5 7 minecraft:tall_grass[half="lower"]
0 5 8 minecraft:grass
0 5 12 minecraft:tall_grass[half="lower"]
0 5 13 minecraft:tall_grass[half="lower"]
0 5 14 minecraft:grass
0 5 16 minecraft:grass
0 5 17 minecraft:tall_grass[half="lower"]
0 5 18 minecraft:grass
0 6 7 minecraft:tall_grass[half="upper"]
0 6 17 minecraft:tall_grass[half="upper"]
0 8 9 minecraft:white_wool
0 8 10 minecraft:white_wool
0 8 11 minecraft:red_wool
0 8 12 minecraft:red_wool
0 8 13 minecraft:red_wool
0 8 14 minecraft:white_wool
0 8 15 minecraft:white_wool
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 0 30 minecraft:stone
1 1 0 minecraft:dirt
1 1 1 minecraft:dirt
1 1 2 minecraft:dirt
1 1 3 minecraft:dirt
1 1 4 minecraft:dirt
1 1 5 minecraft:dirt
1 1 6 minecraft:dirt
1 1 7 minecraft:dirt
1 1 8 minecraft:dirt
1 1 9 minecraft:dirt
1 1 10 minecraft:dirt
1 1 11 minecraft:dirt
1 1 12 minecraft:dirt
1 1 13 minecraft:dirt
1 1 14 minecraft:dirt
1 1 15 minecraft:dirt
1 1 16 minecraft:dirt
1 1 17 minecraft:dirt
1 1 18 minecraft:dirt
1 1 19 minecraft:dirt
1 1 20 minecraft:dirt
1 1 21 minecraft:dirt
1 1 22 minecraft:dirt
1 1 23 minecraft:dirt
1 1 24 minecraft:dirt
1 1 25 minecraft:dirt
1 1 26 minecraft:dirt
1 1 27 minecraft:dirt
1 1 28 minecraft:dirt
1 1 29 minecraft:dirt
1 1 30 minecraft:dirt
1 2 0 minecraft:dirt
1 2 1 minecraft:dirt
1 2 2 minecraft:dirt
1 2 3 minecraft:dirt
1 2 4 minecraft:dirt
1 2 5 minecraft:dirt
1 2 6 minecraft:dirt
1 2 7 minecraft:dirt
1 2 8 minecraft:dirt
1 2 9 minecraft:dirt
1 2 10 minecraft:dirt
1 2 11 minecraft:dirt
1 2 12 minecraft:dirt
1 2 13 minecraft:dirt
1 2 14 minecraft:dirt
1 2 15 minecraft:dirt
1 2 16 minecraft:dirt
1 2 17 minecraft:dirt
1 2 18 minecraft:dirt
1 2 19 minecraft:dirt
1 2 20 minecraft:dirt
1 2 21 minecraft:dirt
1 2 22 minecraft:dirt
1 2 23 minecraft:dirt
1 2 24 minecraft:dirt
1 2 25 minecraft:dirt
1 2 26 minecraft:dirt
1 2 27 minecraft:grass_block[snowy="false"]
1 2 28 minecraft:grass_block[snowy="false"]
1 2 29 minecraft:grass_block[snowy="false"]
1 2 30 minecraft:grass_block[snowy="false"]
1 3 0 minecraft:dirt
1 3 1 minecraft:dirt
1 3 2 minecraft:dirt
1 3 3 minecraft:dirt
1 3 4 minecraft:dirt
1 3 5 minecraft:dirt
1 3 6 minecraft:dirt
1 3 7 minecraft:dirt
1 3 8 minecraft:dirt
1 3 9 minecraft:dirt
1 3 10 minecraft:dirt
1 3 11 minecraft:dirt
1 3 12 minecraft:dirt
1 3 13 minecraft:dirt
1 3 14 minecraft:dirt
1 3 15 minecraft:dirt
1 3 16 minecraft:dirt
1 3 17 minecraft:dirt
1 3 18 minecraft:dirt
1 3 19 minecraft:dirt
1 3 20 minecraft:dirt
1 3 21 minecraft:dirt
1 3 22 minecraft:dirt
1 3 23 minecraft:grass_block[snowy="false"]
1 3 24 minecraft:grass_block[snowy="false"]
1 3 25 minecraft:grass_block[snowy="false"]
1 3 26 minecraft:grass_block[snowy="false"]
1 3 27 minecraft:grass
1 4 0 minecraft:grass_block[snowy="false"]
1 4 1 minecraft:grass_block[snowy="false"]
1 4 2 minecraft:grass_block[snowy="false"]
1 4 3 minecraft:grass_block[snowy="false"]
1 4 4 minecraft:grass_block[snowy="false"]
1 4 5 minecraft:grass_block[snowy="false"]
1 4 6 minecraft:grass_block[snowy="false"]
1 4 7 minecraft:grass_block[snowy="false"]
1 4 8 minecraft:grass_block[snowy="false"]
1 4 9 minecraft:dirt
1 4 10 minecraft:dirt
1 4 11 minecraft:dirt
1 4 12 minecraft:dirt
1 4 13 minecraft:dirt
1 4 14 minecraft:dirt
1 4 15 minecraft:dirt
1 4 16 minecraft:grass_block[snowy="false"]
1 4 17 minecraft:grass_block[snowy="false"]
1 4 18 minecraft:grass_block[snowy="false"]
1 4 19 minecraft:grass_block[snowy="false"]
1 4 20 minecraft:grass_block[snowy="false"]
1 4 21 minecraft:grass_block[snowy="false"]
1 4 22 minecraft:grass_block[snowy="false"]
1 4 25 minecraft:grass
1 5 3 minecraft:grass
1 5 5 minecraft:grass
1 5 6 minecraft:grass
1 5 8 minecraft:grass
1 5 9 minecraft:red_wool
1 5 10 minecraft:white_wool
1 5 11 minecraft:red_wool
1 5 12 minecraft:white_wool
1 5 13 minecraft:red_wool
1 5 14 minecraft:white_wool
1 5 15 minecraft:red_wool
1 5 16 minecraft:grass
1 5 18 minecraft:grass
1 5 19 minecraft:grass
1 5 21 minecraft:grass
1 6 9 minecraft:red_wool
1 6 10 minecraft:white_wool
1 6 11 minecraft:red_wool
1 6 12 minecraft:white_wool
1 6 13 minecraft:red_wool
1 6 14 minecraft:white_wool
1 6 15 minecraft:red_wool
1 7 9 minecraft:red_wool
1 7 10 minecraft:white_wool
1 7 11 minecraft:red_wool
1 7 12 minecraft:white_wool
1 7 13 minecraft:red_wool
1 7 14 minecraft:white_wool
1 7 15 minecraft:red_wool
1 8 7 minecraft:red_wool
1 8 8 minecraft:red_wool
1 8 9 minecraft:red_wool
1 8 10 minecraft:white_wool
1 8 11 minecraft:red_wool
1 8 12 minecraft:white_wool
1 8 13 minecraft:red_wool
1 8 14 minecraft:white_wool
1 8 15 minecraft:red_wool
1 8 16 minecraft:red_wool
1 8 17 minecraft:red_wool
1 9 9 minecraft:white_wool
1 9 10 minecraft:white_wool
1 9 11 minecraft:red_wool
1 9 12 minecraft:red_wool
1 9 13 minecraft:red_wool
1 9 14 minecraft:white_wool
1 9 15 minecraft:white_wool
2 0 0 minecraft:stone
2 0 1 minecraft:stone
2 0 2 minecraft:stone
2 0 3 minecraft:stone
2 0 4 minecraft:stone
2 0 5 minecraft:stone
2 0 6 minecraft:stone
2 0 7 minecraft:stone
2 0 8 minecraft:stone
2 0 9 minecraft:stone
2 0 10 minecraft:stone
2 0 11 minecraft:stone
2 0 12 minecraft:stone
2 0 13 minecraft:stone
2 0 14 minecraft:stone
2 0 15 minecraft:stone
2 0 16 minecraft:stone
2 0 17 minecraft:stone
2 0 18 minecraft:stone
2 0 19 minecraft:stone
2 0 20 minecraft:stone
2 0 21 minecraft:stone
2 0 22 minecraft:stone
2 0 23 minecraft:stone
2 0 24 minecraft:stone
2 0 25 minecraft:stone
2 0 26 minecraft:stone
2 0 27 minecraft:stone
2 0 28 minecraft:stone
2 0 29 minecraft:stone
2 0 30 minecraft:stone
2 1 0 minecraft:dirt
2 1 1 minecraft:dirt
2 1 2 minecraft:dirt
2 1 3 minecraft:dirt
2 1 4 minecraft:dirt
2 1 5 minecraft:dirt
2 1 6 minecraft:dirt
2 1 7 minecraft:dirt
2 1 8 minecraft:dirt
2 1 9 minecraft:dirt
2 1 10 minecraft:dirt
2 1 11 minecraft:dirt
2 1 12 minecraft:dirt
2 1 13 minecraft:dirt
2 1 14 minecraft:dirt
2 1 15 minecraft:dirt
2 1 16 minecraft:dirt
2 1 17 minecraft:dirt
2 1 18 minecraft:dirt
2 1 19 minecraft:dirt
2 1 20 minecraft:dirt
2 1 21 minecraft:dirt
2 1 22 minecraft:dirt
2 1 23 minecraft:dirt
2 1 24 minecraft:dirt
2 1 25 minecraft:dirt
2 1 26 minecraft:dirt
2 1 27 minecraft:dirt
2 1 28 minecraft:dirt
2 1 29 minecraft:dirt
2 1 30 minecraft:dirt
2 2 0 minecraft:dirt
2 2 1 minecraft:dirt
2 2 2 minecraft:dirt
2 2 3 minecraft:dirt
2 2 4 minecraft:dirt
2 2 5 minecraft:dirt
2 2 6 minecraft:dirt
2 2 7 minecraft:dirt
2 2 8 minecraft:dirt
2 2 9 minecraft:dirt
2 2 10 minecraft:dirt
2 2 11 minecraft:dirt
2 2 12 minecraft:dirt
2 2 13 minecraft:dirt
2 2 14 minecraft:dirt
2 2 15 minecraft:dirt
2 2 16 minecraft:dirt
2 2 17 minecraft:dirt
2 2 18 minecraft:dirt
2 2 19 minecraft:dirt
2 2 20 minecraft:dirt
2 2 21 minecraft:dirt
2 2 22 minecraft:dirt
2 2 23 minecraft:dirt
2 2 24 minecraft:dirt
2 2 25 minecraft:dirt
2 2 26 minecraft:dirt
2 2 27 minecraft:grass_block[snowy="false"]
2 2 28 minecraft:grass_block[snowy="false"]
2 2 29 minecraft:grass_block[snowy="false"]
2 2 30 minecraft:grass_block[snowy="false"]
2 3 0 minecraft:dirt
2 3 1 minecraft:dirt
2 3 2 minecraft:dirt
2 3 3 minecraft:dirt
2 3 4 minecraft:dirt
2 3 5 minecraft:dirt
2 3 6 minecraft:dirt
2 3 7 minecraft:dirt
2 3 8 minecraft:dirt
2 3 9 minecraft:redstone_block
2 3 10 minecraft:dirt
2 3 11 minecraft:dirt
2 3 12 minecraft:dirt
2 3 13 minecraft:dirt
2 3 14 minecraft:dirt
2 3 15 minecraft:redstone_block
2 3 16 minecraft:dirt
2 3 17 minecraft:dirt
2 3 18 minecraft:dirt
2 3 19 minecraft:dirt
