31 25 31
0 0 0 minecraft:gray_concrete
0 0 1 minecraft:gray_concrete
0 0 2 minecraft:gray_concrete
0 0 3 minecraft:gray_concrete
0 0 4 minecraft:gray_concrete
0 0 5 minecraft:gray_concrete
0 0 6 minecraft:gray_concrete
0 0 7 minecraft:gray_concrete
0 0 8 minecraft:gray_concrete
0 0 9 minecraft:gray_concrete
0 0 10 minecraft:gray_concrete
0 0 11 minecraft:gray_concrete
0 0 12 minecraft:black_concrete
0 0 13 minecraft:black_concrete
0 0 14 minecraft:black_concrete
0 0 15 minecraft:gray_concrete
0 0 16 minecraft:gray_concrete
0 0 17 minecraft:gray_concrete
0 0 18 minecraft:gray_concrete
0 0 19 minecraft:gray_concrete
0 0 20 minecraft:gray_concrete
0 0 21 minecraft:gray_concrete
0 0 22 minecraft:gray_concrete
0 0 23 minecraft:gray_concrete
0 0 24 minecraft:gray_concrete
0 0 25 minecraft:gray_concrete
0 0 26 minecraft:gray_concrete
0 0 27 minecraft:black_concrete
0 0 28 minecraft:black_concrete
0 0 29 minecraft:black_concrete
0 0 30 minecraft:white_concrete
0 1 10 minecraft:red_concrete
0 1 12 minecraft:jungle_wall_sign[facing="west"]
0 1 13 minecraft:jungle_wall_sign[facing="west"]
0 1 14 minecraft:jungle_wall_sign[facing="west"]
0 1 16 minecraft:black_terracotta
0 1 17 minecraft:red_concrete
0 1 18 minecraft:red_concrete
0 1 19 minecraft:black_terracotta
0 1 21 minecraft:black_terracotta
0 2 10 minecraft:red_concrete
0 2 13 minecraft:jungle_wall_sign[facing="west"]
0 2 16 minecraft:black_terracotta
0 2 19 minecraft:black_terracotta
0 2 21 minecraft:black_terracotta
0 3 10 minecraft:red_concrete
0 3 19 minecraft:black_terracotta
0 3 21 minecraft:black_terracotta
0 4 10 minecraft:red_concrete
0 4 19 minecraft:black_terracotta
0 4 21 minecraft:black_terracotta
0 5 10 minecraft:red_concrete
0 5 19 minecraft:black_terracotta
0 5 20 minecraft:black_terracotta
0 5 21 minecraft:black_terracotta
0 5 22 minecraft:black_terracotta
0 5 23 minecraft:black_terracotta
0 5 24 minecraft:black_terracotta
0 5 25 minecraft:black_terracotta
0 6 10 minecraft:red_concrete
0 7 10 minecraft:red_concrete
0 8 10 minecraft:red_concrete
0 9 10 minecraft:red_concrete
