31 31 30
0 0 0 minecraft:black_concrete
0 0 1 minecraft:black_concrete
0 0 2 minecraft:black_concrete
0 0 3 minecraft:gray_concrete
0 0 4 minecraft:gray_concrete
0 0 5 minecraft:gray_concrete
0 0 6 minecraft:gray_concrete
0 0 7 minecraft:gray_concrete
0 0 8 minecraft:gray_concrete
0 0 9 minecraft:gray_concrete
0 0 10 minecraft:gray_concrete
0 0 11 minecraft:gray_concrete
0 0 12 minecraft:gray_concrete
0 0 13 minecraft:gray_concrete
0 0 14 minecraft:gray_concrete
0 0 15 minecraft:gray_concrete
0 0 16 minecraft:gray_concrete
0 0 17 minecraft:gray_concrete
0 0 18 minecraft:gray_concrete
0 0 19 minecraft:gray_concrete
0 0 20 minecraft:gray_concrete
0 0 21 minecraft:gray_concrete
0 0 22 minecraft:gray_concrete
0 0 23 minecraft:gray_concrete
0 0 24 minecraft:gray_concrete
0 0 25 minecraft:gray_concrete
0 0 26 minecraft:gray_concrete
0 0 27 minecraft:gray_concrete
0 0 28 minecraft:gray_concrete
0 0 29 minecraft:gray_concrete
1 0 0 minecraft:black_concrete
1 0 1 minecraft:black_concrete
1 0 2 minecraft:black_concrete
1 0 3 minecraft:gray_concrete
1 0 4 minecraft:gray_concrete
1 0 5 minecraft:gray_concrete
1 0 6 minecraft:gray_concrete
1 0 7 minecraft:gray_concrete
1 0 8 minecraft:gray_concrete
1 0 9 minecraft:gray_concrete
1 0 10 minecraft:gray_concrete
1 0 11 minecraft:gray_concrete
1 0 12 minecraft:gray_concrete
1 0 13 minecraft:gray_concrete
1 0 14 minecraft:gray_concrete
1 0 15 minecraft:gray_concrete
1 0 16 minecraft:gray_concrete
1 0 17 minecraft:gray_concrete
1 0 18 minecraft:gray_concrete
1 0 19 minecraft:gray_concrete
1 0 20 minecraft:gray_concrete
1 0 21 minecraft:gray_concrete
1 0 22 minecraft:gray_concrete
1 0 23 minecraft:gray_concrete
1 0 24 minecraft:gray_concrete
1 0 25 minecraft:gray_concrete
1 0 26 minecraft:gray_concrete
1 0 27 minecraft:gray_concrete
1 0 28 minecraft:gray_concrete
1 0 29 minecraft:gray_concrete
2 0 0 minecraft:black_concrete
2 0 1 minecraft:black_concrete
2 0 2 minecraft:black_concrete
2 0 3 minecraft:gray_concrete
2 0 4 minecraft:gray_concrete
2 0 5 minecraft:gray_concrete
2 0 6 minecraft:gray_concrete
2 0 7 minecraft:gray_concrete
2 0 8 minecraft:gray_concrete
2 0 9 minecraft:gray_concrete
2 0 10 minecraft:gray_concrete
2 0 11 minecraft:gray_concrete
2 0 12 minecraft:gray_concrete
2 0 13 minecraft:gray_concrete
2 0 14 minecraft:gray_concrete
2 0 15 minecraft:gray_concrete
2 0 16 minecraft:gray_concrete
2 0 17 minecraft:gray_concrete
2 0 18 minecraft:gray_concrete
2 0 19 minecraft:gray_concrete
2 0 20 minecraft:gray_concrete
2 0 21 minecraft:gray_concrete
2 0 22 minecraft:gray_concrete
2 0 23 minecraft:gray_concrete
2 0 24 minecraft:gray_concrete
2 0 25 minecraft:gray_concrete
2 0 26 minecraft:gray_concrete
2 0 27 minecraft:gray_concrete
2 0 28 minecraft:gray_concrete
2 0 29 minecraft:gray_concrete
2 5 4 minecraft:black_terracotta
2 5 5 minecraft:black_terracotta
2 5 6 minecraft:black_terracotta
2 5 7 minecraft:black_terracotta
2 5 8 minecraft:black_terracotta
2 5 9 minecraft:black_terracotta
2 5 10 minecraft:black_terracotta
2 5 11 minecraft:black_terracotta
2 5 12 minecraft:black_terracotta
2 5 13 minecraft:black_terracotta
2 10 4 minecraft:black_terracotta
2 10 5 minecraft:black_terracotta
2 10 6 minecraft:black_terracotta
2 10 7 minecraft:black_terracotta
2 10 8 minecraft:black_terracotta
2 10 9 minecraft:black_terracotta
2 10 10 minecraft:black_terracotta
2 10 11 minecraft:black_terracotta
2 10 12 minecraft:black_terracotta
2 10 13 minecraft:black_terracotta
2 15 4 minecraft:black_terracotta
2 15 5 minecraft:black_terracotta
2 15 6 minecraft:black_terracotta
2 15 7 minecraft:black_terracotta
2 15 8 minecraft:black_terracotta
2 15 9 minecraft:black_terracotta
2 15 10 minecraft:black_terracotta
2 15 11 minecraft:black_terracotta
2 15 12 minecraft:black_terracotta
2 15 13 minecraft:black_terracotta
2 20 4 minecraft:black_terracotta
2 20 5 minecraft:black_terracotta
2 20 6 minecraft:black_terracotta
2 20 7 minecraft:black_terracotta
2 20 8 minecraft:black_terracotta
2 20 9 minecraft:black_terracotta
2 20 10 minecraft:black_terracotta
2 20 11 minecraft:black_terracotta
2 20 12 minecraft:black_terracotta
2 20 13 minecraft:black_terracotta
2 25 4 minecraft:black_terracotta
2 25 5 minecraft:black_terracotta
2 25 6 minecraft:black_terracotta
2 25 7 minecraft:black_terracotta
2 25 8 minecraft:black_terracotta
2 25 9 minecraft:black_terracotta
2 25 10 minecraft:black_terracotta
2 25 11 minecraft:black_terracotta
2 25 12 minecraft:black_terracotta
2 25 13 minecraft:black_terracotta
2 30 4 minecraft:black_terracotta
2 30 5 minecraft:black_terracotta
2 30 6 minecraft:black_terracotta
2 30 7 minecraft:black_terracotta
2 30 8 minecraft:black_terracotta
2 30 9 minecraft:black_terracotta
2 30 10 minecraft:black_terracotta
2 30 11 minecraft:black_terracotta
2 30 12 minecraft:black_terracotta
2 30 13 minecraft:black_terracotta
3 0 0 minecraft:black_concrete
3 0 1 minecraft:black_concrete
3 0 2 minecraft:black_concrete
3 0 3 minecraft:gray_concrete
3 0 4 minecraft:gray_concrete
3 0 5 minecraft:gray_concrete
3 0 6 minecraft:gray_concrete
3 0 7 minecraft:gray_concrete
3 0 8 minecraft:gray_concrete
3 0 9 minecraft:gray_concrete
3 0 10 minecraft:gray_concrete
3 0 11 minecraft:gray_concrete
3 0 12 minecraft:gray_concrete
3 0 13 minecraft:gray_concrete
3 0 14 minecraft:gray_concrete
3 0 15 minecraft:gray_concrete
3 0 16 minecraft:gray_concrete
3 0 17 minecraft:gray_concrete
3 0 18 minecraft:gray_concrete
3 0 19 minecraft:gray_concrete
3 0 20 minecraft:gray_concrete
3 0 21 minecraft:gray_concrete
3 0 22 minecraft:gray_concrete
3 0 23 minecraft:gray_concrete
3 0 24 minecraft:gray_concrete
3 0 25 minecraft:gray_concrete
3 0 26 minecraft:gray_concrete
3 0 27 minecraft:gray_concrete
3 0 28 minecraft:gray_concrete
3 0 29 minecraft:gray_concrete
3 1 5 minecraft:white_concrete_powder
3 1 6 minecraft:white_concrete_powder
3 1 7 minecraft:white_concrete_powder
3 1 8 minecraft:white_concrete_powder
3 1 9 minecraft:white_concrete_powder
3 1 10 minecraft:white_concrete_powder
3 1 11 minecraft:white_concrete_powder
3 1 12 minecraft:white_concrete_powder
3 2 5 minecraft:white_concrete_powder
3 2 6 minecraft:white_concrete_powder
3 2 7 minecraft:white_concrete_powder
3 2 8 minecraft:glass_pane[east="false",north="true",south="true",west="false"]
3 2 9 minecraft:glass_pane[east="false",north="true",south="true",west="false"]
3 2 10 minecraft:white_concrete_powder
3 2 11 minecraft:white_concrete_powder
3 2 12 minecraft:white_concrete_powder
