30 20 31
0 0 12 minecraft:sandstone
0 1 11 minecraft:sand
0 1 13 minecraft:sand
1 0 12 minecraft:sandstone
1 1 11 minecraft:sand
1 1 13 minecraft:sand
2 0 12 minecraft:sandstone
2 1 11 minecraft:sand
2 1 13 minecraft:sand
3 0 12 minecraft:sandstone
3 1 11 minecraft:sand
0 1 10 minecraft:sand
0 1 14 minecraft:sand
5 1 12 minecraft:sand
4 0 12 minecraft:sandstone
4 1 11 minecraft:sand
3 0 13 minecraft:sandstone
3 1 14 minecraft:sand
1 1 10 minecraft:sand
1 1 14 minecraft:sand
0 1 9 minecraft:sand
0 2 8 minecraft:sand
0 1 15 minecraft:sand
0 2 16 minecraft:sand
5 1 13 minecraft:sand
4 0 13 minecraft:sandstone
2 1 10 minecraft:sand
2 1 14 minecraft:sand
1 1 9 minecraft:sand
1 1 15 minecraft:sand
1 2 16 minecraft:sand
4 0 14 minecraft:sandstone
3 1 10 minecraft:sand
2 1 9 minecraft:sand
2 1 15 minecraft:sand
1 1 8 minecraft:sand
1 2 7 minecraft:sand
6 1 12 minecraft:sand
5 1 11 minecraft:sand
4 1 10 minecraft:sand
6 1 14 minecraft:sand
5 0 14 minecraft:sandstone
3 1 15 minecraft:sand
4 0 15 minecraft:sandstone
4 1 16 minecraft:sand
3 1 9 minecraft:sand
2 1 8 minecraft:sand
2 2 7 minecraft:sand
2 1 16 minecraft:sand
2 2 17 minecraft:sand
0 2 17 minecraft:sand
7 1 12 minecraft:sand
6 1 11 minecraft:sand
6 1 13 minecraft:sand
5 1 10 minecraft:sand
4 1 9 minecraft:sand
6 1 15 minecraft:sand
5 0 15 minecraft:sandstone
3 1 8 minecraft:sand
3 1 16 minecraft:sand
3 2 17 minecraft:sand
1 2 17 minecraft:sand
0 1 7 minecraft:sand
0 2 18 minecraft:sand
8 1 12 minecraft:sand
7 1 11 minecraft:sand
7 1 13 minecraft:sand
6 1 10 minecraft:sand
5 1 9 minecraft:sand
4 1 8 minecraft:sand
5 0 16 minecraft:sandstone
5 1 17 minecraft:sand
3 1 7 minecraft:sand
1 2 18 minecraft:sand
0 1 6 minecraft:sand
0 2 19 minecraft:sand
0 3 20 minecraft:sand
8 1 11 minecraft:sand
8 1 13 minecraft:sand
7 1 10 minecraft:sand
7 1 14 minecraft:sand
6 1 9 minecraft:sand
5 1 8 minecraft:sand
4 1 7 minecraft:sand
4 1 17 minecraft:sand
4 2 18 minecraft:sand
7 1 16 minecraft:sand
6 0 16 minecraft:sandstone
3 1 6 minecraft:sand
2 2 18 minecraft:sand
1 1 6 minecraft:sand
1 2 19 minecraft:sand
0 1 5 minecraft:sand
9 0 12 minecraft:sandstone
9 1 13 minecraft:sand
8 1 10 minecraft:sand
8 1 14 minecraft:sand
7 1 9 minecraft:sand
7 1 15 minecraft:sand
6 1 8 minecraft:sand
5 1 7 minecraft:sand
4 1 6 minecraft:sand
7 1 17 minecraft:sand
6 0 17 minecraft:sandstone
6 1 18 minecraft:sand
3 2 18 minecraft:sand
2 1 6 minecraft:sand
3 1 5 minecraft:sand
2 2 19 minecraft:sand
1 1 5 minecraft:sand
1 2 20 minecraft:sand
0 1 4 minecraft:sand
10 0 12 minecraft:sandstone
9 0 11 minecraft:sandstone
9 1 14 minecraft:sand
8 1 9 minecraft:sand
8 1 15 minecraft:sand
7 1 8 minecraft:sand
6 1 7 minecraft:sand
5 1 6 minecraft:sand
5 1 18 minecraft:sand
4 1 5 minecraft:sand
3 2 19 minecraft:sand
2 1 5 minecraft:sand
3 1 4 minecraft:sand
2 2 20 minecraft:sand
1 1 4 minecraft:sand
0 3 21 minecraft:sand
1 2 21 minecraft:sand
0 1 3 minecraft:sand
11 0 12 minecraft:sandstone
10 0 11 minecraft:sandstone
10 0 13 minecraft:sandstone
9 0 10 minecraft:sandstone
9 1 15 minecraft:sand
8 1 8 minecraft:sand
8 1 16 minecraft:sand
7 1 7 minecraft:sand
6 1 6 minecraft:sand
5 1 5 minecraft:sand
4 2 19 minecraft:sand
5 1 19 minecraft:sand
4 1 4 minecraft:sand
4 2 3 minecraft:cactus[age="0"]
3 2 20 minecraft:sand
2 1 4 minecraft:sand
3 1 3 minecraft:sand
2 2 21 minecraft:sand
1 1 3 minecraft:sand
0 3 22 minecraft:sand
1 2 22 minecraft:sand
0 4 23 minecraft:sand
0 1 2 minecraft:sand
12 0 12 minecraft:sandstone
11 0 11 minecraft:sandstone
11 0 13 minecraft:sandstone
10 0 10 minecraft:sandstone
10 0 14 minecraft:sandstone
10 1 15 minecraft:sand
9 0 9 minecraft:sandstone
9 1 16 minecraft:sand
8 1 17 minecraft:sand
7 1 6 minecraft:sand
6 1 5 minecraft:sand
6 1 19 minecraft:sand
5 1 4 minecraft:sand
5 1 20 minecraft:sand
4 3 3 minecraft:cactus[age="0"]
3 2 21 minecraft:sand
2 1 3 minecraft:sand
3 1 2 minecraft:sand
2 2 22 minecraft:sand
1 1 2 minecraft:sand
0 3 23 minecraft:sand
1 2 23 minecraft:sand
0 1 1 minecraft:sand
15 2 12 minecraft:sandstone
13 0 12 minecraft:sandstone
12 0 11 minecraft:sandstone
12 0 13 minecraft:sandstone
11 0 10 minecraft:sandstone
11 0 14 minecraft:sandstone
10 0 9 minecraft:sandstone
10 1 16 minecraft:sand
9 0 8 minecraft:sandstone
9 1 17 minecraft:sand
8 0 7 minecraft:sandstone
8 1 6 minecraft:sand
8 1 18 minecraft:sand
7 1 5 minecraft:sand
7 0 18 minecraft:sandstone
6 1 4 minecraft:sand
6 1 20 minecraft:sand
5 1 3 minecraft:sand
4 1 20 minecraft:sand
5 1 21 minecraft:sand
4 4 3 minecraft:cactus[age="0"]
3 2 22 minecraft:sand
2 1 2 minecraft:sand
4 1 2 minecraft:sand
3 1 1 minecraft:sand
2 2 23 minecraft:sand
1 1 1 minecraft:sand
0 3 24 minecraft:sand
1 2 24 minecraft:sand
0 1 0 minecraft:sand
15 1 12 minecraft:sand
14 0 12 minecraft:sandstone
14 1 11 minecraft:sand
15 2 11 minecraft:sandstone
14 2 10 minecraft:sand
15 2 13 minecraft:sandstone
13 0 11 minecraft:sandstone
13 1 10 minecraft:sand
13 0 13 minecraft:sandstone
12 0 10 minecraft:sandstone
12 0 14 minecraft:sandstone
11 0 9 minecraft:sandstone
11 0 15 minecraft:sandstone
11 1 16 minecraft:sand
10 0 8 minecraft:sandstone
10 1 7 minecraft:sand
10 1 17 minecraft:sand
9 0 7 minecraft:sandstone
9 1 18 minecraft:sand
8 1 5 minecraft:sand
8 1 19 minecraft:sand
7 1 4 minecraft:sand
7 0 19 minecraft:sandstone
6 1 3 minecraft:sand
6 1 21 minecraft:sand
5 1 2 minecraft:sand
4 1 21 minecraft:sand
5 1 22 minecraft:sand
2 1 1 minecraft:sand
