31 11 31
1 2 15 minecraft:red_sand
0 1 15 minecraft:red_sand
0 2 14 minecraft:red_sand
1 2 16 minecraft:red_sand
0 1 16 minecraft:red_sand
1 2 17 minecraft:sand
0 1 17 minecraft:sand
2 2 15 minecraft:red_sand
1 2 14 minecraft:red_sand
1 3 13 minecraft:red_sand
0 2 13 minecraft:red_sand
1 2 18 minecraft:sand
0 1 18 minecraft:sand
0 2 19 minecraft:sand
4 3 15 minecraft:sand
3 2 15 minecraft:red_sand
2 2 14 minecraft:red_sand
2 3 13 minecraft:red_sand
2 2 16 minecraft:red_sand
1 3 12 minecraft:red_sand
0 2 12 minecraft:red_sand
4 3 14 minecraft:sand
3 2 14 minecraft:red_sand
3 3 13 minecraft:red_sand
4 3 16 minecraft:sand
3 2 16 minecraft:sand
2 2 17 minecraft:sand
2 3 18 minecraft:sand
1 3 11 minecraft:red_sand
0 2 11 minecraft:red_sand
0 3 10 minecraft:red_sand
0 3 20 minecraft:sand
5 4 15 minecraft:cactus[age="0"]
4 3 17 minecraft:sand
3 2 17 minecraft:sand
3 3 18 minecraft:sand
2 4 12 minecraft:red_sand
2 3 19 minecraft:sand
1 2 19 minecraft:sand
1 3 20 minecraft:sand
5 5 15 minecraft:cactus[age="0"]
2 4 11 minecraft:red_sand
1 4 10 minecraft:red_sand
0 4 9 minecraft:red_sand
5 6 15 minecraft:cactus[age="0"]
5 3 14 minecraft:sand
4 3 13 minecraft:red_sand
5 3 16 minecraft:sand
3 3 12 minecraft:red_sand
3 4 11 minecraft:red_sand
0 3 21 minecraft:sand
7 4 14 minecraft:sand
6 3 14 minecraft:red_sand
5 3 13 minecraft:red_sand
4 3 12 minecraft:red_sand
7 4 16 minecraft:sand
6 3 16 minecraft:sand
6 4 17 minecraft:sand
5 3 17 minecraft:sand
4 3 18 minecraft:sand
3 3 19 minecraft:sand
2 3 20 minecraft:sand
1 3 21 minecraft:sand
0 3 22 minecraft:sand
6 3 13 minecraft:red_sand
7 4 15 minecraft:sand
6 3 15 minecraft:sand
5 3 12 minecraft:red_sand
4 3 11 minecraft:red_sand
4 4 10 minecraft:red_sand
6 4 18 minecraft:sand
5 3 18 minecraft:sand
4 3 19 minecraft:sand
3 3 20 minecraft:sand
2 4 10 minecraft:red_sand
2 3 21 minecraft:sand
1 4 9 minecraft:red_sand
1 3 22 minecraft:sand
0 4 8 minecraft:red_sand
0 3 23 minecraft:sand
8 4 13 minecraft:red_sand
7 3 13 minecraft:red_sand
6 3 12 minecraft:red_sand
5 3 11 minecraft:red_sand
5 4 10 minecraft:red_sand
6 4 19 minecraft:sand
5 3 19 minecraft:sand
4 3 20 minecraft:sand
3 4 10 minecraft:red_sand
3 3 21 minecraft:sand
2 4 9 minecraft:red_sand
2 3 22 minecraft:sand
1 4 8 minecraft:red_sand
1 3 23 minecraft:sand
0 4 7 minecraft:red_sand
0 3 24 minecraft:sand
8 4 14 minecraft:sand
8 4 16 minecraft:sand
7 4 17 minecraft:sand
7 3 12 minecraft:red_sand
6 3 11 minecraft:red_sand
5 3 20 minecraft:sand
4 3 21 minecraft:sand
3 4 9 minecraft:red_sand
3 3 22 minecraft:sand
2 4 8 minecraft:red_sand
2 3 23 minecraft:sand
1 4 7 minecraft:red_sand
1 3 24 minecraft:sand
0 4 6 minecraft:red_sand
0 3 25 minecraft:sand
