30 19 30
0 1 17 minecraft:sand
0 2 16 minecraft:sand
0 2 18 minecraft:sand
1 1 17 minecraft:sand
1 2 18 minecraft:sand
2 1 17 minecraft:sand
2 2 18 minecraft:sand
1 1 16 minecraft:sand
3 1 17 minecraft:sand
3 2 18 minecraft:sand
2 1 16 minecraft:sand
0 2 15 minecraft:sand
1 1 15 minecraft:sand
0 2 19 minecraft:sand
3 1 16 minecraft:sand
2 1 15 minecraft:sand
1 2 19 minecraft:sand
0 2 14 minecraft:sand
1 1 14 minecraft:sand
0 2 20 minecraft:sand
4 0 17 minecraft:sandstone
4 1 16 minecraft:sand
4 1 18 minecraft:sand
4 2 19 minecraft:sand
3 1 15 minecraft:sand
2 2 19 minecraft:sand
2 1 14 minecraft:sand
1 2 20 minecraft:sand
0 2 13 minecraft:sand
1 1 13 minecraft:sand
0 2 21 minecraft:sand
0 3 22 minecraft:sand
5 0 17 minecraft:sandstone
4 1 15 minecraft:sand
3 2 19 minecraft:sand
3 1 14 minecraft:sand
2 2 20 minecraft:sand
2 1 13 minecraft:sand
1 2 21 minecraft:sand
0 2 12 minecraft:sand
1 1 12 minecraft:sand
1 2 11 minecraft:sand
6 0 17 minecraft:sandstone
5 0 16 minecraft:sandstone
5 1 15 minecraft:sand
5 0 18 minecraft:sandstone
5 1 19 minecraft:sand
5 2 20 minecraft:sand
4 1 14 minecraft:sand
3 2 20 minecraft:sand
2 2 21 minecraft:sand
2 1 12 minecraft:sand
1 2 22 minecraft:sand
1 3 23 minecraft:sand
0 2 11 minecraft:sand
7 0 17 minecraft:sandstone
6 0 16 minecraft:sandstone
6 0 18 minecraft:sandstone
5 1 14 minecraft:sand
4 2 20 minecraft:sand
4 1 13 minecraft:sand
3 2 21 minecraft:sand
3 0 13 minecraft:sandstone
2 2 22 minecraft:sand
2 1 11 minecraft:sand
0 3 23 minecraft:sand
0 2 10 minecraft:sand
8 0 17 minecraft:sandstone
7 0 16 minecraft:sandstone
7 0 18 minecraft:sandstone
6 0 15 minecraft:sandstone
6 1 14 minecraft:sand
6 0 19 minecraft:sandstone
6 1 20 minecraft:sand
5 1 13 minecraft:sand
4 2 21 minecraft:sand
4 3 22 minecraft:cactus[age="0"]
3 2 22 minecraft:sand
3 0 12 minecraft:sandstone
3 1 11 minecraft:sand
2 2 23 minecraft:sand
2 1 10 minecraft:sand
0 3 24 minecraft:sand
0 2 9 minecraft:sand
9 0 17 minecraft:sandstone
8 0 16 minecraft:sandstone
8 0 18 minecraft:sandstone
7 0 15 minecraft:sandstone
7 0 19 minecraft:sandstone
7 1 20 minecraft:sand
6 1 13 minecraft:sand
5 2 21 minecraft:sand
6 1 21 minecraft:sand
4 4 22 minecraft:cactus[age="0"]
4 0 12 minecraft:sandstone
3 2 23 minecraft:sand
3 1 10 minecraft:sand
1 3 24 minecraft:sand
2 2 24 minecraft:sand
1 1 10 minecraft:sand
2 1 9 minecraft:sand
0 3 25 minecraft:sand
0 2 8 minecraft:sand
10 0 17 minecraft:sandstone
9 0 16 minecraft:sandstone
9 0 18 minecraft:sandstone
8 0 15 minecraft:sandstone
8 0 19 minecraft:sandstone
8 1 20 minecraft:sand
7 0 14 minecraft:sandstone
7 1 21 minecraft:sand
6 1 12 minecraft:sand
5 2 22 minecraft:sand
6 1 22 minecraft:sand
6 2 23 minecraft:sand
5 0 12 minecraft:sandstone
5 1 11 minecraft:sand
4 5 22 minecraft:cactus[age="0"]
4 0 11 minecraft:sandstone
4 1 10 minecraft:sand
4 2 23 minecraft:sand
3 2 24 minecraft:sand
3 1 9 minecraft:sand
1 3 25 minecraft:sand
2 2 25 minecraft:sand
