31 10 30
1 2 1 minecraft:sand
0 1 1 minecraft:sand
0 2 0 minecraft:sand
0 1 2 minecraft:sand
1 1 2 minecraft:sand
0 1 3 minecraft:sand
3 3 1 minecraft:sand
2 2 1 minecraft:sand
1 2 0 minecraft:sand
3 2 2 minecraft:sand
2 1 2 minecraft:sand
1 1 3 minecraft:sand
0 1 4 minecraft:sand
3 3 0 minecraft:sand
2 2 0 minecraft:sand
3 2 3 minecraft:sand
2 1 3 minecraft:sand
1 1 4 minecraft:sand
0 1 5 minecraft:sand
4 3 2 minecraft:sand
2 1 4 minecraft:sand
2 2 5 minecraft:sand
1 1 5 minecraft:sand
0 1 6 minecraft:sand
4 3 1 minecraft:sand
4 2 4 minecraft:sand
3 1 4 minecraft:sand
3 2 5 minecraft:sand
2 2 6 minecraft:sand
1 1 6 minecraft:sand
0 1 7 minecraft:sand
5 3 1 minecraft:sand
4 3 0 minecraft:sand
4 2 3 minecraft:sand
2 2 7 minecraft:sand
1 1 7 minecraft:sand
1 2 8 minecraft:sand
0 1 8 minecraft:sand
6 3 1 minecraft:sand
5 3 0 minecraft:sand
5 3 2 minecraft:sand
5 2 3 minecraft:sand
1 2 9 minecraft:sand
0 1 9 minecraft:sand
7 3 1 minecraft:sand
6 3 0 minecraft:sand
6 3 2 minecraft:sand
6 2 3 minecraft:sand
5 2 4 minecraft:sand
4 2 5 minecraft:sand
3 2 6 minecraft:sand
1 2 10 minecraft:sand
0 1 10 minecraft:sand
8 3 1 minecraft:sand
7 3 0 minecraft:sand
7 3 2 minecraft:sand
7 2 3 minecraft:sand
6 2 4 minecraft:sand
5 2 5 minecraft:sand
4 2 6 minecraft:sand
3 2 7 minecraft:sand
2 2 8 minecraft:sand
1 2 11 minecraft:sand
0 1 11 minecraft:sand
10 4 1 minecraft:sand
9 3 1 minecraft:sand
8 3 0 minecraft:sand
8 2 3 minecraft:sand
7 2 4 minecraft:sand
6 2 5 minecraft:sand
5 2 6 minecraft:sand
4 2 7 minecraft:sand
3 2 8 minecraft:sand
2 2 9 minecraft:sand
1 3 11 minecraft:sand
1 2 12 minecraft:sand
0 1 12 minecraft:sand
10 4 0 minecraft:sand
9 3 0 minecraft:sand
8 2 2 minecraft:sand
9 2 3 minecraft:sand
8 2 4 minecraft:sand
7 2 5 minecraft:sand
6 2 6 minecraft:sand
5 2 7 minecraft:sand
4 2 8 minecraft:sand
4 3 9 minecraft:sand
3 2 9 minecraft:sand
3 3 10 minecraft:sand
2 2 10 minecraft:sand
0 1 13 minecraft:sand
10 3 2 minecraft:sand
9 2 2 minecraft:sand
11 3 3 minecraft:sand
10 2 3 minecraft:sand
9 2 4 minecraft:sand
8 2 5 minecraft:sand
7 2 6 minecraft:sand
6 2 7 minecraft:sand
5 2 8 minecraft:sand
5 3 9 minecraft:sand
3 3 11 minecraft:sand
2 2 11 minecraft:sand
2 3 12 minecraft:sand
2 2 13 minecraft:sand
1 1 13 minecraft:sand
0 1 14 minecraft:sand
11 4 1 minecraft:sand
12 4 2 minecraft:sand
11 3 2 minecraft:sand
11 3 4 minecraft:sand
10 2 4 minecraft:sand
9 2 5 minecraft:sand
8 2 6 minecraft:sand
7 2 7 minecraft:sand
6 2 8 minecraft:sand
6 3 9 minecraft:sand
2 2 14 minecraft:sand
1 1 14 minecraft:sand
0 1 15 minecraft:sand
12 4 1 minecraft:sand
11 4 0 minecraft:sand
4 3 10 minecraft:sand
10 2 5 minecraft:sand
9 2 6 minecraft:sand
8 2 7 minecraft:sand
7 2 8 minecraft:sand
2 2 15 minecraft:sand
1 1 15 minecraft:sand
0 1 16 minecraft:sand
13 4 1 minecraft:sand
13 4 3 minecraft:sand
12 3 3 minecraft:sand
5 3 10 minecraft:sand
4 3 11 minecraft:sand
3 3 12 minecraft:sand
11 2 5 minecraft:sand
10 2 6 minecraft:sand
9 2 7 minecraft:sand
8 2 8 minecraft:sand
7 2 9 minecraft:sand
3 2 13 minecraft:sand
2 2 16 minecraft:sand
1 1 16 minecraft:sand
0 1 17 minecraft:sand
14 4 1 minecraft:sand
13 4 0 minecraft:sand
13 4 2 minecraft:sand
12 3 0 minecraft:sand
12 3 4 minecraft:sand
6 3 10 minecraft:sand
