6 7 9
1 3 6 minecraft:yellow_terracotta
1 3 7 minecraft:yellow_terracotta
1 3 8 minecraft:yellow_terracotta
1 4 6 minecraft:yellow_terracotta
1 4 7 minecraft:yellow_terracotta
1 4 8 minecraft:yellow_terracotta
2 0 5 minecraft:acacia_planks
2 0 6 minecraft:acacia_planks
2 1 6 minecraft:acacia_planks
2 2 4 minecraft:yellow_terracotta
2 2 5 minecraft:yellow_terracotta
2 2 6 minecraft:yellow_terracotta
2 2 7 minecraft:yellow_terracotta
2 2 8 minecraft:yellow_terracotta
2 3 4 minecraft:yellow_terracotta
2 3 5 minecraft:yellow_terracotta
2 3 6 minecraft:yellow_terracotta
2 3 7 minecraft:yellow_terracotta
2 3 8 minecraft:yellow_terracotta
2 4 3 minecraft:yellow_terracotta
2 4 4 minecraft:yellow_terracotta
2 4 5 minecraft:yellow_terracotta
2 4 6 minecraft:yellow_terracotta
2 4 7 minecraft:yellow_terracotta
2 5 3 minecraft:yellow_terracotta
2 5 4 minecraft:yellow_terracotta
2 5 5 minecraft:yellow_terracotta
2 6 3 minecraft:black_wool
2 6 4 minecraft:yellow_terracotta
2 6 5 minecraft:yellow_terracotta
2 7 3 minecraft:yellow_terracotta
2 7 4 minecraft:yellow_terracotta
2 7 5 minecraft:yellow_terracotta
3 2 4 minecraft:yellow_terracotta
3 2 5 minecraft:yellow_terracotta
3 2 6 minecraft:yellow_terracotta
3 2 7 minecraft:yellow_terracotta
3 3 4 minecraft:yellow_terracotta
3 3 5 minecraft:yellow_terracotta
3 3 6 minecraft:yellow_terracotta
3 3 7 minecraft:yellow_terracotta
3 4 3 minecraft:yellow_terracotta
3 4 4 minecraft:yellow_terracotta
3 4 5 minecraft:yellow_terracotta
3 4 6 minecraft:yellow_terracotta
3 4 7 minecraft:yellow_terracotta
3 5 1 minecraft:acacia_planks
3 5 2 minecraft:acacia_planks
3 5 3 minecraft:yellow_terracotta
3 5 5 minecraft:yellow_terracotta
3 6 3 minecraft:yellow_terracotta
3 6 5 minecraft:yellow_terracotta
3 7 3 minecraft:yellow_terracotta
3 7 4 minecraft:yellow_terracotta
3 7 5 minecraft:yellow_terracotta
4 0 5 minecraft:acacia_planks
4 0 6 minecraft:acacia_planks
4 1 6 minecraft:acacia_planks
4 2 4 minecraft:yellow_terracotta
4 2 5 minecraft:yellow_terracotta
4 2 6 minecraft:yellow_terracotta
4 2 7 minecraft:yellow_terracotta
4 2 8 minecraft:yellow_terracotta
4 3 4 minecraft:yellow_terracotta
4 3 5 minecraft:yellow_terracotta
4 3 6 minecraft:yellow_terracotta
4 3 7 minecraft:yellow_terracotta
4 3 8 minecraft:yellow_terracotta
4 4 3 minecraft:yellow_terracotta
4 4 4 minecraft:yellow_terracotta
4 4 5 minecraft:yellow_terracotta
4 4 6 minecraft:yellow_terracotta
4 4 7 minecraft:yellow_terracotta
4 5 3 minecraft:yellow_terracotta
4 5 4 minecraft:yellow_terracotta
4 5 5 minecraft:yellow_terracotta
4 6 3 minecraft:black_wool
4 6 4 minecraft:yellow_terracotta
4 6 5 minecraft:yellow_terracotta
4 7 3 minecraft:yellow_terracotta
4 7 4 minecraft:yellow_terracotta
4 7 5 minecraft:yellow_terracotta
5 3 6 minecraft:yellow_terracotta
5 3 7 minecraft:yellow_terracotta
5 3 8 minecraft:yellow_terracotta
5 4 6 minecraft:yellow_terracotta
5 4 7 minecraft:yellow_terracotta
5 4 8 minecraft:yellow_terracotta
