31 48 31
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 0 30 minecraft:stone
0 1 0 minecraft:grass_block[snowy="false"]
0 1 1 minecraft:grass_block[snowy="false"]
0 1 2 minecraft:grass_block[snowy="false"]
0 1 3 minecraft:grass_block[snowy="false"]
0 1 4 minecraft:grass_block[snowy="false"]
0 1 5 minecraft:grass_block[snowy="false"]
0 1 6 minecraft:grass_block[snowy="false"]
0 1 7 minecraft:grass_block[snowy="false"]
0 1 8 minecraft:grass_block[snowy="false"]
0 1 9 minecraft:grass_block[snowy="false"]
0 1 10 minecraft:grass_block[snowy="false"]
0 1 11 minecraft:grass_block[snowy="false"]
0 1 12 minecraft:grass_block[snowy="false"]
0 1 13 minecraft:grass_block[snowy="false"]
0 1 14 minecraft:grass_block[snowy="false"]
0 1 15 minecraft:grass_block[snowy="false"]
0 1 16 minecraft:grass_block[snowy="false"]
0 1 17 minecraft:grass_block[snowy="false"]
0 1 18 minecraft:grass_block[snowy="false"]
0 1 19 minecraft:grass_block[snowy="false"]
0 1 20 minecraft:grass_block[snowy="false"]
0 1 21 minecraft:grass_block[snowy="false"]
0 1 22 minecraft:grass_block[snowy="false"]
0 1 23 minecraft:grass_block[snowy="false"]
0 1 24 minecraft:grass_block[snowy="false"]
0 1 25 minecraft:grass_block[snowy="false"]
0 1 26 minecraft:grass_block[snowy="false"]
0 1 27 minecraft:grass_block[snowy="false"]
0 1 28 minecraft:grass_block[snowy="false"]
0 1 29 minecraft:grass_block[snowy="false"]
0 1 30 minecraft:grass_block[snowy="false"]
0 2 0 minecraft:jungle_leaves[distance="2",persistent="true"]
0 2 1 minecraft:jungle_leaves[distance="1",persistent="true"]
0 2 2 minecraft:jungle_leaves[distance="2",persistent="true"]
0 2 3 minecraft:jungle_leaves[distance="3",persistent="true"]
0 2 4 minecraft:grass
0 2 5 minecraft:tall_grass[half="lower"]
0 2 6 minecraft:grass
0 2 10 minecraft:grass
0 2 11 minecraft:grass
0 2 12 minecraft:grass
0 2 14 minecraft:grass
0 2 15 minecraft:grass
0 2 18 minecraft:tall_grass[half="lower"]
0 2 20 minecraft:tall_grass[half="lower"]
0 2 21 minecraft:grass
0 2 24 minecraft:grass
0 2 25 minecraft:fern
0 2 26 minecraft:fern
0 2 27 minecraft:fern
0 2 28 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 2 29 minecraft:fern
0 2 30 minecraft:fern
0 3 1 minecraft:jungle_leaves[distance="2",persistent="true"]
0 3 5 minecraft:tall_grass[half="upper"]
0 3 18 minecraft:tall_grass[half="upper"]
0 3 20 minecraft:tall_grass[half="upper"]
0 3 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 3 28 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 4 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 4 28 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 5 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 5 28 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 6 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 6 28 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 6 29 minecraft:jungle_leaves[distance="2",persistent="false"]
0 6 30 minecraft:jungle_leaves[distance="3",persistent="false"]
0 7 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 7 28 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 7 29 minecraft:jungle_leaves[distance="2",persistent="false"]
0 7 30 minecraft:jungle_leaves[distance="3",persistent="false"]
0 8 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 8 30 minecraft:jungle_leaves[distance="4",persistent="false"]
0 9 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 9 26 minecraft:jungle_leaves[distance="3",persistent="false"]
0 9 27 minecraft:jungle_leaves[distance="2",persistent="false"]
0 9 28 minecraft:jungle_leaves[distance="1",persistent="false"]
0 9 29 minecraft:jungle_leaves[distance="2",persistent="false"]
0 9 30 minecraft:jungle_leaves[distance="3",persistent="false"]
0 10 26 minecraft:jungle_leaves[distance="3",persistent="false"]
0 10 27 minecraft:jungle_leaves[distance="2",persistent="false"]
0 10 28 minecraft:jungle_leaves[distance="1",persistent="false"]
0 10 29 minecraft:jungle_leaves[distance="2",persistent="false"]
0 10 30 minecraft:jungle_leaves[distance="3",persistent="false"]
0 11 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 11 28 minecraft:jungle_leaves[distance="1",persistent="false"]
0 11 29 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 12 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 12 28 minecraft:jungle_leaves[distance="2",persistent="false"]
0 12 29 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 0 30 minecraft:stone
1 1 0 minecraft:grass_block[snowy="false"]
1 1 1 minecraft:dirt
1 1 2 minecraft:dirt
1 1 3 minecraft:grass_block[snowy="false"]
1 1 4 minecraft:dirt
1 1 5 minecraft:grass_block[snowy="false"]
1 1 6 minecraft:grass_block[snowy="false"]
1 1 7 minecraft:grass_block[snowy="false"]
1 1 8 minecraft:grass_block[snowy="false"]
1 1 9 minecraft:grass_block[snowy="false"]
1 1 10 minecraft:grass_block[snowy="false"]
1 1 11 minecraft:grass_block[snowy="false"]
1 1 12 minecraft:grass_block[snowy="false"]
1 1 13 minecraft:grass_block[snowy="false"]
1 1 14 minecraft:grass_block[snowy="false"]
1 1 15 minecraft:grass_block[snowy="false"]
1 1 16 minecraft:grass_block[snowy="false"]
1 1 17 minecraft:grass_block[snowy="false"]
1 1 18 minecraft:grass_block[snowy="false"]
1 1 19 minecraft:grass_block[snowy="false"]
1 1 20 minecraft:grass_block[snowy="false"]
1 1 21 minecraft:grass_block[snowy="false"]
1 1 22 minecraft:grass_block[snowy="false"]
1 1 23 minecraft:grass_block[snowy="false"]
1 1 24 minecraft:grass_block[snowy="false"]
1 1 25 minecraft:grass_block[snowy="false"]
1 1 26 minecraft:grass_block[snowy="false"]
1 1 27 minecraft:grass_block[snowy="false"]
1 1 28 minecraft:dirt
1 1 29 minecraft:grass_block[snowy="false"]
1 1 30 minecraft:grass_block[snowy="false"]
1 2 0 minecraft:jungle_leaves[distance="1",persistent="true"]
1 2 1 minecraft:jungle_log[axis="y"]
1 2 2 minecraft:melon
1 2 3 minecraft:jungle_leaves[distance="4",persistent="true"]
1 2 4 minecraft:melon
1 2 5 minecraft:grass
1 2 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 2 8 minecraft:tall_grass[half="lower"]
1 2 9 minecraft:grass
1 2 10 minecraft:grass
1 2 11 minecraft:grass
1 2 12 minecraft:grass
1 2 14 minecraft:grass
1 2 15 minecraft:grass
1 2 16 minecraft:tall_grass[half="lower"]
1 2 17 minecraft:grass
1 2 18 minecraft:grass
1 2 19 minecraft:tall_grass[half="lower"]
1 2 20 minecraft:grass
1 2 22 minecraft:grass
1 2 23 minecraft:fern
1 2 24 minecraft:fern
1 2 25 minecraft:fern
1 2 26 minecraft:grass
1 2 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 2 28 minecraft:jungle_log[axis="y"]
1 2 29 minecraft:fern
1 3 0 minecraft:jungle_leaves[distance="2",persistent="true"]
1 3 1 minecraft:jungle_leaves[distance="1",persistent="true"]
1 3 2 minecraft:jungle_leaves[distance="2",persistent="true"]
1 3 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 3 8 minecraft:tall_grass[half="upper"]
1 3 16 minecraft:tall_grass[half="upper"]
1 3 19 minecraft:tall_grass[half="upper"]
1 3 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 3 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 3 28 minecraft:jungle_log[axis="y"]
1 3 29 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 4 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 4 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 4 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 4 28 minecraft:jungle_log[axis="y"]
1 4 29 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 5 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 5 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 5 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 5 28 minecraft:jungle_log[axis="y"]
1 5 30 minecraft:vine[east="false",north="false",south="false",up="true",west="false"]
1 6 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 6 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 6 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 6 28 minecraft:jungle_log[axis="y"]
1 6 29 minecraft:jungle_leaves[distance="1",persistent="false"]
1 6 30 minecraft:jungle_leaves[distance="2",persistent="false"]
1 7 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 7 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 7 27 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 7 28 minecraft:jungle_log[axis="y"]
1 7 29 minecraft:jungle_leaves[distance="1",persistent="false"]
1 7 30 minecraft:jungle_leaves[distance="2",persistent="false"]
1 8 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 8 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 8 27 minecraft:vine[east="false",north="false",south="true",up="true",west="false"]
1 8 28 minecraft:jungle_log[axis="y"]
1 8 29 minecraft:vine[east="false",north="false",south="true",up="true",west="false"]
1 8 30 minecraft:jungle_leaves[distance="3",persistent="false"]
1 9 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 9 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 9 26 minecraft:jungle_leaves[distance="2",persistent="false"]
1 9 27 minecraft:jungle_leaves[distance="1",persistent="false"]
1 9 28 minecraft:jungle_log[axis="y"]
1 9 29 minecraft:jungle_leaves[distance="1",persistent="false"]
1 9 30 minecraft:jungle_leaves[distance="2",persistent="false"]
1 10 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 10 25 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 10 26 minecraft:jungle_leaves[distance="2",persistent="false"]
1 10 27 minecraft:jungle_leaves[distance="1",persistent="false"]
1 10 28 minecraft:jungle_log[axis="y"]
1 10 29 minecraft:jungle_leaves[distance="1",persistent="false"]
1 10 30 minecraft:jungle_leaves[distance="2",persistent="false"]
1 11 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 11 26 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 11 27 minecraft:jungle_leaves[distance="1",persistent="false"]
1 11 28 minecraft:jungle_log[axis="y"]
1 11 29 minecraft:jungle_leaves[distance="1",persistent="false"]
1 12 7 minecraft:bamboo[age="1",leaves="none",stage="0"]
1 12 26 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 12 27 minecraft:jungle_leaves[distance="2",persistent="false"]
1 12 28 minecraft:jungle_leaves[distance="1",persistent="false"]
1 12 29 minecraft:jungle_leaves[distance="2",persistent="false"]
1 13 7 minecraft:bamboo[age="1",leaves="small",stage="0"]
1 14 7 minecraft:bamboo[age="1",leaves="large",stage="0"]
1 15 7 minecraft:bamboo[age="1",leaves="large",stage="1"]
2 0 0 minecraft:stone
2 0 1 minecraft:stone
2 0 2 minecraft:stone
2 0 3 minecraft:stone
2 0 4 minecraft:stone
2 0 5 minecraft:stone
2 0 6 minecraft:stone
2 0 7 minecraft:stone
2 0 8 minecraft:stone
2 0 9 minecraft:stone
2 0 10 minecraft:stone
2 0 11 minecraft:stone
2 0 12 minecraft:stone
2 0 13 minecraft:stone
2 0 14 minecraft:stone
2 0 15 minecraft:stone
2 0 16 minecraft:stone
2 0 17 minecraft:stone
2 0 18 minecraft:stone
2 0 19 minecraft:stone
2 0 20 minecraft:stone
2 0 21 minecraft:stone
2 0 22 minecraft:stone
2 0 23 minecraft:stone
2 0 24 minecraft:stone
2 0 25 minecraft:stone
2 0 26 minecraft:stone
2 0 27 minecraft:stone
2 0 28 minecraft:stone
2 0 29 minecraft:stone
2 0 30 minecraft:stone
2 1 0 minecraft:grass_block[snowy="false"]
2 1 1 minecraft:grass_block[snowy="false"]
2 1 2 minecraft:grass_block[snowy="false"]
2 1 3 minecraft:grass_block[snowy="false"]
2 1 4 minecraft:grass_block[snowy="false"]
2 1 5 minecraft:grass_block[snowy="false"]
2 1 6 minecraft:dirt
2 1 7 minecraft:grass_block[snowy="false"]
2 1 8 minecraft:grass_block[snowy="false"]
2 1 9 minecraft:grass_block[snowy="false"]
2 1 10 minecraft:grass_block[snowy="false"]
2 1 11 minecraft:grass_block[snowy="false"]
2 1 12 minecraft:grass_block[snowy="false"]
2 1 13 minecraft:grass_block[snowy="false"]
2 1 14 minecraft:grass_block[snowy="false"]
2 1 15 minecraft:grass_block[snowy="false"]
2 1 16 minecraft:grass_block[snowy="false"]
2 1 17 minecraft:grass_block[snowy="false"]
2 1 18 minecraft:grass_block[snowy="false"]
2 1 19 minecraft:grass_block[snowy="false"]
2 1 20 minecraft:grass_block[snowy="false"]
2 1 21 minecraft:grass_block[snowy="false"]
2 1 22 minecraft:grass_block[snowy="false"]
2 1 23 minecraft:grass_block[snowy="false"]
