30 48 30
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 1 0 minecraft:dirt
0 1 1 minecraft:dirt
0 1 2 minecraft:dirt
0 1 3 minecraft:dirt
0 1 4 minecraft:dirt
0 1 5 minecraft:grass_block[snowy="false"]
0 1 6 minecraft:grass_block[snowy="false"]
0 1 7 minecraft:dirt
0 1 8 minecraft:dirt
0 1 9 minecraft:dirt
0 1 10 minecraft:gold_block
0 1 11 minecraft:gold_block
0 1 12 minecraft:dirt
0 1 13 minecraft:dirt
0 1 14 minecraft:dirt
0 1 15 minecraft:dirt
0 1 16 minecraft:dirt
0 1 17 minecraft:dirt
0 1 18 minecraft:dirt
0 1 19 minecraft:dirt
0 1 20 minecraft:grass_block[snowy="false"]
0 1 21 minecraft:grass_block[snowy="false"]
0 1 22 minecraft:grass_block[snowy="false"]
0 1 23 minecraft:dirt
0 1 24 minecraft:dirt
0 1 25 minecraft:dirt
0 1 28 minecraft:grass_block[snowy="false"]
0 1 29 minecraft:grass_block[snowy="false"]
0 2 0 minecraft:dirt
0 2 1 minecraft:dirt
0 2 2 minecraft:dirt
0 2 3 minecraft:dirt
0 2 4 minecraft:dirt
0 2 7 minecraft:dirt
0 2 8 minecraft:grass_block[snowy="false"]
0 2 9 minecraft:grass_block[snowy="false"]
0 2 10 minecraft:grass_block[snowy="false"]
0 2 11 minecraft:grass_block[snowy="false"]
0 2 12 minecraft:grass_block[snowy="false"]
0 2 13 minecraft:dirt
0 2 14 minecraft:dirt
0 2 15 minecraft:dirt
0 2 16 minecraft:dirt
0 2 17 minecraft:dirt
0 2 18 minecraft:dirt
0 2 19 minecraft:grass_block[snowy="false"]
0 2 23 minecraft:dirt
0 2 24 minecraft:dirt
0 2 25 minecraft:dirt
0 2 26 minecraft:dirt
0 2 27 minecraft:grass_block[snowy="false"]
0 3 0 minecraft:dirt
0 3 1 minecraft:dirt
0 3 2 minecraft:dirt
0 3 3 minecraft:dirt
0 3 4 minecraft:dirt
0 3 5 minecraft:dirt
0 3 6 minecraft:dirt
0 3 7 minecraft:dirt
0 3 13 minecraft:dirt
0 3 14 minecraft:dirt
0 3 15 minecraft:dirt
0 3 16 minecraft:dirt
0 3 17 minecraft:dirt
0 3 18 minecraft:dirt
0 3 23 minecraft:dirt
0 3 24 minecraft:grass_block[snowy="false"]
0 3 25 minecraft:grass_block[snowy="false"]
0 3 26 minecraft:grass_block[snowy="false"]
0 3 27 minecraft:fern
0 4 0 minecraft:grass_block[snowy="false"]
0 4 1 minecraft:grass_block[snowy="false"]
0 4 2 minecraft:dirt
0 4 3 minecraft:dirt
0 4 4 minecraft:dirt
0 4 5 minecraft:dirt
0 4 6 minecraft:dirt
0 4 7 minecraft:grass_block[snowy="false"]
0 4 13 minecraft:dirt
0 4 14 minecraft:dirt
0 4 15 minecraft:dirt
0 4 16 minecraft:dirt
0 4 17 minecraft:dirt
0 4 18 minecraft:dirt
0 4 19 minecraft:dirt
0 4 20 minecraft:dirt
0 4 21 minecraft:dirt
0 4 22 minecraft:grass_block[snowy="false"]
0 4 23 minecraft:grass_block[snowy="false"]
0 4 24 minecraft:grass
0 4 26 minecraft:grass
0 5 1 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 5 2 minecraft:grass_block[snowy="false"]
0 5 3 minecraft:grass_block[snowy="false"]
0 5 4 minecraft:dirt
0 5 5 minecraft:dirt
0 5 6 minecraft:dirt
0 5 9 minecraft:dirt
0 5 10 minecraft:dirt
0 5 11 minecraft:dirt
0 5 12 minecraft:dirt
0 5 13 minecraft:dirt
0 5 14 minecraft:dirt
0 5 15 minecraft:dirt
0 5 16 minecraft:dirt
0 5 17 minecraft:grass_block[snowy="false"]
0 5 18 minecraft:dirt
0 5 19 minecraft:dirt
0 5 20 minecraft:grass_block[snowy="false"]
0 5 21 minecraft:grass_block[snowy="false"]
0 5 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 5 23 minecraft:grass
0 6 1 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 6 2 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 6 3 minecraft:grass
0 6 4 minecraft:grass_block[snowy="false"]
0 6 5 minecraft:grass_block[snowy="false"]
0 6 6 minecraft:dirt
0 6 7 minecraft:dirt
0 6 8 minecraft:dirt
0 6 9 minecraft:dirt
0 6 10 minecraft:dirt
0 6 11 minecraft:dirt
0 6 12 minecraft:dirt
0 6 13 minecraft:grass_block[snowy="false"]
0 6 14 minecraft:grass_block[snowy="false"]
0 6 15 minecraft:grass_block[snowy="false"]
0 6 16 minecraft:grass_block[snowy="false"]
0 6 18 minecraft:grass_block[snowy="false"]
0 6 19 minecraft:grass_block[snowy="false"]
0 6 20 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 6 21 minecraft:grass
0 6 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 7 1 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 7 2 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 7 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 7 4 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 7 6 minecraft:grass_block[snowy="false"]
0 7 7 minecraft:grass_block[snowy="false"]
0 7 8 minecraft:grass_block[snowy="false"]
0 7 9 minecraft:dirt
0 7 10 minecraft:grass_block[snowy="false"]
0 7 11 minecraft:grass_block[snowy="false"]
0 7 12 minecraft:grass_block[snowy="false"]
0 7 13 minecraft:tall_grass[half="lower"]
0 7 14 minecraft:grass
0 7 15 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 7 18 minecraft:grass
0 7 19 minecraft:tall_grass[half="lower"]
0 7 20 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 7 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 8 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 8 6 minecraft:grass
0 8 7 minecraft:jungle_leaves[distance="2",persistent="true"]
0 8 8 minecraft:jungle_leaves[distance="1",persistent="true"]
0 8 9 minecraft:jungle_log[axis="y"]
0 8 10 minecraft:jungle_leaves[distance="1",persistent="true"]
0 8 11 minecraft:jungle_leaves[distance="2",persistent="true"]
0 8 13 minecraft:tall_grass[half="upper"]
0 8 15 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 8 20 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 8 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 9 0 minecraft:vine[east="false",north="false",south="false",up="true",west="false"]
0 9 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 9 8 minecraft:jungle_leaves[distance="2",persistent="true"]
0 9 9 minecraft:jungle_leaves[distance="1",persistent="true"]
0 9 10 minecraft:jungle_leaves[distance="2",persistent="true"]
0 9 15 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 9 20 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 9 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 10 0 minecraft:jungle_leaves[distance="6",persistent="false"]
0 10 1 minecraft:jungle_leaves[distance="5",persistent="false"]
0 10 2 minecraft:jungle_leaves[distance="4",persistent="false"]
0 10 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 10 15 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 10 20 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 10 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 11 0 minecraft:jungle_leaves[distance="7",persistent="true"]
0 11 1 minecraft:jungle_leaves[distance="6",persistent="false"]
0 11 2 minecraft:jungle_leaves[distance="5",persistent="false"]
0 11 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 11 15 minecraft:vine[east="true",north="false",south="false",up="true",west="false"]
0 11 20 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 11 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 12 0 minecraft:jungle_leaves[distance="7",persistent="true"]
0 12 13 minecraft:jungle_leaves[distance="3",persistent="false"]
0 12 14 minecraft:jungle_leaves[distance="2",persistent="false"]
0 12 15 minecraft:jungle_leaves[distance="1",persistent="false"]
0 12 16 minecraft:jungle_leaves[distance="2",persistent="false"]
0 12 17 minecraft:jungle_leaves[distance="3",persistent="false"]
0 12 22 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 12 23 minecraft:jungle_leaves[distance="5",persistent="false"]
0 12 24 minecraft:jungle_leaves[distance="6",persistent="false"]
0 13 0 minecraft:jungle_leaves[distance="7",persistent="true"]
0 13 13 minecraft:jungle_leaves[distance="3",persistent="false"]
0 13 14 minecraft:jungle_leaves[distance="2",persistent="false"]
0 13 15 minecraft:jungle_leaves[distance="1",persistent="false"]
0 13 16 minecraft:jungle_leaves[distance="2",persistent="false"]
0 13 17 minecraft:jungle_leaves[distance="3",persistent="false"]
0 13 23 minecraft:jungle_leaves[distance="6",persistent="false"]
0 14 14 minecraft:vine[east="true",north="false",south="true",up="false",west="false"]
0 14 15 minecraft:jungle_leaves[distance="1",persistent="false"]
0 14 16 minecraft:jungle_leaves[distance="2",persistent="false"]
0 15 14 minecraft:vine[east="true",north="false",south="true",up="false",west="false"]
0 15 15 minecraft:jungle_leaves[distance="2",persistent="false"]
0 22 15 minecraft:jungle_slab[type="top"]
0 23 14 minecraft:jungle_slab[type="bottom"]
0 23 16 minecraft:jungle_slab[type="bottom"]
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 1 0 minecraft:dirt
1 1 1 minecraft:dirt
1 1 2 minecraft:dirt
1 1 3 minecraft:dirt
1 1 4 minecraft:dirt
1 1 5 minecraft:dirt
1 1 6 minecraft:dirt
1 1 7 minecraft:dirt
1 1 8 minecraft:dirt
1 1 9 minecraft:dirt
1 1 10 minecraft:gold_block
1 1 11 minecraft:gold_block
1 1 12 minecraft:dirt
1 1 13 minecraft:dirt
1 1 14 minecraft:dirt
1 1 15 minecraft:dirt
1 1 16 minecraft:dirt
1 1 17 minecraft:dirt
1 1 18 minecraft:dirt
1 1 19 minecraft:dirt
1 1 20 minecraft:grass_block[snowy="false"]
1 1 21 minecraft:grass_block[snowy="false"]
1 1 22 minecraft:grass_block[snowy="false"]
1 1 23 minecraft:dirt
1 1 24 minecraft:dirt
1 1 25 minecraft:dirt
1 1 26 minecraft:dirt
1 1 27 minecraft:dirt
1 1 28 minecraft:dirt
1 1 29 minecraft:grass_block[snowy="false"]
1 2 0 minecraft:dirt
1 2 1 minecraft:dirt
1 2 2 minecraft:dirt
1 2 3 minecraft:dirt
1 2 4 minecraft:dirt
1 2 5 minecraft:dirt
1 2 6 minecraft:dirt
1 2 7 minecraft:dirt
1 2 8 minecraft:grass_block[snowy="false"]
1 2 9 minecraft:grass_block[snowy="false"]
1 2 10 minecraft:grass_block[snowy="false"]
1 2 11 minecraft:grass_block[snowy="false"]
1 2 12 minecraft:dirt
1 2 13 minecraft:dirt
1 2 14 minecraft:dirt
1 2 15 minecraft:dirt
1 2 16 minecraft:dirt
1 2 17 minecraft:dirt
1 2 18 minecraft:dirt
1 2 19 minecraft:grass_block[snowy="false"]
1 2 23 minecraft:dirt
1 2 24 minecraft:dirt
1 2 25 minecraft:dirt
1 2 26 minecraft:dirt
1 2 27 minecraft:grass_block[snowy="false"]
1 2 28 minecraft:grass_block[snowy="false"]
1 3 0 minecraft:dirt
1 3 1 minecraft:dirt
1 3 2 minecraft:dirt
1 3 3 minecraft:dirt
1 3 4 minecraft:dirt
1 3 5 minecraft:dirt
1 3 6 minecraft:dirt
1 3 7 minecraft:dirt
1 3 12 minecraft:dirt
1 3 13 minecraft:dirt
1 3 14 minecraft:dirt
1 3 15 minecraft:dirt
1 3 16 minecraft:dirt
1 3 17 minecraft:dirt
1 3 18 minecraft:dirt
1 3 22 minecraft:fern
1 3 23 minecraft:dirt
1 3 24 minecraft:dirt
1 3 25 minecraft:grass_block[snowy="false"]
1 3 26 minecraft:grass_block[snowy="false"]
1 3 27 minecraft:grass
1 3 28 minecraft:fern
1 4 0 minecraft:grass_block[snowy="false"]
1 4 1 minecraft:grass_block[snowy="false"]
1 4 2 minecraft:dirt
1 4 3 minecraft:dirt
1 4 4 minecraft:dirt
1 4 5 minecraft:dirt
1 4 6 minecraft:dirt
1 4 7 minecraft:dirt
1 4 10 minecraft:dirt
1 4 11 minecraft:dirt
1 4 12 minecraft:dirt
1 4 13 minecraft:dirt
1 4 14 minecraft:dirt
1 4 15 minecraft:dirt
1 4 16 minecraft:dirt
1 4 17 minecraft:dirt
1 4 18 minecraft:dirt
1 4 19 minecraft:dirt
1 4 20 minecraft:dirt
1 4 21 minecraft:dirt
1 4 22 minecraft:grass_block[snowy="false"]
1 4 23 minecraft:grass_block[snowy="false"]
1 4 24 minecraft:grass_block[snowy="false"]
1 4 25 minecraft:grass
1 4 26 minecraft:fern
1 5 0 minecraft:tall_grass[half="lower"]
1 5 2 minecraft:grass_block[snowy="false"]
1 5 3 minecraft:dirt
1 5 4 minecraft:dirt
1 5 5 minecraft:dirt
1 5 6 minecraft:dirt
1 5 7 minecraft:dirt
1 5 10 minecraft:dirt
1 5 11 minecraft:dirt
1 5 12 minecraft:dirt
1 5 13 minecraft:dirt
1 5 14 minecraft:dirt
1 5 15 minecraft:dirt
1 5 16 minecraft:grass_block[snowy="false"]
1 5 17 minecraft:grass_block[snowy="false"]
1 5 18 minecraft:dirt
