31 48 30
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 1 0 minecraft:grass_block[snowy="false"]
0 1 1 minecraft:grass_block[snowy="false"]
0 1 2 minecraft:grass_block[snowy="false"]
0 1 3 minecraft:grass_block[snowy="false"]
0 1 4 minecraft:grass_block[snowy="false"]
0 1 5 minecraft:dirt
0 1 6 minecraft:grass_block[snowy="false"]
0 1 7 minecraft:grass_block[snowy="false"]
0 1 8 minecraft:grass_block[snowy="false"]
0 1 9 minecraft:grass_block[snowy="false"]
0 1 10 minecraft:grass_block[snowy="false"]
0 1 11 minecraft:grass_block[snowy="false"]
0 1 12 minecraft:grass_block[snowy="false"]
0 1 13 minecraft:grass_block[snowy="false"]
0 1 14 minecraft:grass_block[snowy="false"]
0 1 15 minecraft:grass_block[snowy="false"]
0 1 16 minecraft:grass_block[snowy="false"]
0 1 17 minecraft:grass_block[snowy="false"]
0 1 18 minecraft:grass_block[snowy="false"]
0 1 19 minecraft:grass_block[snowy="false"]
0 1 20 minecraft:grass_block[snowy="false"]
0 1 21 minecraft:grass_block[snowy="false"]
0 1 22 minecraft:grass_block[snowy="false"]
0 1 23 minecraft:grass_block[snowy="false"]
0 1 24 minecraft:grass_block[snowy="false"]
0 1 25 minecraft:grass_block[snowy="false"]
0 1 26 minecraft:grass_block[snowy="false"]
0 1 27 minecraft:grass_block[snowy="false"]
0 1 28 minecraft:grass_block[snowy="false"]
0 1 29 minecraft:grass_block[snowy="false"]
0 2 0 minecraft:grass
0 2 1 minecraft:grass
0 2 2 minecraft:fern
0 2 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 2 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 2 5 minecraft:jungle_log[axis="y"]
0 2 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 2 9 minecraft:grass
0 2 10 minecraft:grass
0 2 11 minecraft:grass
0 2 12 minecraft:grass
0 2 13 minecraft:grass
0 2 14 minecraft:fern
0 2 15 minecraft:grass
0 2 16 minecraft:fern
0 2 17 minecraft:fern
0 2 18 minecraft:fern
0 2 19 minecraft:grass
0 2 20 minecraft:grass
0 2 23 minecraft:grass
0 2 24 minecraft:grass
0 2 25 minecraft:fern
0 2 26 minecraft:grass
0 2 27 minecraft:fern
0 3 0 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 3 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 3 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 3 5 minecraft:jungle_log[axis="y"]
0 3 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 4 0 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
0 4 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 4 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 4 5 minecraft:jungle_log[axis="y"]
0 4 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 5 0 minecraft:vine[east="true",north="false",south="false",up="true",west="false"]
0 5 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 5 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 5 5 minecraft:jungle_log[axis="y"]
0 5 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 6 0 minecraft:jungle_leaves[distance="1",persistent="false"]
0 6 1 minecraft:jungle_leaves[distance="2",persistent="false"]
0 6 2 minecraft:jungle_leaves[distance="3",persistent="false"]
0 6 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 6 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 6 5 minecraft:jungle_log[axis="y"]
0 6 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 7 0 minecraft:jungle_leaves[distance="1",persistent="false"]
0 7 1 minecraft:jungle_leaves[distance="2",persistent="false"]
0 7 2 minecraft:jungle_leaves[distance="3",persistent="false"]
0 7 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 7 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 7 5 minecraft:jungle_log[axis="y"]
0 7 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 8 0 minecraft:jungle_leaves[distance="1",persistent="false"]
0 8 1 minecraft:jungle_leaves[distance="2",persistent="false"]
0 8 2 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 8 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 8 5 minecraft:jungle_log[axis="y"]
0 8 6 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 9 0 minecraft:jungle_leaves[distance="2",persistent="false"]
0 9 1 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
0 9 4 minecraft:vine[east="false",north="false",south="true",up="true",west="false"]
0 9 5 minecraft:jungle_log[axis="y"]
0 9 6 minecraft:vine[east="false",north="true",south="false",up="true",west="false"]
0 10 3 minecraft:jungle_leaves[distance="2",persistent="false"]
0 10 4 minecraft:jungle_leaves[distance="1",persistent="false"]
0 10 5 minecraft:jungle_log[axis="y"]
0 10 6 minecraft:jungle_leaves[distance="1",persistent="false"]
0 10 7 minecraft:jungle_leaves[distance="2",persistent="false"]
0 11 3 minecraft:jungle_leaves[distance="2",persistent="false"]
0 11 4 minecraft:jungle_leaves[distance="1",persistent="false"]
0 11 5 minecraft:jungle_log[axis="y"]
0 11 6 minecraft:jungle_leaves[distance="1",persistent="false"]
0 11 7 minecraft:jungle_leaves[distance="2",persistent="false"]
0 12 3 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 12 4 minecraft:jungle_leaves[distance="1",persistent="false"]
0 12 5 minecraft:jungle_log[axis="y"]
0 12 6 minecraft:jungle_leaves[distance="1",persistent="false"]
0 13 3 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 13 4 minecraft:jungle_leaves[distance="2",persistent="false"]
0 13 5 minecraft:jungle_leaves[distance="1",persistent="false"]
0 13 6 minecraft:jungle_leaves[distance="2",persistent="false"]
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 1 0 minecraft:dirt
1 1 1 minecraft:grass_block[snowy="false"]
1 1 2 minecraft:grass_block[snowy="false"]
1 1 3 minecraft:grass_block[snowy="false"]
1 1 4 minecraft:grass_block[snowy="false"]
1 1 5 minecraft:grass_block[snowy="false"]
1 1 6 minecraft:grass_block[snowy="false"]
1 1 7 minecraft:grass_block[snowy="false"]
1 1 8 minecraft:grass_block[snowy="false"]
1 1 9 minecraft:grass_block[snowy="false"]
1 1 10 minecraft:grass_block[snowy="false"]
1 1 11 minecraft:grass_block[snowy="false"]
1 1 12 minecraft:grass_block[snowy="false"]
1 1 13 minecraft:grass_block[snowy="false"]
1 1 14 minecraft:grass_block[snowy="false"]
1 1 15 minecraft:grass_block[snowy="false"]
1 1 16 minecraft:grass_block[snowy="false"]
1 1 17 minecraft:grass_block[snowy="false"]
1 1 18 minecraft:grass_block[snowy="false"]
1 1 19 minecraft:grass_block[snowy="false"]
1 1 20 minecraft:grass_block[snowy="false"]
1 1 21 minecraft:grass_block[snowy="false"]
1 1 22 minecraft:grass_block[snowy="false"]
1 1 23 minecraft:grass_block[snowy="false"]
1 1 24 minecraft:grass_block[snowy="false"]
1 1 25 minecraft:grass_block[snowy="false"]
1 1 26 minecraft:grass_block[snowy="false"]
1 1 27 minecraft:grass_block[snowy="false"]
1 1 28 minecraft:grass_block[snowy="false"]
1 1 29 minecraft:grass_block[snowy="false"]
1 2 0 minecraft:jungle_log[axis="y"]
1 2 1 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 2 2 minecraft:fern
1 2 3 minecraft:fern
1 2 4 minecraft:grass
1 2 5 minecraft:vine[east="true",north="false",south="false",up="false",west="true"]
1 2 6 minecraft:fern
1 2 7 minecraft:fern
1 2 8 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 2 9 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 2 10 minecraft:fern
1 2 11 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 2 12 minecraft:fern
1 2 13 minecraft:grass
1 2 14 minecraft:grass
1 2 15 minecraft:fern
1 2 16 minecraft:fern
1 2 17 minecraft:fern
1 2 18 minecraft:fern
1 2 19 minecraft:fern
1 2 20 minecraft:grass
1 2 21 minecraft:grass
1 2 22 minecraft:grass
1 2 23 minecraft:grass
1 2 24 minecraft:fern
1 2 25 minecraft:grass
1 2 26 minecraft:fern
1 2 27 minecraft:grass
1 2 28 minecraft:fern
1 3 0 minecraft:jungle_log[axis="y"]
1 3 1 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 3 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 3 5 minecraft:vine[east="true",north="false",south="false",up="false",west="true"]
1 3 8 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 3 9 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 3 11 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 4 0 minecraft:jungle_log[axis="y"]
1 4 1 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 4 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 4 5 minecraft:vine[east="true",north="false",south="false",up="false",west="true"]
1 4 8 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 4 9 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 5 0 minecraft:jungle_log[axis="y"]
1 5 1 minecraft:vine[east="false",north="true",south="false",up="true",west="false"]
1 5 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 5 5 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 6 0 minecraft:jungle_log[axis="y"]
1 6 1 minecraft:jungle_leaves[distance="1",persistent="false"]
1 6 2 minecraft:jungle_leaves[distance="2",persistent="false"]
1 6 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 6 5 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 7 0 minecraft:jungle_log[axis="y"]
1 7 1 minecraft:jungle_leaves[distance="1",persistent="false"]
1 7 2 minecraft:jungle_leaves[distance="2",persistent="false"]
1 7 3 minecraft:vine[east="false",north="true",south="false",up="false",west="false"]
1 7 5 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 8 0 minecraft:jungle_log[axis="y"]
1 8 1 minecraft:jungle_leaves[distance="1",persistent="false"]
1 8 2 minecraft:vine[east="true",north="true",south="false",up="false",west="false"]
1 8 5 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 9 0 minecraft:jungle_leaves[distance="1",persistent="false"]
1 9 1 minecraft:jungle_leaves[distance="2",persistent="false"]
1 9 2 minecraft:vine[east="true",north="false",south="false",up="false",west="false"]
1 9 5 minecraft:vine[east="true",north="false",south="false",up="true",west="false"]
1 10 3 minecraft:jungle_leaves[distance="3",persistent="false"]
1 10 4 minecraft:jungle_leaves[distance="2",persistent="false"]
1 10 5 minecraft:jungle_leaves[distance="1",persistent="false"]
1 10 6 minecraft:jungle_leaves[distance="2",persistent="false"]
1 10 7 minecraft:jungle_leaves[distance="3",persistent="false"]
1 11 3 minecraft:jungle_leaves[distance="3",persistent="false"]
1 11 4 minecraft:jungle_leaves[distance="2",persistent="false"]
1 11 5 minecraft:jungle_leaves[distance="1",persistent="false"]
1 11 6 minecraft:jungle_leaves[distance="2",persistent="false"]
1 11 7 minecraft:jungle_leaves[distance="3",persistent="false"]
1 12 4 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 12 5 minecraft:jungle_leaves[distance="1",persistent="false"]
1 12 6 minecraft:vine[east="false",north="false",south="false",up="false",west="true"]
1 13 5 minecraft:jungle_leaves[distance="2",persistent="false"]
2 0 0 minecraft:stone
2 0 1 minecraft:stone
2 0 2 minecraft:stone
2 0 3 minecraft:stone
2 0 4 minecraft:stone
2 0 5 minecraft:stone
2 0 6 minecraft:stone
2 0 7 minecraft:stone
2 0 8 minecraft:stone
2 0 9 minecraft:stone
2 0 10 minecraft:stone
2 0 11 minecraft:stone
2 0 12 minecraft:stone
2 0 13 minecraft:stone
2 0 14 minecraft:stone
2 0 15 minecraft:stone
2 0 16 minecraft:stone
2 0 17 minecraft:stone
2 0 18 minecraft:stone
2 0 19 minecraft:stone
2 0 20 minecraft:stone
2 0 21 minecraft:stone
2 0 22 minecraft:stone
2 0 23 minecraft:stone
2 0 24 minecraft:stone
2 0 25 minecraft:stone
2 0 26 minecraft:stone
2 0 27 minecraft:stone
2 0 28 minecraft:stone
2 0 29 minecraft:stone
2 1 0 minecraft:grass_block[snowy="false"]
2 1 1 minecraft:grass_block[snowy="false"]
2 1 2 minecraft:grass_block[snowy="false"]
2 1 3 minecraft:grass_block[snowy="false"]
2 1 4 minecraft:grass_block[snowy="false"]
2 1 5 minecraft:grass_block[snowy="false"]
2 1 6 minecraft:grass_block[snowy="false"]
2 1 7 minecraft:grass_block[snowy="false"]
2 1 8 minecraft:grass_block[snowy="false"]
2 1 9 minecraft:grass_block[snowy="false"]
2 1 10 minecraft:grass_block[snowy="false"]
2 1 11 minecraft:grass_block[snowy="false"]
2 1 12 minecraft:grass_block[snowy="false"]
2 1 13 minecraft:grass_block[snowy="false"]
2 1 14 minecraft:grass_block[snowy="false"]
2 1 15 minecraft:grass_block[snowy="false"]
2 1 16 minecraft:grass_block[snowy="false"]
2 1 17 minecraft:grass_block[snowy="false"]
2 1 18 minecraft:grass_block[snowy="false"]
