31 25 31
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 0 30 minecraft:stone
0 1 0 minecraft:podzol[snowy="false"]
0 1 1 minecraft:podzol[snowy="false"]
0 1 2 minecraft:podzol[snowy="false"]
0 1 3 minecraft:podzol[snowy="false"]
0 1 4 minecraft:podzol[snowy="false"]
0 1 5 minecraft:podzol[snowy="false"]
0 1 6 minecraft:podzol[snowy="false"]
0 1 7 minecraft:podzol[snowy="false"]
0 1 8 minecraft:podzol[snowy="false"]
0 1 9 minecraft:podzol[snowy="false"]
0 1 10 minecraft:podzol[snowy="false"]
0 1 11 minecraft:dirt
0 1 12 minecraft:dirt
0 1 13 minecraft:dirt
0 1 14 minecraft:dirt
0 1 15 minecraft:dirt
0 1 16 minecraft:dirt
0 1 17 minecraft:dirt
0 1 18 minecraft:dirt
0 1 19 minecraft:dirt
0 1 20 minecraft:dirt
0 1 21 minecraft:dirt
0 1 22 minecraft:dirt
0 1 23 minecraft:dirt
0 1 24 minecraft:dirt
0 1 25 minecraft:dirt
0 1 26 minecraft:dirt
0 1 27 minecraft:dirt
0 1 28 minecraft:dirt
0 1 29 minecraft:dirt
0 1 30 minecraft:dirt
0 2 11 minecraft:spruce_log[axis="y"]
0 2 12 minecraft:grass_block[snowy="false"]
0 2 13 minecraft:grass_block[snowy="false"]
0 2 14 minecraft:dirt
0 2 15 minecraft:dirt
0 2 16 minecraft:dirt
0 2 17 minecraft:dirt
0 2 18 minecraft:dirt
0 2 19 minecraft:dirt
0 2 20 minecraft:dirt
0 2 21 minecraft:dirt
0 2 22 minecraft:dirt
0 2 23 minecraft:dirt
0 2 24 minecraft:dirt
0 2 25 minecraft:dirt
0 2 26 minecraft:dirt
0 2 27 minecraft:dirt
0 2 28 minecraft:dirt
0 2 29 minecraft:dirt
0 2 30 minecraft:dirt
0 3 11 minecraft:spruce_log[axis="y"]
0 3 14 minecraft:stone_bricks
0 3 15 minecraft:stone_bricks
0 3 16 minecraft:stone_bricks
0 3 17 minecraft:stone_bricks
0 3 18 minecraft:stone_bricks
0 3 19 minecraft:stone_bricks
0 3 20 minecraft:stone_bricks
0 3 21 minecraft:birch_planks
0 3 22 minecraft:spruce_planks
0 3 23 minecraft:dark_oak_planks
0 3 24 minecraft:dark_oak_planks
0 3 25 minecraft:dark_oak_planks
0 3 26 minecraft:dark_oak_planks
0 3 27 minecraft:dark_oak_planks
0 3 28 minecraft:dark_oak_planks
0 3 29 minecraft:dark_oak_planks
0 3 30 minecraft:dark_oak_planks
0 4 11 minecraft:spruce_log[axis="y"]
0 4 12 minecraft:brown_terracotta
0 4 13 minecraft:gray_terracotta
0 4 14 minecraft:brown_terracotta
0 4 15 minecraft:gray_terracotta
0 4 16 minecraft:brown_terracotta
0 4 17 minecraft:gray_terracotta
0 4 18 minecraft:brown_terracotta
0 4 19 minecraft:gray_terracotta
0 4 20 minecraft:brown_terracotta
0 4 21 minecraft:stone_bricks
0 4 22 minecraft:spruce_planks
0 5 17 minecraft:oak_fence[east="false",north="false",south="false",west="false"]
0 5 20 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 5 21 minecraft:stone_bricks
0 5 22 minecraft:spruce_planks
0 6 20 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 6 21 minecraft:stone_bricks
0 6 22 minecraft:spruce_planks
0 7 20 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
0 7 21 minecraft:stone_bricks
0 7 22 minecraft:spruce_planks
0 8 20 minecraft:vine[east="false",north="false",south="true",up="true",west="false"]
0 8 21 minecraft:stone_bricks
0 8 22 minecraft:spruce_planks
0 9 19 minecraft:dark_oak_slab[type="top"]
0 9 20 minecraft:spruce_log[axis="y"]
0 9 21 minecraft:spruce_planks
0 9 22 minecraft:spruce_planks
0 10 20 minecraft:polished_blackstone_brick_slab[type="bottom"]
0 10 21 minecraft:spruce_planks
0 10 22 minecraft:spruce_planks
0 10 23 minecraft:dark_oak_planks
0 10 24 minecraft:dark_oak_planks
0 10 25 minecraft:dark_oak_planks
0 10 26 minecraft:dark_oak_planks
0 10 27 minecraft:dark_oak_planks
0 10 28 minecraft:dark_oak_planks
0 10 29 minecraft:dark_oak_planks
0 10 30 minecraft:dark_oak_planks
0 11 21 minecraft:spruce_planks
0 11 22 minecraft:dark_oak_planks
0 11 23 minecraft:dark_oak_planks
0 11 24 minecraft:dark_oak_planks
0 11 25 minecraft:dark_oak_planks
0 11 26 minecraft:dark_oak_planks
0 11 27 minecraft:dark_oak_planks
0 11 28 minecraft:dark_oak_planks
0 11 29 minecraft:dark_oak_planks
0 11 30 minecraft:dark_oak_planks
0 12 20 minecraft:dark_oak_stairs[facing="south",half="top",shape="straight"]
0 12 21 minecraft:spruce_planks
0 12 27 minecraft:black_concrete
0 13 21 minecraft:glass_pane[east="true",north="false",south="false",west="false"]
0 14 21 minecraft:glass_pane[east="true",north="false",south="false",west="false"]
0 15 21 minecraft:glass_pane[east="true",north="false",south="false",west="false"]
0 16 20 minecraft:dark_oak_stairs[facing="south",half="bottom",shape="straight"]
0 16 21 minecraft:spruce_planks
0 17 21 minecraft:spruce_planks
0 18 20 minecraft:spruce_log[axis="y"]
0 18 21 minecraft:spruce_planks
0 18 22 minecraft:spruce_planks
0 18 23 minecraft:spruce_planks
0 18 24 minecraft:spruce_planks
0 18 25 minecraft:spruce_planks
0 18 26 minecraft:spruce_planks
0 18 27 minecraft:spruce_planks
0 18 28 minecraft:spruce_planks
0 18 29 minecraft:spruce_planks
0 18 30 minecraft:spruce_planks
0 19 20 minecraft:dark_oak_fence[east="true",north="false",south="true",west="false"]
0 19 21 minecraft:spruce_planks
0 20 19 minecraft:dark_oak_slab[type="top"]
0 20 20 minecraft:spruce_log[axis="y"]
0 20 21 minecraft:spruce_planks
0 21 20 minecraft:polished_blackstone_brick_slab[type="bottom"]
0 21 21 minecraft:polished_blackstone_bricks
0 22 22 minecraft:polished_blackstone_brick_slab[type="bottom"]
0 22 23 minecraft:polished_blackstone_bricks
0 22 24 minecraft:polished_blackstone_brick_slab[type="top"]
0 23 24 minecraft:polished_blackstone_brick_slab[type="bottom"]
0 23 25 minecraft:polished_blackstone_bricks
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 0 30 minecraft:stone
1 1 0 minecraft:podzol[snowy="false"]
1 1 1 minecraft:podzol[snowy="false"]
1 1 2 minecraft:podzol[snowy="false"]
1 1 3 minecraft:podzol[snowy="false"]
1 1 4 minecraft:podzol[snowy="false"]
1 1 5 minecraft:podzol[snowy="false"]
1 1 6 minecraft:podzol[snowy="false"]
1 1 7 minecraft:podzol[snowy="false"]
1 1 8 minecraft:podzol[snowy="false"]
1 1 9 minecraft:podzol[snowy="false"]
1 1 10 minecraft:podzol[snowy="false"]
1 1 11 minecraft:dirt
1 1 12 minecraft:dirt
1 1 13 minecraft:dirt
1 1 14 minecraft:dirt
1 1 15 minecraft:dirt
1 1 16 minecraft:dirt
1 1 17 minecraft:dirt
1 1 18 minecraft:dirt
1 1 19 minecraft:dirt
1 1 20 minecraft:dirt
1 1 21 minecraft:dirt
1 1 22 minecraft:dirt
1 1 23 minecraft:dirt
1 1 24 minecraft:dirt
1 1 25 minecraft:dirt
1 1 26 minecraft:dirt
1 1 27 minecraft:dirt
1 1 28 minecraft:dirt
1 1 29 minecraft:dirt
1 1 30 minecraft:dirt
1 2 11 minecraft:spruce_log[axis="y"]
1 2 12 minecraft:grass_block[snowy="false"]
1 2 13 minecraft:grass_block[snowy="false"]
1 2 14 minecraft:dirt
1 2 15 minecraft:dirt
1 2 16 minecraft:dirt
1 2 17 minecraft:dirt
1 2 18 minecraft:dirt
1 2 19 minecraft:dirt
1 2 20 minecraft:dirt
1 2 21 minecraft:dirt
1 2 22 minecraft:dirt
1 2 23 minecraft:dirt
1 2 24 minecraft:dirt
1 2 25 minecraft:dirt
1 2 26 minecraft:dirt
1 2 27 minecraft:dirt
1 2 28 minecraft:dirt
1 2 29 minecraft:dirt
1 2 30 minecraft:dirt
1 3 11 minecraft:spruce_log[axis="y"]
1 3 14 minecraft:stone_bricks
1 3 15 minecraft:stone_bricks
1 3 16 minecraft:stone_bricks
1 3 17 minecraft:andesite
1 3 18 minecraft:stone_bricks
1 3 19 minecraft:stone_bricks
1 3 20 minecraft:andesite
1 3 21 minecraft:birch_planks
1 3 22 minecraft:spruce_planks
1 3 23 minecraft:dark_oak_planks
1 3 24 minecraft:dark_oak_planks
1 3 25 minecraft:dark_oak_planks
1 3 26 minecraft:dark_oak_planks
1 3 27 minecraft:dark_oak_planks
1 3 28 minecraft:dark_oak_planks
1 3 29 minecraft:dark_oak_planks
1 3 30 minecraft:dark_oak_planks
1 4 11 minecraft:spruce_log[axis="y"]
1 4 12 minecraft:brown_terracotta
1 4 13 minecraft:gray_terracotta
1 4 14 minecraft:brown_terracotta
1 4 15 minecraft:gray_terracotta
1 4 16 minecraft:brown_terracotta
1 4 17 minecraft:gray_terracotta
1 4 18 minecraft:brown_terracotta
1 4 19 minecraft:gray_terracotta
1 4 20 minecraft:brown_terracotta
1 4 21 minecraft:stone_bricks
1 4 22 minecraft:spruce_planks
1 4 24 minecraft:red_carpet
1 4 25 minecraft:red_carpet
1 4 26 minecraft:red_carpet
1 4 27 minecraft:red_carpet
1 4 28 minecraft:red_carpet
1 4 29 minecraft:red_carpet
1 5 18 minecraft:oak_fence[east="true",north="false",south="false",west="false"]
1 5 20 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 5 21 minecraft:stone_bricks
1 5 22 minecraft:spruce_planks
1 6 18 minecraft:oak_fence[east="true",north="false",south="false",west="false"]
1 6 20 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 6 21 minecraft:stone_bricks
1 6 22 minecraft:spruce_planks
1 7 18 minecraft:oak_fence[east="false",north="false",south="false",west="false"]
1 7 20 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 7 21 minecraft:stone_bricks
1 7 22 minecraft:spruce_planks
1 8 18 minecraft:oak_fence[east="false",north="false",south="false",west="false"]
1 8 20 minecraft:vine[east="false",north="false",south="true",up="true",west="false"]
1 8 21 minecraft:andesite
1 8 22 minecraft:spruce_planks
1 9 19 minecraft:dark_oak_slab[type="top"]
1 9 20 minecraft:spruce_log[axis="y"]
1 9 21 minecraft:spruce_planks
1 9 22 minecraft:spruce_planks
1 10 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 10 20 minecraft:polished_blackstone_brick_slab[type="bottom"]
1 10 21 minecraft:spruce_planks
1 10 22 minecraft:spruce_planks
1 10 23 minecraft:dark_oak_planks
1 10 24 minecraft:dark_oak_planks
1 10 25 minecraft:dark_oak_planks
1 10 26 minecraft:dark_oak_planks
1 10 27 minecraft:dark_oak_planks
1 10 28 minecraft:dark_oak_planks
1 10 29 minecraft:dark_oak_planks
1 10 30 minecraft:dark_oak_planks
1 11 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 11 21 minecraft:spruce_planks
1 11 22 minecraft:dark_oak_planks
1 11 23 minecraft:dark_oak_planks
1 11 24 minecraft:dark_oak_planks
1 11 25 minecraft:dark_oak_planks
1 11 26 minecraft:dark_oak_planks
1 11 27 minecraft:dark_oak_planks
1 11 28 minecraft:dark_oak_planks
1 11 29 minecraft:dark_oak_planks
1 11 30 minecraft:dark_oak_planks
1 12 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 12 20 minecraft:dark_oak_stairs[facing="south",half="top",shape="straight"]
1 12 21 minecraft:spruce_planks
1 12 28 minecraft:black_concrete
1 13 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 13 20 minecraft:dark_oak_fence[east="false",north="false",south="true",west="false"]
1 13 21 minecraft:spruce_planks
1 13 28 minecraft:black_concrete
1 13 29 minecraft:black_concrete
1 14 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 14 20 minecraft:dark_oak_fence[east="false",north="false",south="true",west="false"]
1 14 21 minecraft:spruce_planks
1 14 27 minecraft:black_concrete
1 14 28 minecraft:black_concrete
1 14 29 minecraft:black_concrete
1 14 30 minecraft:black_concrete
1 15 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 15 20 minecraft:dark_oak_fence[east="false",north="false",south="true",west="false"]
1 15 21 minecraft:spruce_planks
1 16 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 16 20 minecraft:dark_oak_stairs[facing="west",half="bottom",shape="outer_left"]
1 16 21 minecraft:spruce_planks
1 17 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 17 21 minecraft:spruce_planks
1 18 19 minecraft:vine[east="false",north="false",south="true",up="false",west="false"]
1 18 20 minecraft:spruce_log[axis="y"]
1 18 21 minecraft:spruce_planks
1 18 22 minecraft:spruce_planks
1 18 23 minecraft:spruce_planks
1 18 24 minecraft:spruce_planks
1 18 25 minecraft:spruce_planks
1 18 26 minecraft:spruce_planks
1 18 27 minecraft:spruce_planks
1 18 28 minecraft:spruce_planks
1 18 29 minecraft:spruce_planks
1 18 30 minecraft:spruce_planks
1 19 20 minecraft:dark_oak_fence[east="true",north="false",south="true",west="true"]
1 19 21 minecraft:spruce_planks
1 20 19 minecraft:dark_oak_slab[type="top"]
1 20 20 minecraft:spruce_log[axis="y"]
1 20 21 minecraft:spruce_planks
1 21 20 minecraft:polished_blackstone_brick_slab[type="bottom"]
1 21 21 minecraft:polished_blackstone_bricks
1 22 22 minecraft:polished_blackstone_brick_slab[type="bottom"]
