30 20 30
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 1 0 minecraft:dirt
0 1 1 minecraft:dirt
0 1 2 minecraft:dirt
0 1 3 minecraft:dirt
0 1 4 minecraft:dirt
0 1 5 minecraft:dirt
0 1 6 minecraft:dirt
0 1 7 minecraft:dirt
0 1 8 minecraft:dirt
0 1 9 minecraft:dirt
0 1 10 minecraft:dirt
0 1 11 minecraft:dirt
0 1 12 minecraft:dirt
0 1 13 minecraft:dirt
0 1 14 minecraft:dirt
0 1 15 minecraft:dirt
0 1 16 minecraft:dirt
0 1 17 minecraft:dirt
0 1 18 minecraft:dirt
0 1 19 minecraft:dirt
0 1 20 minecraft:dirt
0 1 21 minecraft:dirt
0 1 22 minecraft:dirt
0 1 23 minecraft:dirt
0 1 24 minecraft:dirt
0 1 25 minecraft:dirt
0 1 26 minecraft:dirt
0 1 27 minecraft:dirt
0 1 28 minecraft:dirt
0 1 29 minecraft:dirt
0 2 0 minecraft:dirt
0 2 1 minecraft:dirt
0 2 2 minecraft:dirt
0 2 3 minecraft:dirt
0 2 4 minecraft:dirt
0 2 5 minecraft:dirt
0 2 6 minecraft:dirt
0 2 7 minecraft:dirt
0 2 8 minecraft:dirt
0 2 9 minecraft:dirt
0 2 10 minecraft:dirt
0 2 11 minecraft:dirt
0 2 12 minecraft:dirt
0 2 13 minecraft:dirt
0 2 14 minecraft:dirt
0 2 15 minecraft:dirt
0 2 16 minecraft:dirt
0 2 17 minecraft:dirt
0 2 18 minecraft:dirt
0 2 19 minecraft:dirt
0 2 20 minecraft:dirt
0 2 21 minecraft:dirt
0 2 22 minecraft:dirt
0 2 23 minecraft:dirt
0 2 24 minecraft:dirt
0 2 25 minecraft:dirt
0 2 26 minecraft:dirt
0 2 27 minecraft:dirt
0 2 28 minecraft:dirt
0 2 29 minecraft:dirt
0 3 0 minecraft:dark_oak_planks
0 3 1 minecraft:dark_oak_planks
0 3 2 minecraft:dark_oak_planks
0 3 3 minecraft:dark_oak_planks
0 3 4 minecraft:dark_oak_planks
0 3 5 minecraft:dark_oak_planks
0 3 6 minecraft:dark_oak_planks
0 3 7 minecraft:dark_oak_planks
0 3 8 minecraft:dark_oak_planks
0 3 9 minecraft:dark_oak_planks
0 3 10 minecraft:dark_oak_planks
0 3 11 minecraft:dark_oak_planks
0 3 12 minecraft:dark_oak_planks
0 3 13 minecraft:dark_oak_planks
0 3 14 minecraft:dark_oak_planks
0 3 15 minecraft:dark_oak_planks
0 3 16 minecraft:dark_oak_planks
0 3 17 minecraft:dark_oak_planks
0 3 18 minecraft:dark_oak_planks
0 3 19 minecraft:dark_oak_planks
0 3 20 minecraft:dark_oak_planks
0 3 21 minecraft:dark_oak_planks
0 3 22 minecraft:dark_oak_planks
0 3 23 minecraft:dark_oak_planks
0 3 24 minecraft:dark_oak_planks
0 3 25 minecraft:dark_oak_planks
0 3 26 minecraft:dark_oak_planks
0 3 27 minecraft:dark_oak_planks
0 3 28 minecraft:dark_oak_planks
0 3 29 minecraft:dark_oak_planks
0 4 18 minecraft:spruce_planks
0 5 13 minecraft:wall_torch[facing="west"]
0 5 18 minecraft:spruce_planks
0 6 13 minecraft:spruce_stairs[facing="east",half="top",shape="straight"]
0 6 18 minecraft:spruce_planks
0 7 13 minecraft:spruce_planks
0 7 14 minecraft:spruce_planks
0 7 15 minecraft:spruce_planks
0 7 16 minecraft:spruce_planks
0 7 17 minecraft:spruce_planks
0 7 18 minecraft:spruce_planks
0 8 0 minecraft:spruce_log[axis="y"]
0 8 11 minecraft:dark_oak_slab[type="top"]
0 8 12 minecraft:dark_oak_slab[type="top"]
0 8 13 minecraft:spruce_planks
0 9 0 minecraft:spruce_planks
0 9 1 minecraft:spruce_planks
0 9 2 minecraft:spruce_planks
0 9 3 minecraft:spruce_planks
0 9 4 minecraft:spruce_planks
0 9 5 minecraft:spruce_planks
0 9 6 minecraft:spruce_log[axis="y"]
0 9 13 minecraft:spruce_planks
0 10 0 minecraft:spruce_planks
0 10 5 minecraft:spruce_planks
0 10 6 minecraft:dark_oak_fence[east="true",north="true",south="false",west="false"]
0 10 13 minecraft:spruce_planks
0 11 0 minecraft:dark_oak_planks
0 11 1 minecraft:dark_oak_planks
0 11 2 minecraft:dark_oak_planks
0 11 3 minecraft:dark_oak_planks
0 11 4 minecraft:dark_oak_planks
0 11 5 minecraft:dark_oak_planks
0 11 6 minecraft:spruce_log[axis="y"]
0 11 13 minecraft:spruce_log[axis="y"]
0 11 14 minecraft:dark_oak_planks
0 11 15 minecraft:dark_oak_planks
0 11 16 minecraft:dark_oak_planks
0 11 17 minecraft:dark_oak_planks
0 11 18 minecraft:dark_oak_planks
0 11 19 minecraft:dark_oak_planks
0 11 20 minecraft:dark_oak_planks
0 11 21 minecraft:dark_oak_planks
0 11 22 minecraft:dark_oak_planks
0 11 23 minecraft:dark_oak_planks
0 11 24 minecraft:dark_oak_planks
0 11 25 minecraft:dark_oak_planks
0 11 26 minecraft:dark_oak_planks
0 11 27 minecraft:dark_oak_planks
0 11 28 minecraft:dark_oak_planks
0 11 29 minecraft:dark_oak_planks
0 12 6 minecraft:dark_oak_fence[east="true",north="false",south="false",west="false"]
0 12 13 minecraft:dark_oak_fence[east="true",north="false",south="false",west="false"]
0 12 22 minecraft:spruce_planks
0 12 23 minecraft:spruce_planks
0 12 24 minecraft:spruce_planks
0 12 25 minecraft:spruce_planks
0 12 26 minecraft:spruce_planks
0 12 27 minecraft:spruce_planks
0 12 28 minecraft:spruce_planks
0 12 29 minecraft:spruce_planks
0 13 22 minecraft:spruce_planks
0 13 23 minecraft:spruce_planks
0 13 24 minecraft:spruce_planks
0 13 25 minecraft:spruce_planks
0 13 26 minecraft:spruce_planks
0 13 27 minecraft:spruce_planks
0 13 28 minecraft:spruce_planks
0 13 29 minecraft:spruce_planks
0 14 22 minecraft:spruce_planks
0 14 23 minecraft:spruce_planks
0 14 24 minecraft:spruce_planks
0 14 25 minecraft:spruce_planks
0 14 26 minecraft:spruce_planks
0 14 27 minecraft:spruce_planks
0 14 28 minecraft:spruce_planks
0 14 29 minecraft:spruce_planks
0 15 22 minecraft:spruce_planks
0 15 23 minecraft:spruce_planks
0 15 24 minecraft:spruce_planks
0 15 25 minecraft:spruce_planks
0 15 26 minecraft:spruce_planks
0 15 27 minecraft:spruce_planks
0 15 28 minecraft:spruce_planks
0 15 29 minecraft:spruce_planks
0 16 3 minecraft:lantern[hanging="true"]
0 16 9 minecraft:lantern[hanging="true"]
0 16 15 minecraft:lantern[hanging="true"]
0 16 21 minecraft:lantern[hanging="true"]
0 16 22 minecraft:spruce_planks
0 16 23 minecraft:spruce_planks
0 16 24 minecraft:spruce_planks
0 16 25 minecraft:spruce_planks
0 16 26 minecraft:spruce_planks
0 16 27 minecraft:spruce_planks
0 16 28 minecraft:spruce_planks
0 16 29 minecraft:spruce_planks
0 17 3 minecraft:spruce_log[axis="x"]
0 17 9 minecraft:spruce_log[axis="x"]
0 17 15 minecraft:spruce_log[axis="x"]
0 17 21 minecraft:spruce_log[axis="x"]
0 17 22 minecraft:spruce_planks
0 17 23 minecraft:spruce_planks
0 17 24 minecraft:spruce_planks
0 17 25 minecraft:spruce_planks
0 17 26 minecraft:spruce_planks
0 17 27 minecraft:spruce_planks
0 17 28 minecraft:spruce_planks
0 17 29 minecraft:spruce_planks
0 18 0 minecraft:spruce_planks
0 18 1 minecraft:spruce_planks
0 18 2 minecraft:spruce_planks
0 18 3 minecraft:spruce_planks
0 18 4 minecraft:spruce_planks
0 18 5 minecraft:spruce_planks
0 18 6 minecraft:spruce_planks
0 18 7 minecraft:spruce_planks
0 18 8 minecraft:spruce_planks
0 18 9 minecraft:spruce_planks
0 18 10 minecraft:spruce_planks
0 18 11 minecraft:spruce_planks
0 18 12 minecraft:spruce_planks
0 18 13 minecraft:spruce_planks
0 18 14 minecraft:spruce_planks
0 18 15 minecraft:spruce_planks
0 18 16 minecraft:spruce_planks
0 18 17 minecraft:spruce_planks
0 18 18 minecraft:spruce_planks
0 18 19 minecraft:spruce_planks
0 18 20 minecraft:spruce_planks
0 18 21 minecraft:spruce_planks
0 18 22 minecraft:spruce_planks
0 18 23 minecraft:spruce_planks
0 18 24 minecraft:spruce_planks
0 18 25 minecraft:spruce_planks
0 18 26 minecraft:spruce_planks
0 18 27 minecraft:spruce_planks
0 18 28 minecraft:spruce_planks
0 18 29 minecraft:spruce_planks
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 1 0 minecraft:dirt
1 1 1 minecraft:dirt
1 1 2 minecraft:dirt
1 1 3 minecraft:dirt
1 1 4 minecraft:dirt
1 1 5 minecraft:dirt
1 1 6 minecraft:dirt
1 1 7 minecraft:dirt
1 1 8 minecraft:dirt
1 1 9 minecraft:dirt
1 1 10 minecraft:dirt
1 1 11 minecraft:dirt
1 1 12 minecraft:dirt
1 1 13 minecraft:dirt
1 1 14 minecraft:dirt
1 1 15 minecraft:dirt
1 1 16 minecraft:dirt
1 1 17 minecraft:dirt
1 1 18 minecraft:dirt
1 1 19 minecraft:dirt
1 1 20 minecraft:dirt
1 1 21 minecraft:dirt
1 1 22 minecraft:dirt
1 1 23 minecraft:dirt
1 1 24 minecraft:dirt
1 1 25 minecraft:dirt
1 1 26 minecraft:dirt
1 1 27 minecraft:dirt
1 1 28 minecraft:dirt
1 1 29 minecraft:dirt
1 2 0 minecraft:dirt
1 2 1 minecraft:dirt
1 2 2 minecraft:dirt
1 2 3 minecraft:dirt
1 2 4 minecraft:dirt
1 2 5 minecraft:dirt
1 2 6 minecraft:dirt
1 2 7 minecraft:dirt
1 2 8 minecraft:dirt
1 2 9 minecraft:dirt
1 2 10 minecraft:dirt
1 2 11 minecraft:dirt
1 2 12 minecraft:dirt
1 2 13 minecraft:dirt
1 2 14 minecraft:dirt
1 2 15 minecraft:dirt
1 2 16 minecraft:dirt
1 2 17 minecraft:dirt
1 2 18 minecraft:dirt
1 2 19 minecraft:dirt
1 2 20 minecraft:dirt
1 2 21 minecraft:dirt
1 2 22 minecraft:dirt
1 2 23 minecraft:dirt
1 2 24 minecraft:dirt
1 2 25 minecraft:dirt
1 2 26 minecraft:dirt
1 2 27 minecraft:dirt
1 2 28 minecraft:dirt
1 2 29 minecraft:dirt
1 3 0 minecraft:dark_oak_planks
1 3 1 minecraft:dark_oak_planks
1 3 2 minecraft:dark_oak_planks
1 3 3 minecraft:dark_oak_planks
1 3 4 minecraft:dark_oak_planks
1 3 5 minecraft:dark_oak_planks
1 3 6 minecraft:dark_oak_planks
1 3 7 minecraft:dark_oak_planks
1 3 8 minecraft:dark_oak_planks
1 3 9 minecraft:dark_oak_planks
1 3 10 minecraft:dark_oak_planks
1 3 11 minecraft:dark_oak_planks
1 3 12 minecraft:dark_oak_planks
1 3 13 minecraft:dark_oak_planks
1 3 14 minecraft:dark_oak_planks
1 3 15 minecraft:dark_oak_planks
1 3 16 minecraft:dark_oak_planks
1 3 17 minecraft:dark_oak_planks
1 3 18 minecraft:dark_oak_planks
1 3 19 minecraft:dark_oak_planks
1 3 20 minecraft:dark_oak_planks
1 3 21 minecraft:dark_oak_planks
1 3 22 minecraft:dark_oak_planks
1 3 23 minecraft:dark_oak_planks
1 3 24 minecraft:dark_oak_planks
1 3 25 minecraft:dark_oak_planks
1 3 26 minecraft:dark_oak_planks
1 3 27 minecraft:dark_oak_planks
1 3 28 minecraft:dark_oak_planks
1 3 29 minecraft:dark_oak_planks
1 4 13 minecraft:spruce_planks
1 4 18 minecraft:spruce_planks
1 5 13 minecraft:spruce_planks
1 5 18 minecraft:spruce_planks
1 6 13 minecraft:spruce_planks
1 6 18 minecraft:spruce_planks
1 7 6 minecraft:lantern[hanging="true"]
1 7 13 minecraft:spruce_planks
1 7 14 minecraft:spruce_planks
1 7 15 minecraft:spruce_planks
1 7 16 minecraft:spruce_planks
1 7 17 minecraft:spruce_planks
1 7 18 minecraft:spruce_planks
1 8 0 minecraft:spruce_log[axis="y"]
1 8 6 minecraft:dark_oak_fence[east="false",north="false",south="false",west="false"]
1 8 10 minecraft:dark_oak_slab[type="bottom"]
1 8 11 minecraft:dark_oak_slab[type="bottom"]
1 8 12 minecraft:dark_oak_slab[type="bottom"]
1 8 13 minecraft:spruce_planks
1 9 0 minecraft:spruce_planks
1 9 1 minecraft:spruce_planks
1 9 2 minecraft:spruce_planks
1 9 3 minecraft:spruce_planks
1 9 4 minecraft:spruce_planks
1 9 5 minecraft:spruce_planks
1 9 6 minecraft:spruce_log[axis="y"]
1 9 13 minecraft:spruce_planks
1 10 0 minecraft:spruce_planks
1 10 5 minecraft:spruce_planks
1 10 6 minecraft:dark_oak_fence[east="true",north="true",south="false",west="true"]
1 10 13 minecraft:spruce_planks
1 11 0 minecraft:dark_oak_planks
1 11 1 minecraft:dark_oak_planks
1 11 2 minecraft:dark_oak_planks
1 11 3 minecraft:dark_oak_planks
1 11 4 minecraft:dark_oak_planks
1 11 5 minecraft:dark_oak_planks
1 11 6 minecraft:spruce_log[axis="y"]
1 11 13 minecraft:spruce_log[axis="y"]
1 11 14 minecraft:dark_oak_planks
1 11 15 minecraft:dark_oak_planks
1 11 16 minecraft:dark_oak_planks
1 11 17 minecraft:dark_oak_planks
1 11 18 minecraft:dark_oak_planks
1 11 19 minecraft:dark_oak_planks
1 11 20 minecraft:dark_oak_planks
1 11 21 minecraft:dark_oak_planks
1 11 22 minecraft:dark_oak_planks
1 11 23 minecraft:dark_oak_planks
1 11 24 minecraft:dark_oak_planks
