31 33 33
0 1 0 minecraft:lava[level="0"]
1 1 0 minecraft:lava[level="0"]
0 0 0 minecraft:netherrack
0 1 1 minecraft:lava[level="0"]
2 1 0 minecraft:lava[level="0"]
1 0 0 minecraft:netherrack
1 1 1 minecraft:lava[level="0"]
0 0 1 minecraft:netherrack
0 1 2 minecraft:lava[level="0"]
3 1 0 minecraft:lava[level="0"]
2 0 0 minecraft:netherrack
2 1 1 minecraft:lava[level="0"]
1 0 1 minecraft:netherrack
1 1 2 minecraft:lava[level="0"]
0 0 2 minecraft:netherrack
0 1 3 minecraft:lava[level="0"]
4 1 0 minecraft:lava[level="0"]
3 0 0 minecraft:netherrack
3 1 1 minecraft:lava[level="0"]
2 0 1 minecraft:netherrack
2 1 2 minecraft:lava[level="0"]
1 0 2 minecraft:netherrack
1 1 3 minecraft:lava[level="0"]
0 0 3 minecraft:netherrack
0 1 4 minecraft:lava[level="0"]
5 1 0 minecraft:lava[level="0"]
4 0 0 minecraft:netherrack
4 1 1 minecraft:lava[level="0"]
3 0 1 minecraft:netherrack
3 1 2 minecraft:lava[level="0"]
2 0 2 minecraft:netherrack
2 1 3 minecraft:lava[level="0"]
1 0 3 minecraft:netherrack
1 1 4 minecraft:lava[level="0"]
0 0 4 minecraft:netherrack
0 1 5 minecraft:lava[level="0"]
6 1 0 minecraft:lava[level="0"]
5 0 0 minecraft:netherrack
5 1 1 minecraft:lava[level="0"]
4 0 1 minecraft:netherrack
4 1 2 minecraft:lava[level="0"]
3 0 2 minecraft:netherrack
3 1 3 minecraft:lava[level="0"]
2 0 3 minecraft:netherrack
2 1 4 minecraft:lava[level="0"]
1 0 4 minecraft:netherrack
1 1 5 minecraft:lava[level="0"]
0 0 5 minecraft:netherrack
0 1 6 minecraft:lava[level="0"]
7 1 0 minecraft:lava[level="0"]
6 0 0 minecraft:netherrack
6 1 1 minecraft:lava[level="0"]
5 0 1 minecraft:netherrack
5 1 2 minecraft:lava[level="0"]
4 0 2 minecraft:netherrack
4 1 3 minecraft:lava[level="0"]
3 0 3 minecraft:netherrack
3 1 4 minecraft:lava[level="0"]
2 0 4 minecraft:netherrack
2 1 5 minecraft:lava[level="0"]
1 0 5 minecraft:netherrack
1 1 6 minecraft:lava[level="0"]
0 0 6 minecraft:netherrack
0 1 7 minecraft:lava[level="0"]
8 1 0 minecraft:lava[level="0"]
7 0 0 minecraft:netherrack
7 1 1 minecraft:lava[level="0"]
6 0 1 minecraft:netherrack
6 1 2 minecraft:lava[level="0"]
5 0 2 minecraft:netherrack
5 1 3 minecraft:lava[level="0"]
4 0 3 minecraft:netherrack
4 1 4 minecraft:lava[level="0"]
3 0 4 minecraft:netherrack
3 1 5 minecraft:lava[level="0"]
2 0 5 minecraft:netherrack
2 1 6 minecraft:lava[level="0"]
1 0 6 minecraft:netherrack
1 1 7 minecraft:lava[level="0"]
0 0 7 minecraft:netherrack
0 1 8 minecraft:lava[level="0"]
9 1 0 minecraft:lava[level="0"]
8 0 0 minecraft:netherrack
8 1 1 minecraft:lava[level="0"]
7 0 1 minecraft:netherrack
7 1 2 minecraft:lava[level="0"]
6 0 2 minecraft:netherrack
6 1 3 minecraft:lava[level="0"]
5 0 3 minecraft:netherrack
5 1 4 minecraft:lava[level="0"]
4 0 4 minecraft:netherrack
4 1 5 minecraft:lava[level="0"]
3 0 5 minecraft:netherrack
3 1 6 minecraft:lava[level="0"]
2 0 6 minecraft:netherrack
2 1 7 minecraft:lava[level="0"]
1 0 7 minecraft:netherrack
1 1 8 minecraft:lava[level="0"]
0 0 8 minecraft:netherrack
0 1 9 minecraft:lava[level="0"]
10 1 0 minecraft:lava[level="0"]
9 0 0 minecraft:netherrack
9 1 1 minecraft:lava[level="0"]
8 0 1 minecraft:netherrack
8 1 2 minecraft:lava[level="0"]
7 0 2 minecraft:netherrack
7 1 3 minecraft:lava[level="0"]
6 0 3 minecraft:netherrack
6 1 4 minecraft:lava[level="0"]
5 0 4 minecraft:netherrack
5 1 5 minecraft:lava[level="0"]
4 0 5 minecraft:netherrack
4 1 6 minecraft:lava[level="0"]
3 0 6 minecraft:netherrack
3 1 7 minecraft:lava[level="0"]
2 0 7 minecraft:netherrack
2 1 8 minecraft:lava[level="0"]
1 0 8 minecraft:netherrack
1 1 9 minecraft:lava[level="0"]
0 0 9 minecraft:netherrack
0 1 10 minecraft:lava[level="0"]
11 1 0 minecraft:lava[level="0"]
10 0 0 minecraft:netherrack
10 1 1 minecraft:lava[level="0"]
9 0 1 minecraft:netherrack
9 1 2 minecraft:lava[level="0"]
8 0 2 minecraft:netherrack
8 1 3 minecraft:lava[level="0"]
7 0 3 minecraft:netherrack
7 1 4 minecraft:lava[level="0"]
6 0 4 minecraft:netherrack
6 1 5 minecraft:lava[level="0"]
5 0 5 minecraft:netherrack
5 1 6 minecraft:lava[level="0"]
4 0 6 minecraft:netherrack
4 1 7 minecraft:lava[level="0"]
3 0 7 minecraft:netherrack
3 1 8 minecraft:lava[level="0"]
2 0 8 minecraft:netherrack
2 1 9 minecraft:lava[level="0"]
1 0 9 minecraft:netherrack
1 1 10 minecraft:lava[level="0"]
0 0 10 minecraft:netherrack
0 1 11 minecraft:lava[level="0"]
12 1 0 minecraft:lava[level="0"]
11 0 0 minecraft:netherrack
