30 31 33
0 0 0 minecraft:netherrack
0 0 1 minecraft:netherrack
0 0 2 minecraft:netherrack
0 0 3 minecraft:netherrack
0 0 4 minecraft:netherrack
0 0 5 minecraft:netherrack
0 0 6 minecraft:netherrack
0 0 7 minecraft:netherrack
0 0 8 minecraft:netherrack
0 0 9 minecraft:netherrack
0 0 10 minecraft:netherrack
0 0 11 minecraft:netherrack
0 0 12 minecraft:netherrack
0 0 13 minecraft:netherrack
0 0 14 minecraft:netherrack
0 0 15 minecraft:netherrack
0 0 16 minecraft:netherrack
0 0 17 minecraft:netherrack
0 0 18 minecraft:netherrack
0 0 19 minecraft:netherrack
0 0 20 minecraft:netherrack
0 0 21 minecraft:netherrack
0 0 22 minecraft:netherrack
0 0 23 minecraft:netherrack
0 0 24 minecraft:netherrack
0 0 25 minecraft:netherrack
0 0 26 minecraft:netherrack
0 0 27 minecraft:netherrack
0 0 28 minecraft:netherrack
0 0 29 minecraft:netherrack
0 0 30 minecraft:netherrack
0 0 31 minecraft:netherrack
0 0 32 minecraft:netherrack
0 1 0 minecraft:netherrack
0 1 1 minecraft:netherrack
0 1 2 minecraft:netherrack
0 1 3 minecraft:netherrack
0 1 4 minecraft:warped_nylium
0 1 5 minecraft:netherrack
0 1 6 minecraft:netherrack
0 1 7 minecraft:netherrack
0 1 8 minecraft:warped_nylium
0 1 9 minecraft:warped_nylium
0 1 10 minecraft:warped_nylium
0 1 11 minecraft:warped_nylium
0 1 12 minecraft:warped_nylium
0 1 13 minecraft:warped_nylium
0 1 14 minecraft:warped_nylium
0 1 15 minecraft:warped_nylium
0 1 16 minecraft:warped_nylium
0 1 17 minecraft:netherrack
0 1 18 minecraft:netherrack
0 1 19 minecraft:netherrack
0 1 20 minecraft:warped_nylium
0 1 21 minecraft:warped_nylium
0 1 22 minecraft:warped_nylium
0 1 23 minecraft:warped_nylium
0 1 24 minecraft:warped_nylium
0 1 25 minecraft:warped_nylium
0 1 26 minecraft:warped_nylium
0 1 27 minecraft:warped_nylium
0 1 28 minecraft:netherrack
0 1 29 minecraft:netherrack
0 1 30 minecraft:netherrack
0 1 31 minecraft:warped_nylium
