31 34 28
0 1 0 minecraft:lava[level="0"]
1 1 0 minecraft:lava[level="0"]
0 0 0 minecraft:netherrack
0 1 1 minecraft:lava[level="0"]
2 1 0 minecraft:lava[level="0"]
1 0 0 minecraft:netherrack
1 1 1 minecraft:lava[level="0"]
0 0 1 minecraft:netherrack
0 1 2 minecraft:lava[level="0"]
3 1 0 minecraft:lava[level="0"]
2 0 0 minecraft:netherrack
2 1 1 minecraft:lava[level="0"]
1 0 1 minecraft:netherrack
1 1 2 minecraft:lava[level="0"]
0 0 2 minecraft:netherrack
0 1 3 minecraft:lava[level="0"]
4 1 0 minecraft:lava[level="0"]
3 0 0 minecraft:netherrack
3 1 1 minecraft:lava[level="0"]
2 0 1 minecraft:netherrack
2 1 2 minecraft:lava[level="0"]
1 0 2 minecraft:netherrack
1 1 3 minecraft:lava[level="0"]
0 0 3 minecraft:netherrack
0 1 4 minecraft:lava[level="0"]
5 1 0 minecraft:lava[level="0"]
4 0 0 minecraft:netherrack
4 1 1 minecraft:lava[level="0"]
3 0 1 minecraft:netherrack
3 1 2 minecraft:lava[level="0"]
2 0 2 minecraft:netherrack
2 1 3 minecraft:lava[level="0"]
1 0 3 minecraft:netherrack
1 1 4 minecraft:lava[level="0"]
0 0 4 minecraft:netherrack
0 1 5 minecraft:lava[level="0"]
6 1 0 minecraft:lava[level="0"]
5 0 0 minecraft:netherrack
5 1 1 minecraft:lava[level="0"]
4 0 1 minecraft:netherrack
4 1 2 minecraft:lava[level="0"]
3 0 2 minecraft:netherrack
3 1 3 minecraft:lava[level="0"]
2 0 3 minecraft:netherrack
2 1 4 minecraft:lava[level="0"]
2 2 5 minecraft:netherrack
1 0 4 minecraft:netherrack
1 1 5 minecraft:lava[level="0"]
0 0 5 minecraft:netherrack
0 1 6 minecraft:lava[level="0"]
7 1 0 minecraft:lava[level="0"]
6 0 0 minecraft:netherrack
6 1 1 minecraft:lava[level="0"]
5 0 1 minecraft:netherrack
5 1 2 minecraft:lava[level="0"]
5 2 3 minecraft:netherrack
4 0 2 minecraft:netherrack
4 1 3 minecraft:netherrack
4 2 4 minecraft:netherrack
3 0 3 minecraft:netherrack
3 1 4 minecraft:netherrack
3 2 5 minecraft:netherrack
2 0 4 minecraft:netherrack
2 1 5 minecraft:netherrack
1 0 5 minecraft:netherrack
1 1 6 minecraft:lava[level="0"]
2 2 6 minecraft:netherrack
0 0 6 minecraft:netherrack
0 1 7 minecraft:lava[level="0"]
8 1 0 minecraft:lava[level="0"]
7 0 0 minecraft:netherrack
7 1 1 minecraft:lava[level="0"]
6 0 1 minecraft:netherrack
6 1 2 minecraft:netherrack
6 2 3 minecraft:netherrack
5 0 2 minecraft:netherrack
5 1 3 minecraft:netherrack
3 3 5 minecraft:netherrack
2 3 6 minecraft:netherrack
2 1 6 minecraft:netherrack
1 0 6 minecraft:netherrack
1 1 7 minecraft:lava[level="0"]
2 2 7 minecraft:netherrack
1 2 8 minecraft:netherrack
0 0 7 minecraft:netherrack
0 1 8 minecraft:lava[level="0"]
9 1 0 minecraft:lava[level="0"]
8 0 0 minecraft:netherrack
8 1 1 minecraft:lava[level="0"]
7 0 1 minecraft:netherrack
7 1 2 minecraft:netherrack
7 2 3 minecraft:netherrack
5 3 4 minecraft:netherrack
4 3 5 minecraft:netherrack
2 1 7 minecraft:netherrack
1 0 7 minecraft:netherrack
1 1 8 minecraft:netherrack
2 3 7 minecraft:netherrack
1 3 8 minecraft:netherrack
0 0 8 minecraft:netherrack
0 1 9 minecraft:lava[level="0"]
1 2 9 minecraft:netherrack
11 2 0 minecraft:netherrack
10 1 0 minecraft:lava[level="0"]
9 0 0 minecraft:netherrack
9 1 1 minecraft:lava[level="0"]
9 2 2 minecraft:netherrack
8 0 1 minecraft:netherrack
8 1 2 minecraft:lava[level="0"]
8 2 3 minecraft:netherrack
7 3 3 minecraft:netherrack
6 3 4 minecraft:netherrack
4 4 5 minecraft:netherrack
3 4 6 minecraft:netherrack
2 4 7 minecraft:netherrack
1 4 8 minecraft:netherrack
1 1 9 minecraft:netherrack
0 0 9 minecraft:netherrack
0 1 10 minecraft:netherrack
1 3 9 minecraft:netherrack
1 2 10 minecraft:netherrack
11 1 0 minecraft:netherrack
10 0 0 minecraft:netherrack
10 1 1 minecraft:netherrack
11 3 0 minecraft:netherrack
11 2 1 minecraft:netherrack
10 2 2 minecraft:netherrack
9 0 1 minecraft:netherrack
9 1 2 minecraft:netherrack
8 0 2 minecraft:netherrack
8 1 3 minecraft:netherrack
8 3 3 minecraft:netherrack
6 4 4 minecraft:netherrack
5 4 5 minecraft:netherrack
1 4 9 minecraft:netherrack
1 3 10 minecraft:netherrack
1 2 11 minecraft:netherrack
0 1 11 minecraft:netherrack
0 2 12 minecraft:netherrack
11 3 1 minecraft:netherrack
9 3 3 minecraft:netherrack
8 4 3 minecraft:netherrack
7 4 4 minecraft:netherrack
1 4 10 minecraft:netherrack
1 3 11 minecraft:netherrack
0 3 12 minecraft:netherrack
12 4 0 minecraft:netherrack
11 4 1 minecraft:netherrack
11 3 2 minecraft:netherrack
10 3 3 minecraft:netherrack
9 4 3 minecraft:netherrack
7 5 4 minecraft:netherrack
6 5 5 minecraft:netherrack
5 5 6 minecraft:netherrack
4 4 6 minecraft:netherrack
