29 15 31
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:grass_block[snowy="false"]
0 0 14 minecraft:grass_block[snowy="false"]
0 0 15 minecraft:grass_block[snowy="false"]
0 0 16 minecraft:grass_block[snowy="false"]
0 0 17 minecraft:dirt
0 0 18 minecraft:dirt
0 0 19 minecraft:dirt
0 0 20 minecraft:dirt
0 0 21 minecraft:dirt
0 0 22 minecraft:dirt
0 0 23 minecraft:dirt
0 0 24 minecraft:dirt
0 0 25 minecraft:dirt
0 0 26 minecraft:dirt
0 0 27 minecraft:dirt
0 0 28 minecraft:dirt
0 0 29 minecraft:dirt
0 0 30 minecraft:dirt
0 1 1 minecraft:stone
0 1 2 minecraft:stone
0 1 3 minecraft:stone
0 1 4 minecraft:stone
0 1 5 minecraft:stone
0 1 6 minecraft:stone
0 1 7 minecraft:stone
0 1 8 minecraft:stone
0 1 17 minecraft:grass_block[snowy="false"]
0 1 18 minecraft:grass_block[snowy="false"]
0 1 19 minecraft:dirt
0 1 20 minecraft:dirt
0 1 21 minecraft:dirt
0 1 22 minecraft:dirt
0 1 23 minecraft:dirt
0 1 24 minecraft:dirt
0 1 25 minecraft:dirt
0 1 26 minecraft:dirt
0 1 27 minecraft:grass_block[snowy="false"]
0 1 28 minecraft:grass_block[snowy="false"]
0 1 29 minecraft:grass_block[snowy="false"]
0 1 30 minecraft:dirt
0 2 19 minecraft:grass_block[snowy="false"]
0 2 20 minecraft:grass_block[snowy="false"]
0 2 21 minecraft:grass_block[snowy="false"]
0 2 22 minecraft:grass_block[snowy="false"]
0 2 23 minecraft:grass_block[snowy="false"]
0 2 24 minecraft:grass_block[snowy="false"]
0 2 25 minecraft:grass_block[snowy="false"]
0 2 26 minecraft:grass_block[snowy="false"]
0 2 30 minecraft:dirt
0 3 23 minecraft:grass
0 3 26 minecraft:grass
0 4 26 minecraft:oak_leaves[distance="3",persistent="false"]
0 4 27 minecraft:oak_leaves[distance="2",persistent="false"]
0 4 28 minecraft:oak_leaves[distance="3",persistent="false"]
0 5 25 minecraft:oak_leaves[distance="4",persistent="false"]
0 5 26 minecraft:oak_leaves[distance="3",persistent="false"]
0 5 27 minecraft:oak_leaves[distance="2",persistent="false"]
0 5 28 minecraft:oak_leaves[distance="3",persistent="false"]
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:grass_block[snowy="false"]
1 0 15 minecraft:grass_block[snowy="false"]
1 0 16 minecraft:dirt
1 0 17 minecraft:dirt
1 0 18 minecraft:dirt
1 0 19 minecraft:dirt
1 0 20 minecraft:stone
1 0 21 minecraft:dirt
1 0 22 minecraft:dirt
1 0 23 minecraft:dirt
1 0 24 minecraft:dirt
1 0 25 minecraft:dirt
1 0 26 minecraft:dirt
1 0 27 minecraft:dirt
1 0 28 minecraft:dirt
1 0 29 minecraft:dirt
1 0 30 minecraft:dirt
1 1 2 minecraft:stone
1 1 3 minecraft:stone
1 1 4 minecraft:stone
1 1 5 minecraft:stone
1 1 6 minecraft:stone
1 1 7 minecraft:stone
1 1 16 minecraft:grass_block[snowy="false"]
1 1 17 minecraft:grass_block[snowy="false"]
1 1 18 minecraft:dirt
1 1 19 minecraft:dirt
1 1 20 minecraft:dirt
1 1 21 minecraft:dirt
1 1 22 minecraft:dirt
1 1 23 minecraft:dirt
1 1 24 minecraft:dirt
1 1 25 minecraft:dirt
1 1 26 minecraft:dirt
1 1 27 minecraft:dirt
1 1 28 minecraft:grass_block[snowy="false"]
1 1 29 minecraft:grass_block[snowy="false"]
1 1 30 minecraft:grass_block[snowy="false"]
1 2 16 minecraft:grass
1 2 17 minecraft:grass
1 2 18 minecraft:grass_block[snowy="false"]
1 2 19 minecraft:grass_block[snowy="false"]
1 2 20 minecraft:grass_block[snowy="false"]
1 2 21 minecraft:grass_block[snowy="false"]
1 2 22 minecraft:grass_block[snowy="false"]
1 2 23 minecraft:grass_block[snowy="false"]
1 2 24 minecraft:grass_block[snowy="false"]
1 2 25 minecraft:grass_block[snowy="false"]
1 2 26 minecraft:grass_block[snowy="false"]
1 2 27 minecraft:grass_block[snowy="false"]
1 3 23 minecraft:grass
1 3 24 minecraft:grass
1 4 25 minecraft:oak_leaves[distance="3",persistent="false"]
1 4 26 minecraft:oak_leaves[distance="2",persistent="false"]
1 4 27 minecraft:oak_leaves[distance="1",persistent="false"]
1 4 28 minecraft:oak_leaves[distance="2",persistent="false"]
1 4 29 minecraft:oak_leaves[distance="3",persistent="false"]
1 5 25 minecraft:oak_leaves[distance="3",persistent="false"]
1 5 26 minecraft:oak_leaves[distance="2",persistent="false"]
1 5 27 minecraft:oak_leaves[distance="1",persistent="false"]
1 5 28 minecraft:oak_leaves[distance="2",persistent="false"]
1 5 29 minecraft:oak_leaves[distance="3",persistent="false"]
1 6 27 minecraft:oak_leaves[distance="1",persistent="false"]
1 7 27 minecraft:oak_leaves[distance="2",persistent="false"]
2 0 0 minecraft:stone
2 0 1 minecraft:stone
2 0 2 minecraft:stone
2 0 3 minecraft:stone
2 0 4 minecraft:stone
2 0 5 minecraft:stone
2 0 6 minecraft:stone
2 0 7 minecraft:stone
2 0 8 minecraft:stone
2 0 9 minecraft:stone
2 0 10 minecraft:stone
2 0 11 minecraft:stone
2 0 12 minecraft:stone
2 0 13 minecraft:stone
2 0 14 minecraft:stone
2 0 15 minecraft:dirt
2 0 16 minecraft:dirt
2 0 17 minecraft:dirt
2 0 18 minecraft:dirt
2 0 19 minecraft:dirt
2 0 20 minecraft:dirt
2 0 21 minecraft:dirt
2 0 22 minecraft:dirt
2 0 23 minecraft:dirt
2 0 24 minecraft:stone
2 0 25 minecraft:dirt
2 0 26 minecraft:dirt
2 0 27 minecraft:dirt
2 0 28 minecraft:dirt
2 0 29 minecraft:dirt
2 0 30 minecraft:dirt
2 1 3 minecraft:stone
2 1 4 minecraft:stone
2 1 5 minecraft:stone
2 1 14 minecraft:stone
2 1 15 minecraft:grass_block[snowy="false"]
2 1 16 minecraft:grass_block[snowy="false"]
2 1 17 minecraft:dirt
2 1 18 minecraft:dirt
2 1 19 minecraft:dirt
2 1 20 minecraft:dirt
2 1 21 minecraft:dirt
2 1 22 minecraft:dirt
2 1 23 minecraft:dirt
2 1 24 minecraft:dirt
2 1 25 minecraft:dirt
2 1 26 minecraft:dirt
2 1 27 minecraft:dirt
2 1 28 minecraft:grass_block[snowy="false"]
2 1 29 minecraft:grass_block[snowy="false"]
2 1 30 minecraft:grass_block[snowy="false"]
2 2 16 minecraft:grass
2 2 17 minecraft:grass_block[snowy="false"]
2 2 18 minecraft:grass_block[snowy="false"]
2 2 19 minecraft:grass_block[snowy="false"]
2 2 20 minecraft:grass_block[snowy="false"]
2 2 21 minecraft:grass_block[snowy="false"]
2 2 22 minecraft:grass_block[snowy="false"]
2 2 23 minecraft:grass_block[snowy="false"]
2 2 24 minecraft:grass_block[snowy="false"]
2 2 25 minecraft:grass_block[snowy="false"]
2 2 26 minecraft:grass_block[snowy="false"]
2 2 27 minecraft:dirt
2 2 28 minecraft:grass
2 2 29 minecraft:dandelion
2 2 30 minecraft:grass
2 3 19 minecraft:grass
2 3 23 minecraft:grass
2 3 24 minecraft:grass
2 3 25 minecraft:grass
2 3 26 minecraft:grass
2 3 27 minecraft:oak_log[axis="y"]
2 4 25 minecraft:oak_leaves[distance="2",persistent="false"]
2 4 26 minecraft:oak_leaves[distance="1",persistent="false"]
2 4 27 minecraft:oak_log[axis="y"]
2 4 28 minecraft:oak_leaves[distance="1",persistent="false"]
2 4 29 minecraft:oak_leaves[distance="2",persistent="false"]
2 5 25 minecraft:oak_leaves[distance="2",persistent="false"]
2 5 26 minecraft:oak_leaves[distance="1",persistent="false"]
2 5 27 minecraft:oak_log[axis="y"]
2 5 28 minecraft:oak_leaves[distance="1",persistent="false"]
2 5 29 minecraft:oak_leaves[distance="2",persistent="false"]
2 6 26 minecraft:oak_leaves[distance="1",persistent="false"]
2 6 27 minecraft:oak_log[axis="y"]
2 6 28 minecraft:oak_leaves[distance="1",persistent="false"]
2 7 26 minecraft:oak_leaves[distance="2",persistent="false"]
2 7 27 minecraft:oak_leaves[distance="1",persistent="false"]
2 7 28 minecraft:oak_leaves[distance="2",persistent="false"]
3 0 0 minecraft:stone
3 0 1 minecraft:stone
3 0 2 minecraft:stone
3 0 3 minecraft:stone
3 0 4 minecraft:stone
3 0 5 minecraft:stone
3 0 6 minecraft:stone
3 0 7 minecraft:stone
3 0 8 minecraft:stone
3 0 9 minecraft:stone
3 0 10 minecraft:stone
3 0 11 minecraft:stone
3 0 12 minecraft:stone
3 0 13 minecraft:stone
3 0 14 minecraft:stone
3 0 15 minecraft:dirt
3 0 16 minecraft:dirt
3 0 17 minecraft:dirt
3 0 18 minecraft:dirt
3 0 19 minecraft:dirt
3 0 20 minecraft:dirt
3 0 21 minecraft:dirt
3 0 22 minecraft:dirt
3 0 23 minecraft:dirt
3 0 24 minecraft:stone
3 0 25 minecraft:dirt
3 0 26 minecraft:dirt
3 0 27 minecraft:dirt
3 0 28 minecraft:dirt
3 0 29 minecraft:dirt
3 0 30 minecraft:dirt
3 1 13 minecraft:stone
3 1 14 minecraft:stone
3 1 15 minecraft:grass_block[snowy="false"]
3 1 16 minecraft:grass_block[snowy="false"]
3 1 17 minecraft:dirt
3 1 18 minecraft:dirt
3 1 19 minecraft:dirt
3 1 20 minecraft:grass_block[snowy="false"]
3 1 21 minecraft:grass_block[snowy="false"]
3 1 22 minecraft:grass_block[snowy="false"]
3 1 23 minecraft:dirt
3 1 24 minecraft:dirt
3 1 25 minecraft:dirt
3 1 26 minecraft:dirt
3 1 27 minecraft:dirt
3 1 28 minecraft:grass_block[snowy="false"]
3 1 29 minecraft:grass_block[snowy="false"]
3 1 30 minecraft:grass_block[snowy="false"]
3 2 15 minecraft:grass
3 2 16 minecraft:grass
3 2 17 minecraft:grass_block[snowy="false"]
3 2 18 minecraft:grass_block[snowy="false"]
3 2 19 minecraft:grass_block[snowy="false"]
3 2 22 minecraft:grass
3 2 23 minecraft:grass_block[snowy="false"]
3 2 24 minecraft:grass_block[snowy="false"]
3 2 25 minecraft:grass_block[snowy="false"]
3 2 26 minecraft:grass_block[snowy="false"]
3 2 27 minecraft:grass_block[snowy="false"]
3 2 28 minecraft:grass
3 2 29 minecraft:grass
3 2 30 minecraft:grass
3 3 18 minecraft:tall_grass[half="lower"]
3 3 24 minecraft:grass
3 3 25 minecraft:grass
3 4 18 minecraft:tall_grass[half="upper"]
3 4 25 minecraft:oak_leaves[distance="3",persistent="false"]
3 4 26 minecraft:oak_leaves[distance="2",persistent="false"]
3 4 27 minecraft:oak_leaves[distance="1",persistent="false"]
3 4 28 minecraft:oak_leaves[distance="2",persistent="false"]
3 4 29 minecraft:oak_leaves[distance="3",persistent="false"]
3 5 25 minecraft:oak_leaves[distance="3",persistent="false"]
3 5 26 minecraft:oak_leaves[distance="2",persistent="false"]
3 5 27 minecraft:oak_leaves[distance="1",persistent="false"]
3 5 28 minecraft:oak_leaves[distance="2",persistent="false"]
3 5 29 minecraft:oak_leaves[distance="3",persistent="false"]
3 6 25 minecraft:birch_leaves[distance="3",persistent="false"]
3 6 26 minecraft:birch_leaves[distance="2",persistent="false"]
3 6 27 minecraft:oak_leaves[distance="1",persistent="false"]
3 6 28 minecraft:oak_leaves[distance="2",persistent="false"]
3 7 24 minecraft:birch_leaves[distance="4",persistent="false"]
3 7 25 minecraft:birch_leaves[distance="3",persistent="false"]
3 7 26 minecraft:birch_leaves[distance="2",persistent="false"]
3 7 27 minecraft:oak_leaves[distance="2",persistent="false"]
4 0 0 minecraft:stone
4 0 1 minecraft:stone
4 0 2 minecraft:stone
4 0 3 minecraft:stone
4 0 4 minecraft:stone
4 0 5 minecraft:stone
4 0 6 minecraft:stone
4 0 7 minecraft:stone
4 0 8 minecraft:stone
4 0 9 minecraft:stone
4 0 10 minecraft:stone
4 0 11 minecraft:stone
4 0 12 minecraft:stone
4 0 13 minecraft:stone
4 0 14 minecraft:stone
4 0 15 minecraft:dirt
4 0 16 minecraft:dirt
4 0 17 minecraft:dirt
4 0 18 minecraft:dirt
4 0 19 minecraft:dirt
4 0 20 minecraft:dirt
4 0 21 minecraft:dirt
4 0 22 minecraft:dirt
4 0 23 minecraft:dirt
4 0 24 minecraft:dirt
4 0 25 minecraft:dirt
4 0 26 minecraft:dirt
4 0 27 minecraft:dirt
4 0 28 minecraft:dirt
4 0 29 minecraft:dirt
4 0 30 minecraft:dirt
4 1 12 minecraft:stone
4 1 13 minecraft:stone
4 1 14 minecraft:stone
4 1 15 minecraft:grass_block[snowy="false"]
4 1 16 minecraft:grass_block[snowy="false"]
4 1 17 minecraft:grass_block[snowy="false"]
4 1 18 minecraft:grass_block[snowy="false"]
4 1 19 minecraft:grass_block[snowy="false"]
4 1 20 minecraft:grass_block[snowy="false"]
4 1 21 minecraft:grass_block[snowy="false"]
4 1 22 minecraft:grass_block[snowy="false"]
4 1 23 minecraft:grass_block[snowy="false"]
4 1 24 minecraft:dirt
4 1 25 minecraft:dirt
4 1 26 minecraft:dirt
4 1 27 minecraft:dirt
4 1 28 minecraft:grass_block[snowy="false"]
4 1 29 minecraft:grass_block[snowy="false"]
4 1 30 minecraft:grass_block[snowy="false"]
4 2 15 minecraft:grass
4 2 16 minecraft:grass
4 2 17 minecraft:grass
4 2 19 minecraft:grass
4 2 20 minecraft:grass
4 2 24 minecraft:grass_block[snowy="false"]
4 2 25 minecraft:grass_block[snowy="false"]
4 2 26 minecraft:grass_block[snowy="false"]
4 2 27 minecraft:grass_block[snowy="false"]
4 2 28 minecraft:grass
4 2 29 minecraft:grass
4 3 24 minecraft:poppy
4 3 25 minecraft:grass
4 3 27 minecraft:grass
4 4 26 minecraft:oak_leaves[distance="1",persistent="false"]
4 4 27 minecraft:oak_leaves[distance="2",persistent="false"]
4 4 28 minecraft:oak_leaves[distance="3",persistent="false"]
4 4 29 minecraft:oak_leaves[distance="4",persistent="false"]
4 5 26 minecraft:oak_leaves[distance="1",persistent="false"]
4 5 27 minecraft:oak_leaves[distance="2",persistent="false"]
4 5 28 minecraft:oak_leaves[distance="3",persistent="false"]
4 6 24 minecraft:birch_leaves[distance="3",persistent="false"]
4 6 25 minecraft:birch_leaves[distance="2",persistent="false"]
4 6 26 minecraft:birch_leaves[distance="1",persistent="false"]
4 6 27 minecraft:birch_leaves[distance="2",persistent="false"]
