63 10 63
0 0 10 minecraft:yellow_terracotta
0 0 11 minecraft:yellow_terracotta
0 0 15 minecraft:yellow_terracotta
0 0 16 minecraft:yellow_terracotta
0 0 46 minecraft:yellow_terracotta
0 0 47 minecraft:yellow_terracotta
0 0 51 minecraft:yellow_terracotta
0 0 52 minecraft:yellow_terracotta
0 1 10 minecraft:yellow_terracotta
0 1 11 minecraft:yellow_terracotta
0 1 12 minecraft:yellow_terracotta
0 1 14 minecraft:yellow_terracotta
0 1 15 minecraft:yellow_terracotta
0 1 16 minecraft:yellow_terracotta
0 1 46 minecraft:yellow_terracotta
0 1 47 minecraft:yellow_terracotta
0 1 48 minecraft:yellow_terracotta
0 1 50 minecraft:yellow_terracotta
0 1 51 minecraft:yellow_terracotta
0 1 52 minecraft:yellow_terracotta
0 2 10 minecraft:yellow_terracotta
0 2 11 minecraft:yellow_terracotta
0 2 12 minecraft:yellow_terracotta
0 2 13 minecraft:yellow_terracotta
0 2 14 minecraft:yellow_terracotta
0 2 15 minecraft:yellow_terracotta
0 2 16 minecraft:yellow_terracotta
0 2 46 minecraft:yellow_terracotta
0 2 47 minecraft:yellow_terracotta
0 2 48 minecraft:yellow_terracotta
0 2 49 minecraft:yellow_terracotta
0 2 50 minecraft:yellow_terracotta
0 2 51 minecraft:yellow_terracotta
0 2 52 minecraft:yellow_terracotta
0 3 10 minecraft:yellow_terracotta
0 3 11 minecraft:yellow_terracotta
0 3 12 minecraft:yellow_terracotta
0 3 13 minecraft:yellow_terracotta
0 3 14 minecraft:yellow_terracotta
0 3 15 minecraft:yellow_terracotta
0 3 16 minecraft:yellow_terracotta
0 3 46 minecraft:yellow_terracotta
0 3 47 minecraft:yellow_terracotta
0 3 48 minecraft:yellow_terracotta
0 3 49 minecraft:yellow_terracotta
0 3 50 minecraft:yellow_terracotta
0 3 51 minecraft:yellow_terracotta
0 3 52 minecraft:yellow_terracotta
0 4 10 minecraft:yellow_terracotta
0 4 11 minecraft:yellow_terracotta
0 4 12 minecraft:yellow_terracotta
0 4 13 minecraft:yellow_terracotta
0 4 14 minecraft:yellow_terracotta
0 4 15 minecraft:yellow_terracotta
0 4 16 minecraft:yellow_terracotta
0 4 46 minecraft:yellow_terracotta
0 4 47 minecraft:yellow_terracotta
0 4 48 minecraft:yellow_terracotta
0 4 49 minecraft:yellow_terracotta
0 4 50 minecraft:yellow_terracotta
0 4 51 minecraft:yellow_terracotta
0 4 52 minecraft:yellow_terracotta
0 5 10 minecraft:yellow_terracotta
0 5 11 minecraft:yellow_terracotta
0 5 13 minecraft:yellow_terracotta
0 5 15 minecraft:yellow_terracotta
0 5 16 minecraft:yellow_terracotta
0 5 46 minecraft:yellow_terracotta
0 5 47 minecraft:yellow_terracotta
0 5 49 minecraft:yellow_terracotta
0 5 51 minecraft:yellow_terracotta
0 5 52 minecraft:yellow_terracotta
0 6 10 minecraft:yellow_terracotta
0 6 11 minecraft:yellow_terracotta
0 6 15 minecraft:yellow_terracotta
0 6 16 minecraft:yellow_terracotta
0 6 46 minecraft:yellow_terracotta
0 6 47 minecraft:yellow_terracotta
0 6 51 minecraft:yellow_terracotta
0 6 52 minecraft:yellow_terracotta
0 7 10 minecraft:yellow_terracotta
0 7 11 minecraft:yellow_terracotta
0 7 15 minecraft:yellow_terracotta
0 7 16 minecraft:yellow_terracotta
0 7 46 minecraft:yellow_terracotta
0 7 47 minecraft:yellow_terracotta
0 7 51 minecraft:yellow_terracotta
0 7 52 minecraft:yellow_terracotta
0 8 10 minecraft:yellow_terracotta
0 8 11 minecraft:yellow_terracotta
0 8 15 minecraft:yellow_terracotta
0 8 16 minecraft:yellow_terracotta
0 8 46 minecraft:yellow_terracotta
0 8 47 minecraft:yellow_terracotta
0 8 51 minecraft:yellow_terracotta
0 8 52 minecraft:yellow_terracotta
0 9 10 minecraft:yellow_terracotta
0 9 11 minecraft:yellow_terracotta
0 9 15 minecraft:yellow_terracotta
0 9 16 minecraft:yellow_terracotta
0 9 46 minecraft:yellow_terracotta
0 9 47 minecraft:yellow_terracotta
0 9 51 minecraft:yellow_terracotta
0 9 52 minecraft:yellow_terracotta
10 0 0 minecraft:yellow_terracotta
10 1 0 minecraft:yellow_terracotta
10 2 0 minecraft:yellow_terracotta
10 3 0 minecraft:yellow_terracotta
10 4 0 minecraft:yellow_terracotta
10 5 0 minecraft:yellow_terracotta
10 6 0 minecraft:yellow_terracotta
10 7 0 minecraft:yellow_terracotta
10 8 0 minecraft:yellow_terracotta
10 9 0 minecraft:yellow_terracotta
11 0 0 minecraft:yellow_terracotta
11 1 0 minecraft:yellow_terracotta
11 1 62 minecraft:yellow_terracotta
11 2 0 minecraft:yellow_terracotta
11 2 62 minecraft:yellow_terracotta
11 3 0 minecraft:yellow_terracotta
11 3 62 minecraft:yellow_terracotta
11 4 0 minecraft:yellow_terracotta
11 4 62 minecraft:yellow_terracotta
11 5 0 minecraft:yellow_terracotta
11 6 0 minecraft:yellow_terracotta
11 7 0 minecraft:yellow_terracotta
11 7 62 minecraft:yellow_terracotta
11 8 0 minecraft:yellow_terracotta
11 8 62 minecraft:yellow_terracotta
11 9 0 minecraft:yellow_terracotta
12 0 62 minecraft:yellow_terracotta
12 1 62 minecraft:yellow_terracotta
12 2 62 minecraft:yellow_terracotta
12 3 62 minecraft:yellow_terracotta
12 4 62 minecraft:yellow_terracotta
12 5 0 minecraft:yellow_terracotta
12 5 62 minecraft:yellow_terracotta
12 6 0 minecraft:yellow_terracotta
12 7 0 minecraft:yellow_terracotta
12 7 62 minecraft:yellow_terracotta
12 8 62 minecraft:yellow_terracotta
12 9 62 minecraft:yellow_terracotta
13 0 62 minecraft:yellow_terracotta
13 1 62 minecraft:yellow_terracotta
13 4 0 minecraft:yellow_terracotta
13 4 62 minecraft:yellow_terracotta
13 5 0 minecraft:yellow_terracotta
13 5 62 minecraft:yellow_terracotta
13 6 0 minecraft:yellow_terracotta
13 8 62 minecraft:yellow_terracotta
13 9 62 minecraft:yellow_terracotta
14 0 62 minecraft:yellow_terracotta
14 1 62 minecraft:yellow_terracotta
14 2 62 minecraft:yellow_terracotta
14 3 0 minecraft:yellow_terracotta
14 4 0 minecraft:yellow_terracotta
14 4 62 minecraft:yellow_terracotta
14 5 0 minecraft:yellow_terracotta
14 5 62 minecraft:yellow_terracotta
14 6 62 minecraft:yellow_terracotta
14 7 62 minecraft:yellow_terracotta
14 8 62 minecraft:yellow_terracotta
14 9 62 minecraft:yellow_terracotta
15 0 0 minecraft:yellow_terracotta
15 1 0 minecraft:yellow_terracotta
15 1 62 minecraft:yellow_terracotta
15 2 0 minecraft:yellow_terracotta
15 2 62 minecraft:yellow_terracotta
15 3 0 minecraft:yellow_terracotta
15 4 0 minecraft:yellow_terracotta
15 5 0 minecraft:yellow_terracotta
15 5 62 minecraft:yellow_terracotta
15 6 0 minecraft:yellow_terracotta
15 6 62 minecraft:yellow_terracotta
15 7 0 minecraft:yellow_terracotta
15 7 62 minecraft:yellow_terracotta
15 8 0 minecraft:yellow_terracotta
15 8 62 minecraft:yellow_terracotta
15 9 0 minecraft:yellow_terracotta
16 0 0 minecraft:yellow_terracotta
16 1 0 minecraft:yellow_terracotta
16 2 0 minecraft:yellow_terracotta
16 3 0 minecraft:yellow_terracotta
16 4 0 minecraft:yellow_terracotta
16 5 0 minecraft:yellow_terracotta
16 6 0 minecraft:yellow_terracotta
16 7 0 minecraft:yellow_terracotta
16 8 0 minecraft:yellow_terracotta
16 9 0 minecraft:yellow_terracotta
46 0 0 minecraft:yellow_terracotta
46 1 0 minecraft:yellow_terracotta
46 2 0 minecraft:yellow_terracotta
46 3 0 minecraft:yellow_terracotta
46 4 0 minecraft:yellow_terracotta
46 5 0 minecraft:yellow_terracotta
46 6 0 minecraft:yellow_terracotta
46 7 0 minecraft:yellow_terracotta
46 8 0 minecraft:yellow_terracotta
46 9 0 minecraft:yellow_terracotta
47 0 0 minecraft:yellow_terracotta
47 1 0 minecraft:yellow_terracotta
47 1 62 minecraft:yellow_terracotta
47 2 0 minecraft:yellow_terracotta
47 2 62 minecraft:yellow_terracotta
47 3 0 minecraft:yellow_terracotta
47 3 62 minecraft:yellow_terracotta
47 4 0 minecraft:yellow_terracotta
47 4 62 minecraft:yellow_terracotta
47 5 0 minecraft:yellow_terracotta
47 6 0 minecraft:yellow_terracotta
47 7 0 minecraft:yellow_terracotta
47 7 62 minecraft:yellow_terracotta
47 8 0 minecraft:yellow_terracotta
47 8 62 minecraft:yellow_terracotta
47 9 0 minecraft:yellow_terracotta
48 0 62 minecraft:yellow_terracotta
48 1 62 minecraft:yellow_terracotta
48 2 62 minecraft:yellow_terracotta
48 3 62 minecraft:yellow_terracotta
48 4 62 minecraft:yellow_terracotta
48 5 0 minecraft:yellow_terracotta
48 5 62 minecraft:yellow_terracotta
48 6 0 minecraft:yellow_terracotta
48 7 0 minecraft:yellow_terracotta
48 7 62 minecraft:yellow_terracotta
48 8 62 minecraft:yellow_terracotta
48 9 62 minecraft:yellow_terracotta
49 0 62 minecraft:yellow_terracotta
49 1 62 minecraft:yellow_terracotta
49 4 0 minecraft:yellow_terracotta
49 4 62 minecraft:yellow_terracotta
49 5 0 minecraft:yellow_terracotta
49 5 62 minecraft:yellow_terracotta
49 6 0 minecraft:yellow_terracotta
49 8 62 minecraft:yellow_terracotta
49 9 62 minecraft:yellow_terracotta
50 0 62 minecraft:yellow_terracotta
50 1 62 minecraft:yellow_terracotta
50 2 62 minecraft:yellow_terracotta
50 3 0 minecraft:yellow_terracotta
50 4 0 minecraft:yellow_terracotta
50 4 62 minecraft:yellow_terracotta
50 5 0 minecraft:yellow_terracotta
50 5 62 minecraft:yellow_terracotta
50 6 62 minecraft:yellow_terracotta
50 7 62 minecraft:yellow_terracotta
50 8 62 minecraft:yellow_terracotta
50 9 62 minecraft:yellow_terracotta
51 0 0 minecraft:yellow_terracotta
51 1 0 minecraft:yellow_terracotta
51 1 62 minecraft:yellow_terracotta
51 2 0 minecraft:yellow_terracotta
51 2 62 minecraft:yellow_terracotta
51 3 0 minecraft:yellow_terracotta
51 4 0 minecraft:yellow_terracotta
51 5 0 minecraft:yellow_terracotta
51 5 62 minecraft:yellow_terracotta
51 6 0 minecraft:yellow_terracotta
51 6 62 minecraft:yellow_terracotta
51 7 0 minecraft:yellow_terracotta
51 7 62 minecraft:yellow_terracotta
51 8 0 minecraft:yellow_terracotta
51 8 62 minecraft:yellow_terracotta
51 9 0 minecraft:yellow_terracotta
52 0 0 minecraft:yellow_terracotta
52 1 0 minecraft:yellow_terracotta
52 2 0 minecraft:yellow_terracotta
52 3 0 minecraft:yellow_terracotta
52 4 0 minecraft:yellow_terracotta
52 5 0 minecraft:yellow_terracotta
52 6 0 minecraft:yellow_terracotta
52 7 0 minecraft:yellow_terracotta
52 8 0 minecraft:yellow_terracotta
