30 24 31
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 0 30 minecraft:stone
0 1 0 minecraft:snow_block
0 1 1 minecraft:snow_block
0 1 2 minecraft:snow_block
0 1 3 minecraft:snow_block
0 1 4 minecraft:snow_block
0 1 5 minecraft:snow_block
0 1 6 minecraft:snow_block
0 1 7 minecraft:snow_block
0 1 8 minecraft:snow_block
0 1 9 minecraft:snow_block
0 1 10 minecraft:snow_block
0 1 11 minecraft:snow_block
0 1 12 minecraft:snow_block
0 1 13 minecraft:snow_block
0 1 14 minecraft:snow_block
0 1 15 minecraft:snow_block
0 1 16 minecraft:snow_block
0 1 17 minecraft:snow_block
0 1 18 minecraft:snow_block
0 1 19 minecraft:snow_block
0 1 20 minecraft:snow_block
0 1 21 minecraft:snow_block
0 1 22 minecraft:snow_block
0 1 23 minecraft:snow_block
0 1 24 minecraft:snow_block
0 1 25 minecraft:snow_block
0 1 26 minecraft:snow_block
0 1 27 minecraft:snow_block
0 1 28 minecraft:snow_block
0 1 29 minecraft:snow_block
0 1 30 minecraft:snow_block
0 2 0 minecraft:snow_block
0 2 1 minecraft:snow_block
0 2 2 minecraft:snow_block
0 2 3 minecraft:snow_block
0 2 4 minecraft:snow_block
0 2 5 minecraft:snow_block
0 2 6 minecraft:snow_block
0 2 7 minecraft:snow_block
0 2 8 minecraft:snow_block
0 2 9 minecraft:snow_block
0 2 10 minecraft:snow_block
0 2 11 minecraft:snow_block
0 2 12 minecraft:snow_block
0 2 13 minecraft:snow_block
0 2 14 minecraft:snow_block
0 2 15 minecraft:snow_block
0 2 16 minecraft:snow_block
0 2 17 minecraft:snow_block
0 2 18 minecraft:snow_block
0 2 19 minecraft:packed_ice
0 2 20 minecraft:packed_ice
0 2 21 minecraft:packed_ice
0 2 22 minecraft:packed_ice
0 2 23 minecraft:packed_ice
0 2 24 minecraft:packed_ice
0 2 25 minecraft:packed_ice
0 2 26 minecraft:packed_ice
0 2 27 minecraft:packed_ice
0 2 28 minecraft:packed_ice
0 2 29 minecraft:packed_ice
0 2 30 minecraft:packed_ice
0 3 0 minecraft:snow_block
0 3 1 minecraft:snow_block
0 3 2 minecraft:snow_block
0 3 3 minecraft:snow_block
0 3 4 minecraft:snow_block
0 3 5 minecraft:snow_block
0 3 6 minecraft:snow_block
0 3 7 minecraft:snow_block
0 3 8 minecraft:snow_block
0 3 9 minecraft:snow[layers="1"]
0 3 10 minecraft:snow[layers="1"]
0 3 11 minecraft:snow[layers="1"]
0 3 12 minecraft:snow[layers="1"]
0 3 13 minecraft:snow[layers="1"]
0 3 14 minecraft:snow[layers="1"]
0 3 15 minecraft:snow[layers="1"]
0 3 16 minecraft:snow[layers="1"]
0 3 17 minecraft:snow[layers="1"]
0 3 18 minecraft:snow[layers="1"]
0 4 1 minecraft:snow[layers="1"]
0 4 2 minecraft:snow[layers="1"]
0 4 3 minecraft:snow[layers="1"]
0 4 4 minecraft:snow[layers="1"]
0 4 5 minecraft:snow[layers="1"]
0 4 6 minecraft:snow[layers="1"]
0 4 7 minecraft:snow[layers="1"]
0 4 8 minecraft:snow[layers="1"]
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 0 30 minecraft:stone
1 1 0 minecraft:snow_block
1 1 1 minecraft:snow_block
1 1 2 minecraft:snow_block
1 1 3 minecraft:snow_block
1 1 4 minecraft:snow_block
1 1 5 minecraft:snow_block
1 1 6 minecraft:snow_block
1 1 7 minecraft:snow_block
1 1 8 minecraft:snow_block
1 1 9 minecraft:snow_block
1 1 10 minecraft:snow_block
1 1 11 minecraft:snow_block
1 1 12 minecraft:snow_block
1 1 13 minecraft:snow_block
1 1 14 minecraft:snow_block
1 1 15 minecraft:snow_block
1 1 16 minecraft:snow_block
1 1 17 minecraft:snow_block
1 1 18 minecraft:snow_block
1 1 19 minecraft:snow_block
1 1 20 minecraft:snow_block
1 1 21 minecraft:snow_block
1 1 22 minecraft:snow_block
1 1 23 minecraft:snow_block
1 1 24 minecraft:snow_block
1 1 25 minecraft:snow_block
1 1 26 minecraft:snow_block
1 1 27 minecraft:snow_block
1 1 28 minecraft:snow_block
1 1 29 minecraft:snow_block
1 1 30 minecraft:snow_block
1 2 0 minecraft:snow_block
1 2 1 minecraft:snow_block
1 2 2 minecraft:snow_block
1 2 3 minecraft:snow_block
1 2 4 minecraft:snow_block
1 2 5 minecraft:snow_block
1 2 6 minecraft:snow_block
1 2 7 minecraft:snow_block
1 2 8 minecraft:snow_block
1 2 9 minecraft:snow_block
1 2 10 minecraft:snow_block
1 2 11 minecraft:snow_block
1 2 12 minecraft:snow_block
1 2 13 minecraft:snow_block
1 2 14 minecraft:snow_block
1 2 15 minecraft:snow_block
1 2 16 minecraft:snow_block
1 2 17 minecraft:snow_block
1 2 18 minecraft:snow_block
1 2 19 minecraft:snow_block
1 2 20 minecraft:packed_ice
1 2 21 minecraft:packed_ice
1 2 22 minecraft:packed_ice
1 2 23 minecraft:packed_ice
1 2 24 minecraft:packed_ice
1 2 25 minecraft:packed_ice
1 2 26 minecraft:packed_ice
1 2 27 minecraft:packed_ice
1 2 28 minecraft:packed_ice
1 2 29 minecraft:packed_ice
1 2 30 minecraft:packed_ice
1 3 0 minecraft:snow_block
1 3 1 minecraft:snow_block
1 3 2 minecraft:snow_block
1 3 3 minecraft:snow_block
1 3 4 minecraft:snow_block
1 3 5 minecraft:snow_block
1 3 6 minecraft:snow_block
1 3 7 minecraft:snow_block
1 3 8 minecraft:snow_block
1 3 9 minecraft:snow[layers="1"]
1 3 10 minecraft:snow[layers="1"]
1 3 11 minecraft:snow[layers="1"]
1 3 12 minecraft:snow[layers="1"]
1 3 13 minecraft:snow[layers="1"]
1 3 14 minecraft:snow[layers="1"]
1 3 15 minecraft:snow[layers="1"]
1 3 16 minecraft:snow[layers="1"]
1 3 17 minecraft:snow[layers="1"]
1 3 18 minecraft:snow[layers="1"]
1 3 19 minecraft:snow[layers="1"]
1 4 1 minecraft:snow_block
1 4 2 minecraft:snow_block
1 4 3 minecraft:snow_block
1 4 4 minecraft:snow_block
1 4 5 minecraft:snow[layers="1"]
1 4 6 minecraft:snow[layers="1"]
1 4 7 minecraft:snow[layers="1"]
1 4 8 minecraft:snow[layers="1"]
2 0 0 minecraft:stone
2 0 1 minecraft:stone
2 0 2 minecraft:stone
2 0 3 minecraft:stone
2 0 4 minecraft:stone
2 0 5 minecraft:stone
2 0 6 minecraft:stone
2 0 7 minecraft:stone
2 0 8 minecraft:stone
2 0 9 minecraft:stone
2 0 10 minecraft:stone
2 0 11 minecraft:stone
2 0 12 minecraft:stone
2 0 13 minecraft:stone
2 0 14 minecraft:stone
2 0 15 minecraft:stone
2 0 16 minecraft:stone
2 0 17 minecraft:stone
2 0 18 minecraft:stone
2 0 19 minecraft:stone
2 0 20 minecraft:stone
2 0 21 minecraft:stone
2 0 22 minecraft:stone
2 0 23 minecraft:stone
2 0 24 minecraft:stone
2 0 25 minecraft:stone
2 0 26 minecraft:stone
2 0 27 minecraft:stone
2 0 28 minecraft:stone
2 0 29 minecraft:stone
2 0 30 minecraft:stone
2 1 0 minecraft:snow_block
2 1 1 minecraft:snow_block
2 1 2 minecraft:snow_block
2 1 3 minecraft:snow_block
2 1 4 minecraft:snow_block
2 1 5 minecraft:snow_block
2 1 6 minecraft:snow_block
2 1 7 minecraft:snow_block
2 1 8 minecraft:snow_block
2 1 9 minecraft:snow_block
2 1 10 minecraft:snow_block
2 1 11 minecraft:snow_block
2 1 12 minecraft:snow_block
2 1 13 minecraft:snow_block
2 1 14 minecraft:snow_block
2 1 15 minecraft:snow_block
2 1 16 minecraft:snow_block
2 1 17 minecraft:snow_block
2 1 18 minecraft:snow_block
2 1 19 minecraft:snow_block
2 1 20 minecraft:snow_block
2 1 21 minecraft:snow_block
2 1 22 minecraft:snow_block
2 1 23 minecraft:snow_block
2 1 24 minecraft:snow_block
2 1 25 minecraft:snow_block
2 1 26 minecraft:snow_block
2 1 27 minecraft:snow_block
2 1 28 minecraft:snow_block
2 1 29 minecraft:snow_block
2 1 30 minecraft:snow_block
2 2 0 minecraft:snow_block
2 2 1 minecraft:snow_block
2 2 2 minecraft:snow_block
2 2 3 minecraft:snow_block
2 2 4 minecraft:snow_block
2 2 5 minecraft:snow_block
2 2 6 minecraft:snow_block
2 2 7 minecraft:snow_block
2 2 8 minecraft:snow_block
2 2 9 minecraft:snow_block
2 2 10 minecraft:snow_block
2 2 11 minecraft:snow_block
2 2 12 minecraft:snow_block
2 2 13 minecraft:snow_block
2 2 14 minecraft:snow_block
2 2 15 minecraft:snow_block
2 2 16 minecraft:snow_block
2 2 17 minecraft:snow_block
2 2 18 minecraft:snow_block
2 2 19 minecraft:snow_block
2 2 20 minecraft:snow_block
2 2 21 minecraft:packed_ice
2 2 22 minecraft:packed_ice
2 2 23 minecraft:packed_ice
2 2 24 minecraft:packed_ice
2 2 25 minecraft:packed_ice
2 2 26 minecraft:packed_ice
2 2 27 minecraft:packed_ice
2 2 28 minecraft:packed_ice
2 2 29 minecraft:packed_ice
2 2 30 minecraft:packed_ice
2 3 0 minecraft:snow_block
2 3 1 minecraft:snow_block
2 3 2 minecraft:snow_block
2 3 3 minecraft:snow_block
2 3 4 minecraft:snow_block
2 3 5 minecraft:snow_block
2 3 6 minecraft:snow_block
2 3 7 minecraft:snow_block
2 3 8 minecraft:snow_block
2 3 9 minecraft:snow[layers="1"]
2 3 10 minecraft:snow[layers="1"]
2 3 11 minecraft:snow[layers="1"]
2 3 12 minecraft:snow[layers="1"]
2 3 13 minecraft:snow[layers="1"]
2 3 14 minecraft:snow[layers="1"]
2 3 15 minecraft:snow[layers="1"]
2 3 16 minecraft:snow[layers="1"]
2 3 17 minecraft:snow[layers="1"]
2 3 18 minecraft:snow[layers="1"]
2 3 19 minecraft:snow[layers="1"]
2 3 20 minecraft:snow[layers="1"]
2 4 0 minecraft:snow[layers="1"]
2 4 1 minecraft:snow_block
2 4 2 minecraft:snow_block
2 4 3 minecraft:snow_block
2 4 4 minecraft:snow_block
2 4 5 minecraft:snow_block
2 4 6 minecraft:snow[layers="1"]
2 4 7 minecraft:snow[layers="1"]
2 4 8 minecraft:snow[layers="1"]
2 5 1 minecraft:snow_block
2 5 2 minecraft:snow_block
2 5 3 minecraft:snow_block
3 0 0 minecraft:stone
3 0 1 minecraft:stone
3 0 2 minecraft:stone
3 0 3 minecraft:stone
3 0 4 minecraft:stone
3 0 5 minecraft:stone
3 0 6 minecraft:stone
3 0 7 minecraft:stone
3 0 8 minecraft:stone
3 0 9 minecraft:stone
3 0 10 minecraft:stone
3 0 11 minecraft:stone
3 0 12 minecraft:stone
3 0 13 minecraft:stone
3 0 14 minecraft:stone
3 0 15 minecraft:stone
3 0 16 minecraft:stone
3 0 17 minecraft:stone
3 0 18 minecraft:stone
3 0 19 minecraft:stone
3 0 20 minecraft:stone
3 0 21 minecraft:stone
3 0 22 minecraft:stone
3 0 23 minecraft:stone
3 0 24 minecraft:stone
3 0 25 minecraft:stone
3 0 26 minecraft:stone
3 0 27 minecraft:stone
3 0 28 minecraft:stone
3 0 29 minecraft:stone
3 0 30 minecraft:stone
3 1 0 minecraft:snow_block
3 1 1 minecraft:snow_block
3 1 2 minecraft:snow_block
3 1 3 minecraft:snow_block
3 1 4 minecraft:snow_block
3 1 5 minecraft:snow_block
3 1 6 minecraft:snow_block
3 1 7 minecraft:snow_block
3 1 8 minecraft:snow_block
3 1 9 minecraft:snow_block
3 1 10 minecraft:snow_block
3 1 11 minecraft:snow_block
3 1 12 minecraft:snow_block
3 1 13 minecraft:snow_block
3 1 14 minecraft:snow_block
3 1 15 minecraft:snow_block
3 1 16 minecraft:snow_block
3 1 17 minecraft:snow_block
3 1 18 minecraft:snow_block
3 1 19 minecraft:snow_block
3 1 20 minecraft:snow_block
3 1 21 minecraft:snow_block
3 1 22 minecraft:snow_block
3 1 23 minecraft:snow_block
3 1 24 minecraft:snow_block
3 1 25 minecraft:snow_block
3 1 26 minecraft:snow_block
3 1 27 minecraft:snow_block
3 1 28 minecraft:snow_block
3 1 29 minecraft:snow_block
3 1 30 minecraft:snow_block
3 2 0 minecraft:snow_block
3 2 1 minecraft:snow_block
3 2 2 minecraft:snow_block
3 2 3 minecraft:snow_block
3 2 4 minecraft:snow_block
3 2 5 minecraft:snow_block
3 2 6 minecraft:snow_block
3 2 7 minecraft:snow_block
3 2 8 minecraft:snow_block
3 2 9 minecraft:snow_block
3 2 10 minecraft:snow_block
3 2 11 minecraft:snow_block
3 2 12 minecraft:snow_block
3 2 13 minecraft:snow_block
3 2 14 minecraft:snow_block
3 2 15 minecraft:snow_block
3 2 16 minecraft:snow_block
3 2 17 minecraft:snow_block
3 2 18 minecraft:snow_block
3 2 19 minecraft:snow_block
3 2 20 minecraft:snow_block
3 2 21 minecraft:snow_block
3 2 22 minecraft:packed_ice
3 2 23 minecraft:packed_ice
3 2 24 minecraft:packed_ice
3 2 25 minecraft:packed_ice
3 2 26 minecraft:packed_ice
3 2 27 minecraft:packed_ice
3 2 28 minecraft:packed_ice
3 2 29 minecraft:packed_ice
3 2 30 minecraft:packed_ice
3 3 0 minecraft:snow_block
3 3 1 minecraft:snow_block
3 3 2 minecraft:snow_block
3 3 3 minecraft:snow_block
3 3 4 minecraft:snow_block
3 3 5 minecraft:snow_block
3 3 6 minecraft:snow_block
3 3 7 minecraft:snow_block
3 3 8 minecraft:snow_block
3 3 9 minecraft:snow[layers="1"]
3 3 10 minecraft:snow[layers="1"]
