30 15 31
0 0 0 minecraft:stone
0 0 1 minecraft:stone
0 0 2 minecraft:stone
0 0 3 minecraft:stone
0 0 4 minecraft:stone
0 0 5 minecraft:stone
0 0 6 minecraft:stone
0 0 7 minecraft:stone
0 0 8 minecraft:stone
0 0 9 minecraft:stone
0 0 10 minecraft:stone
0 0 11 minecraft:stone
0 0 12 minecraft:stone
0 0 13 minecraft:stone
0 0 14 minecraft:stone
0 0 15 minecraft:stone
0 0 16 minecraft:stone
0 0 17 minecraft:stone
0 0 18 minecraft:stone
0 0 19 minecraft:stone
0 0 20 minecraft:stone
0 0 21 minecraft:stone
0 0 22 minecraft:stone
0 0 23 minecraft:stone
0 0 24 minecraft:stone
0 0 25 minecraft:stone
0 0 26 minecraft:stone
0 0 27 minecraft:stone
0 0 28 minecraft:stone
0 0 29 minecraft:stone
0 0 30 minecraft:stone
0 1 0 minecraft:dirt
0 1 1 minecraft:dirt
0 1 2 minecraft:dirt
0 1 3 minecraft:dirt
0 1 4 minecraft:dirt
0 1 5 minecraft:dirt
0 1 6 minecraft:dirt
0 1 7 minecraft:dirt
0 1 8 minecraft:dirt
0 1 9 minecraft:dirt
0 1 10 minecraft:dirt
0 1 11 minecraft:dirt
0 1 12 minecraft:dirt
0 1 13 minecraft:dirt
0 1 14 minecraft:dirt
0 1 15 minecraft:dirt
0 1 16 minecraft:dirt
0 1 17 minecraft:dirt
0 1 18 minecraft:dirt
0 1 19 minecraft:dirt
0 1 20 minecraft:dirt
0 1 21 minecraft:dirt
0 1 22 minecraft:dirt
0 1 23 minecraft:dirt
0 1 24 minecraft:dirt
0 1 25 minecraft:dirt
0 1 26 minecraft:dirt
0 1 27 minecraft:grass_block[snowy="false"]
0 1 28 minecraft:grass_block[snowy="false"]
0 1 29 minecraft:grass_block[snowy="false"]
0 1 30 minecraft:grass_block[snowy="false"]
0 2 1 minecraft:grass_block[snowy="false"]
0 2 2 minecraft:grass_block[snowy="false"]
0 2 3 minecraft:grass_block[snowy="false"]
0 2 4 minecraft:grass_block[snowy="false"]
0 2 5 minecraft:grass_block[snowy="false"]
0 2 6 minecraft:grass_block[snowy="false"]
0 2 7 minecraft:grass_block[snowy="false"]
0 2 8 minecraft:grass_block[snowy="false"]
0 2 9 minecraft:grass_block[snowy="false"]
0 2 10 minecraft:grass_block[snowy="false"]
0 2 11 minecraft:grass_block[snowy="false"]
0 2 12 minecraft:grass_block[snowy="false"]
0 2 13 minecraft:grass_block[snowy="false"]
0 2 14 minecraft:grass_block[snowy="false"]
0 2 15 minecraft:grass_block[snowy="false"]
0 2 16 minecraft:grass_block[snowy="false"]
0 2 17 minecraft:grass_block[snowy="false"]
0 2 18 minecraft:grass_block[snowy="false"]
0 2 19 minecraft:gravel
0 2 20 minecraft:cobblestone
0 2 21 minecraft:stone_bricks
0 2 22 minecraft:cracked_stone_bricks
0 2 23 minecraft:cobblestone
0 2 24 minecraft:grass_block[snowy="false"]
0 2 25 minecraft:grass_block[snowy="false"]
0 2 26 minecraft:grass_block[snowy="false"]
0 2 30 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 3 2 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 3 7 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 3 12 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 3 17 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 3 25 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 3 30 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 4 2 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 4 7 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 4 12 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 4 17 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 4 25 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 4 30 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 5 2 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 5 7 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 5 12 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 5 17 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 5 25 minecraft:spruce_fence[east="false",north="false",south="false",west="false"]
0 5 30 minecraft:spruce_fence[east="true",north="false",south="false",west="false"]
0 6 2 minecraft:spruce_fence[east="true",north="false",south="false",west="false"]
0 6 7 minecraft:spruce_fence[east="true",north="false",south="false",west="false"]
0 6 12 minecraft:spruce_fence[east="true",north="false",south="false",west="false"]
0 6 17 minecraft:spruce_fence[east="true",north="false",south="false",west="false"]
0 6 25 minecraft:spruce_fence[east="true",north="false",south="false",west="false"]
1 0 0 minecraft:stone
1 0 1 minecraft:stone
1 0 2 minecraft:stone
1 0 3 minecraft:stone
1 0 4 minecraft:stone
1 0 5 minecraft:stone
1 0 6 minecraft:stone
1 0 7 minecraft:stone
1 0 8 minecraft:stone
1 0 9 minecraft:stone
1 0 10 minecraft:stone
1 0 11 minecraft:stone
1 0 12 minecraft:stone
1 0 13 minecraft:stone
1 0 14 minecraft:stone
1 0 15 minecraft:stone
1 0 16 minecraft:stone
1 0 17 minecraft:stone
1 0 18 minecraft:stone
1 0 19 minecraft:stone
1 0 20 minecraft:stone
1 0 21 minecraft:stone
1 0 22 minecraft:stone
1 0 23 minecraft:stone
1 0 24 minecraft:stone
1 0 25 minecraft:stone
1 0 26 minecraft:stone
1 0 27 minecraft:stone
1 0 28 minecraft:stone
1 0 29 minecraft:stone
1 0 30 minecraft:stone
1 1 0 minecraft:grass_block[snowy="false"]
1 1 1 minecraft:dirt
1 1 2 minecraft:dirt
1 1 3 minecraft:dirt
1 1 4 minecraft:dirt
1 1 5 minecraft:dirt
1 1 6 minecraft:dirt
1 1 7 minecraft:dirt
1 1 8 minecraft:dirt
1 1 9 minecraft:dirt
1 1 10 minecraft:dirt
1 1 11 minecraft:dirt
1 1 12 minecraft:dirt
1 1 13 minecraft:dirt
1 1 14 minecraft:dirt
1 1 15 minecraft:dirt
1 1 16 minecraft:dirt
1 1 17 minecraft:dirt
1 1 18 minecraft:dirt
1 1 19 minecraft:gravel
1 1 20 minecraft:dirt
1 1 21 minecraft:dirt
1 1 22 minecraft:stone_bricks
1 1 23 minecraft:dirt
1 1 24 minecraft:dirt
1 1 25 minecraft:dirt
1 1 26 minecraft:dirt
1 1 27 minecraft:grass_block[snowy="false"]
1 1 28 minecraft:grass_block[snowy="false"]
1 1 29 minecraft:grass_block[snowy="false"]
1 1 30 minecraft:grass_block[snowy="false"]
1 2 1 minecraft:grass_block[snowy="false"]
1 2 2 minecraft:grass_block[snowy="false"]
1 2 3 minecraft:grass_block[snowy="false"]
1 2 4 minecraft:grass_block[snowy="false"]
1 2 5 minecraft:grass_block[snowy="false"]
1 2 6 minecraft:grass_block[snowy="false"]
1 2 7 minecraft:grass_block[snowy="false"]
1 2 8 minecraft:grass_block[snowy="false"]
1 2 9 minecraft:grass_block[snowy="false"]
1 2 10 minecraft:grass_block[snowy="false"]
1 2 11 minecraft:grass_block[snowy="false"]
1 2 12 minecraft:grass_block[snowy="false"]
1 2 13 minecraft:grass_block[snowy="false"]
1 2 14 minecraft:grass_block[snowy="false"]
1 2 15 minecraft:grass_block[snowy="false"]
1 2 16 minecraft:cobblestone
1 2 17 minecraft:gravel
1 2 18 minecraft:stone_bricks
1 2 19 minecraft:cobblestone
1 2 20 minecraft:cracked_stone_bricks
1 2 21 minecraft:gravel
1 2 22 minecraft:cobblestone
1 2 23 minecraft:cracked_stone_bricks
1 2 24 minecraft:stone_bricks
1 2 25 minecraft:cobblestone
1 2 26 minecraft:grass_block[snowy="false"]
1 2 28 minecraft:grass
1 2 30 minecraft:grass
1 4 30 minecraft:lantern[hanging="true"]
1 5 2 minecraft:lantern[hanging="true"]
1 5 7 minecraft:lantern[hanging="true"]
1 5 12 minecraft:lantern[hanging="true"]
1 5 17 minecraft:lantern[hanging="true"]
1 5 25 minecraft:lantern[hanging="true"]
1 5 30 minecraft:spruce_fence[east="false",north="false",south="false",west="true"]
1 6 2 minecraft:spruce_fence[east="false",north="false",south="false",west="true"]
1 6 7 minecraft:spruce_fence[east="false",north="false",south="false",west="true"]
1 6 12 minecraft:spruce_fence[east="false",north="false",south="false",west="true"]
1 6 17 minecraft:spruce_fence[east="false",north="false",south="false",west="true"]
1 6 25 minecraft:spruce_fence[east="false",north="false",south="false",west="true"]
2 0 0 minecraft:stone
2 0 1 minecraft:stone
2 0 2 minecraft:stone
2 0 3 minecraft:stone
2 0 4 minecraft:stone
2 0 5 minecraft:stone
2 0 6 minecraft:stone
2 0 7 minecraft:stone
2 0 8 minecraft:stone
2 0 9 minecraft:stone
2 0 10 minecraft:stone
2 0 11 minecraft:stone
2 0 12 minecraft:stone
2 0 13 minecraft:stone
2 0 14 minecraft:stone
2 0 15 minecraft:stone
2 0 16 minecraft:stone
2 0 17 minecraft:stone
2 0 18 minecraft:stone
2 0 19 minecraft:stone
2 0 20 minecraft:stone
2 0 21 minecraft:stone
2 0 22 minecraft:stone
2 0 23 minecraft:stone
2 0 24 minecraft:stone
2 0 25 minecraft:stone
2 0 26 minecraft:stone
2 0 27 minecraft:stone
2 0 28 minecraft:stone
2 0 29 minecraft:stone
2 0 30 minecraft:stone
2 1 0 minecraft:gravel
2 1 1 minecraft:dirt
2 1 2 minecraft:cracked_stone_bricks
2 1 3 minecraft:dirt
2 1 4 minecraft:dirt
2 1 5 minecraft:gravel
2 1 6 minecraft:dirt
2 1 7 minecraft:dirt
2 1 8 minecraft:cobblestone
2 1 9 minecraft:dirt
2 1 10 minecraft:dirt
2 1 11 minecraft:dirt
2 1 12 minecraft:stone_bricks
2 1 13 minecraft:cobblestone
2 1 14 minecraft:dirt
2 1 15 minecraft:stone_bricks
2 1 16 minecraft:dirt
2 1 17 minecraft:dirt
2 1 18 minecraft:dirt
2 1 19 minecraft:dirt
2 1 20 minecraft:dirt
2 1 21 minecraft:dirt
2 1 22 minecraft:dirt
2 1 23 minecraft:dirt
2 1 24 minecraft:dirt
2 1 25 minecraft:dirt
2 1 26 minecraft:dirt
2 1 27 minecraft:grass_block[snowy="false"]
2 1 28 minecraft:grass_block[snowy="false"]
2 1 29 minecraft:grass_block[snowy="false"]
2 1 30 minecraft:grass_block[snowy="false"]
2 2 1 minecraft:cobblestone
2 2 2 minecraft:stone_bricks
2 2 3 minecraft:cobblestone
2 2 4 minecraft:cobblestone
2 2 5 minecraft:cobblestone
2 2 6 minecraft:cracked_stone_bricks
2 2 7 minecraft:cracked_stone_bricks
2 2 8 minecraft:stone_bricks
2 2 9 minecraft:cracked_stone_bricks
2 2 10 minecraft:cracked_stone_bricks
2 2 11 minecraft:cobblestone
2 2 12 minecraft:stone_bricks
2 2 13 minecraft:stone_bricks
2 2 14 minecraft:gravel
2 2 15 minecraft:cobblestone
2 2 16 minecraft:cracked_stone_bricks
2 2 17 minecraft:stone_bricks
2 2 18 minecraft:gravel
2 2 19 minecraft:cobblestone
2 2 20 minecraft:cobblestone
2 2 21 minecraft:cracked_stone_bricks
2 2 22 minecraft:gravel
2 2 23 minecraft:cracked_stone_bricks
2 2 24 minecraft:cracked_stone_bricks
2 2 25 minecraft:stone_bricks
2 2 26 minecraft:cobblestone
2 2 30 minecraft:grass
3 0 0 minecraft:stone
3 0 1 minecraft:stone
3 0 2 minecraft:stone
3 0 3 minecraft:stone
3 0 4 minecraft:stone
3 0 5 minecraft:stone
3 0 6 minecraft:stone
3 0 7 minecraft:stone
3 0 8 minecraft:stone
3 0 9 minecraft:stone
3 0 10 minecraft:stone
3 0 11 minecraft:stone
3 0 12 minecraft:stone
3 0 13 minecraft:stone
3 0 14 minecraft:stone
3 0 15 minecraft:stone
3 0 16 minecraft:stone
3 0 17 minecraft:stone
3 0 18 minecraft:stone
3 0 19 minecraft:stone
3 0 20 minecraft:stone
3 0 21 minecraft:stone
3 0 22 minecraft:stone
3 0 23 minecraft:stone
3 0 24 minecraft:stone
3 0 25 minecraft:stone
3 0 26 minecraft:stone
3 0 27 minecraft:stone
3 0 28 minecraft:stone
3 0 29 minecraft:stone
3 0 30 minecraft:stone
3 1 0 minecraft:cracked_stone_bricks
3 1 1 minecraft:gravel
3 1 2 minecraft:dirt
3 1 3 minecraft:stone_bricks
3 1 4 minecraft:dirt
3 1 5 minecraft:dirt
3 1 6 minecraft:dirt
3 1 7 minecraft:dirt
3 1 8 minecraft:dirt
3 1 9 minecraft:dirt
3 1 10 minecraft:dirt
3 1 11 minecraft:dirt
3 1 12 minecraft:cracked_stone_bricks
3 1 13 minecraft:dirt
3 1 14 minecraft:dirt
3 1 15 minecraft:dirt
3 1 16 minecraft:dirt
3 1 17 minecraft:dirt
3 1 18 minecraft:dirt
3 1 19 minecraft:cobblestone
3 1 20 minecraft:dirt
3 1 21 minecraft:dirt
3 1 22 minecraft:dirt
3 1 23 minecraft:dirt
3 1 24 minecraft:dirt
3 1 25 minecraft:dirt
3 1 26 minecraft:gravel
3 1 27 minecraft:dirt
3 1 28 minecraft:stone_bricks
3 1 29 minecraft:cobblestone
3 1 30 minecraft:cracked_stone_bricks
3 2 1 minecraft:cracked_stone_bricks
3 2 2 minecraft:stone_bricks
3 2 3 minecraft:cracked_stone_bricks
3 2 4 minecraft:cracked_stone_bricks
3 2 5 minecraft:gravel
3 2 6 minecraft:stone_bricks
3 2 7 minecraft:gravel
3 2 8 minecraft:gravel
3 2 9 minecraft:stone_bricks
3 2 10 minecraft:cobblestone
3 2 11 minecraft:cracked_stone_bricks
3 2 12 minecraft:cracked_stone_bricks
3 2 13 minecraft:stone_bricks
3 2 14 minecraft:cracked_stone_bricks
3 2 15 minecraft:gravel
3 2 16 minecraft:gravel
3 2 17 minecraft:stone_bricks
3 2 18 minecraft:cobblestone
3 2 19 minecraft:cobblestone
3 2 20 minecraft:gravel
3 2 21 minecraft:stone_bricks
3 2 22 minecraft:cobblestone
3 2 23 minecraft:cracked_stone_bricks
3 2 24 minecraft:cobblestone
3 2 25 minecraft:stone_bricks
3 2 26 minecraft:gravel
3 2 27 minecraft:cobblestone
4 0 0 minecraft:stone
4 0 1 minecraft:stone
4 0 2 minecraft:stone
4 0 3 minecraft:stone
4 0 4 minecraft:stone
4 0 5 minecraft:stone
4 0 6 minecraft:stone
4 0 7 minecraft:stone
4 0 8 minecraft:stone
4 0 9 minecraft:stone
4 0 10 minecraft:stone
4 0 11 minecraft:stone
4 0 12 minecraft:stone
4 0 13 minecraft:stone
4 0 14 minecraft:stone
4 0 15 minecraft:stone
4 0 16 minecraft:stone
4 0 17 minecraft:stone
4 0 18 minecraft:stone
4 0 19 minecraft:stone
4 0 20 minecraft:stone
4 0 21 minecraft:stone
4 0 22 minecraft:stone
4 0 23 minecraft:stone
4 0 24 minecraft:stone
4 0 25 minecraft:stone
4 0 26 minecraft:stone
4 0 27 minecraft:stone
4 0 28 minecraft:stone
4 0 29 minecraft:stone
4 0 30 minecraft:stone
