6 4 6
1 1 1 minecraft:oak_leaves
1 1 2 minecraft:oak_leaves
1 1 3 minecraft:oak_leaves
1 1 4 minecraft:oak_leaves
1 2 2 minecraft:oak_leaves
1 2 3 minecraft:oak_leaves
1 2 4 minecraft:oak_leaves
2 1 1 minecraft:oak_leaves
2 1 2 minecraft:oak_leaves
2 1 3 minecraft:oak_leaves
2 1 4 minecraft:oak_leaves
2 1 5 minecraft:oak_leaves
2 2 1 minecraft:oak_leaves
2 2 2 minecraft:oak_leaves
2 2 3 minecraft:oak_leaves
2 2 4 minecraft:oak_leaves
2 2 5 minecraft:oak_leaves
2 3 2 minecraft:oak_leaves
2 3 3 minecraft:oak_leaves
2 3 4 minecraft:oak_leaves
2 4 3 minecraft:oak_leaves
3 0 3 minecraft:oak_log
3 1 1 minecraft:oak_leaves
3 1 2 minecraft:oak_leaves
3 1 3 minecraft:oak_log
3 1 4 minecraft:oak_leaves
3 1 5 minecraft:oak_leaves
3 2 1 minecraft:oak_leaves
3 2 2 minecraft:oak_leaves
3 2 3 minecraft:oak_log
3 2 4 minecraft:oak_leaves
3 2 5 minecraft:oak_leaves
3 3 2 minecraft:oak_leaves
3 3 3 minecraft:oak_log
3 3 4 minecraft:oak_leaves
3 4 2 minecraft:oak_leaves
3 4 3 minecraft:oak_leaves
3 4 4 minecraft:oak_leaves
4 1 1 minecraft:oak_leaves
4 1 2 minecraft:oak_leaves
4 1 3 minecraft:oak_leaves
4 1 4 minecraft:oak_leaves
4 1 5 minecraft:oak_leaves
4 2 1 minecraft:oak_leaves
4 2 2 minecraft:oak_leaves
4 2 3 minecraft:oak_leaves
4 2 4 minecraft:oak_leaves
4 2 5 minecraft:oak_leaves
4 3 3 minecraft:oak_leaves
4 4 3 minecraft:oak_leaves
5 1 2 minecraft:oak_leaves
5 1 3 minecraft:oak_leaves
5 1 4 minecraft:oak_leaves
5 2 1 minecraft:oak_leaves
5 2 2 minecraft:oak_leaves
5 2 3 minecraft:oak_leaves
5 2 4 minecraft:oak_leaves
5 2 5 minecraft:oak_leaves
