Environment
plains nw2_ne1_sw3_se1 sheep sheep cow chicken chicken
cave nw3_ne2_sw1_se1 bat bat bat bat bat
plains nw2_ne2_sw2_se2
city nw3_ne1_sw2_se2 villager villager wolf wolf wolf
plains nw2_ne2_sw2_se2
cave nw1_ne1_sw3_se2 bat bat bat bat bat
plains nw2_ne3_sw3_se1 chicken cow chicken pig chicken
town nw2_ne3_sw2_se1 sheep cow pig cow sheep
city nw2_ne1_sw2_se2 wolf villager villager villager wolf
cave nw3_ne2_sw1_se2 bat bat bat bat bat
plains nw1_ne1_sw1_se1
nether nw3_ne3_sw2_se1 strider strider strider strider strider
desert nw1_ne3_sw3_se3 rabbit rabbit rabbit rabbit rabbit
cave nw2_ne3_sw1_se1 bat bat bat bat bat
snow nw3_ne3_sw3_se3
cave nw3_ne3_sw2_se1 bat bat bat bat bat
city nw3_ne3_sw3_se3
mansion nw3_ne3_sw3_se3
city nw3_ne3_sw3_se1 villager villager wolf villager wolf
desert nw1_ne2_sw2_se1 rabbit rabbit rabbit rabbit rabbit
town nw1_ne3_sw1_se3 cow pig sheep chicken chicken pig
plains nw3_ne1_sw3_se1 pig chicken pig chicken cow cow cow cow
plains nw3_ne2_sw2_se2 chicken cow chicken chicken sheep
cave nw2_ne3_sw1_se1 bat bat bat bat bat
nether nw3_ne1_sw1_se3 strider strider strider strider strider
cave nw1_ne3_sw1_se1 bat bat bat bat bat
nether nw1_ne1_sw1_se3 strider strider strider strider strider
plains nw2_ne2_sw2_se2
nether nw1_ne2_sw1_se1 strider strider strider strider strider
plains nw3_ne3_sw3_se3
desert nw1_ne1_sw1_se1
snow nw3_ne3_sw3_se3
cave nw1_ne3_sw3_se1 bat bat bat bat bat
desert nw1_ne1_sw1_se1
town nw1_ne2_sw1_se2 chicken sheep pig cow sheep
plains nw1_ne2_sw2_se3 sheep chicken pig pig cow
cave nw3_ne1_sw1_se3 bat bat bat bat bat
city nw1_ne2_sw3_se3 villager wolf wolf wolf villager
cave nw1_ne3_sw3_se2 bat bat bat bat bat
cave nw3_ne1_sw2_se1 bat bat bat bat bat
mansion nw3_ne1_sw3_se1 sheep cow pig sheep chicken
plains nw2_ne2_sw2_se2
mansion nw1_ne3_sw3_se2 chicken sheep chicken pig pig
plains nw3_ne1_sw3_se1 pig pig cow chicken sheep
nether nw2_ne3_sw3_se3 strider strider strider strider strider
mansion nw1_ne2_sw2_se2 pig chicken chicken pig cow cow cow
nether nw3_ne2_sw3_se1 strider strider strider strider strider
desert nw2_ne1_sw1_se3 rabbit rabbit rabbit rabbit rabbit
mansion nw2_ne2_sw2_se2
desert nw3_ne3_sw1_se2 rabbit rabbit rabbit rabbit rabbit
plains nw1_ne1_sw1_se1
mansion nw2_ne3_sw2_se2 cow pig pig cow pig sheep
plains nw1_ne3_sw3_se3 sheep chicken cow cow sheep
town nw2_ne3_sw2_se2 pig chicken pig chicken cow
town nw1_ne1_sw3_se1 pig pig chicken sheep cow
snow nw2_ne2_sw2_se2
nether nw2_ne2_sw3_se1 strider strider strider strider strider
desert nw2_ne3_sw2_se1 rabbit rabbit rabbit rabbit rabbit
mansion nw3_ne2_sw3_se3 chicken cow cow pig cow
desert nw3_ne3_sw3_se3
plains nw3_ne3_sw3_se2 pig pig pig chicken pig
plains nw1_ne1_sw1_se1
desert nw2_ne2_sw3_se2 rabbit rabbit rabbit rabbit rabbit
mansion nw3_ne1_sw2_se2 cow pig sheep cow pig
snow nw2_ne2_sw3_se3 rabbit wolf polar_bear rabbit rabbit
snow nw1_ne3_sw1_se2 rabbit polar_bear rabbit wolf polar_bear
city nw1_ne2_sw2_se3 wolf villager villager villager wolf
nether nw1_ne1_sw1_se1
desert nw1_ne3_sw1_se3 rabbit rabbit rabbit rabbit rabbit
nether nw1_ne2_sw3_se1 strider strider strider strider strider
nether nw3_ne3_sw1_se3 strider strider strider strider strider
plains nw1_ne3_sw3_se3 sheep sheep sheep cow cow
nether nw1_ne3_sw1_se1 strider strider strider strider strider
plains nw2_ne1_sw1_se1 chicken sheep cow pig pig
nether nw1_ne1_sw3_se3 strider strider strider strider strider
nether nw1_ne2_sw3_se1 strider strider strider strider strider
plains nw1_ne3_sw3_se1 chicken pig sheep pig pig
nether nw3_ne3_sw3_se3
plains nw1_ne1_sw1_se1
plains nw1_ne1_sw1_se1
plains nw2_ne2_sw1_se2 cow chicken chicken cow chicken
nether nw2_ne2_sw3_se2 strider strider strider strider strider
plains nw1_ne1_sw1_se3 sheep sheep sheep chicken pig
town nw3_ne1_sw1_se3 cow pig chicken sheep pig
plains nw2_ne1_sw2_se1 cow chicken cow chicken chicken
cave nw2_ne3_sw3_se2 bat bat bat bat bat
plains nw3_ne3_sw3_se3
plains nw2_ne2_sw2_se2
nether nw1_ne1_sw1_se1
plains nw1_ne3_sw3_se3 pig pig pig pig pig pig
cave nw2_ne2_sw1_se3 bat bat bat bat bat
plains nw1_ne2_sw3_se3 cow sheep sheep pig chicken
plains nw2_ne2_sw2_se2
nether nw2_ne2_sw3_se2 strider strider strider strider strider
plains nw3_ne1_sw2_se2 chicken sheep chicken sheep pig
plains nw3_ne3_sw3_se3
plains nw3_ne3_sw3_se3
mansion nw1_ne1_sw1_se1
plains nw3_ne3_sw3_se3
nether nw3_ne3_sw3_se3
town nw3_ne1_sw2_se1 cow sheep sheep sheep cow
plains nw2_ne1_sw1_se2 chicken pig cow chicken sheep
mansion nw2_ne2_sw2_se2
plains nw1_ne3_sw2_se1 chicken cow cow sheep sheep
plains nw3_ne1_sw2_se3 sheep pig chicken sheep pig
town nw3_ne2_sw3_se3 cow chicken chicken pig sheep
plains nw2_ne3_sw2_se3 chicken cow sheep pig chicken
plains nw1_ne3_sw2_se3 cow cow pig cow sheep
city nw1_ne1_sw1_se1
